POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
西营完全小学,教育,小学,普通,(null),116.223536,39.757663
麦德龙(北京四季青店),商业,大型超市,(null),(null),116.272734,39.947527
第二外国语学院快速公交站,交通,公交站,非换乘,(null),116.564133,39.915993
北京铭辉联盟超市(130店),商业,大型超市,(null),(null),116.812254,40.208149
世纪华联超市(长龙苑店),商业,大型超市,(null),(null),116.211374,39.807103
北京市东方德才学校(金台里校区),教育,中学,普通,(null),116.47705,39.919726
世纪华联超市(翠湖新城店),商业,大型超市,(null),(null),116.301835,40.149187
柔水杨洼公园,景观,公园,普通景点,(null),116.900192,39.772643
靛庄小学,教育,小学,普通,(null),116.760802,39.803562
华联生活超市(7街店),商业,大型超市,(null),(null),116.139557,39.773273
世纪意嘉超市,商业,大型超市,(null),(null),116.608383,40.138169
北京第一师范学校附属小学东校区,教育,小学,普通,(null),116.416066,39.866297
北京市东城区第一人民医院,医疗,综合医院,普通,(null),116.401276,39.864505
清华大学玉泉医院耳鼻喉诊疗中心,医疗,专科医院,普通,(null),116.246615,39.908046
史家小学遂安伯校区,教育,小学,普通,(null),116.424343,39.916126
林荫公园,景观,公园,普通景点,(null),116.438601,40.041556
苏宁易购采育店,商业,购物中心,(null),(null),116.640449,39.658207
枫蓝国际购物中心,商业,购物中心,(null),(null),116.356605,39.952958
狼垡公园,景观,公园,普通景点,(null),116.282095,39.791919
北京市中关村中学(清华园校区),教育,中学,普通,(null),116.327772,39.994167
物美超市(西三旗店),商业,大型超市,(null),(null),116.337692,40.047091
后辛房郊野公园,景观,公园,普通景点,(null),116.45591,39.604128
北京市石景山区电厂路小学,教育,小学,普通,(null),116.139932,39.937129
十里堡镇水杨红小学,教育,小学,普通,(null),116.767387,40.366261
十里庄村文化公园,景观,公园,普通景点,(null),116.680228,39.816619
盒马邻里(北京通州金桥小区店),商业,大型超市,(null),(null),116.546995,39.751069
阳春小学,教育,小学,普通,(null),116.304701,39.79073
