小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
冬季星空,二手房,丰台区,49407.32,30.0,在售,116.363623,39.844409
安外东河沿,二手房,东城区,89851.08,20.0,在售,116.411598,39.950522
旧宫新苑南区,二手房,大兴区,40225.34,30.0,在售,116.455441,39.79832
国际创展中心,二手房,朝阳区,31687.96,30.0,在售,116.517503,39.916941
锦绣馨园,二手房,朝阳区,55066.03,35.0,在售,116.424082,39.998113
玉泉新城A区,二手房,海淀区,59387.07,25.0,在售,116.250854,39.923091
北滨河路55号楼,二手房,西城区,90410.27,30.0,在售,116.347942,39.891458
富北嘉园,二手房,朝阳区,47682.08,31.0,在售,116.551958,39.948067
校尉胡同,二手房,东城区,101648.63,15.0,在售,116.413646,39.911662
亦庄金悦郡,新房,通州区,45065.0,30.0,售罄,116.53861,39.736452
北街家园二区,二手房,昌平区,33116.86,45.0,在售,116.267127,40.166581
扑满山,二手房,丰台区,29010.47,35.0,在售,116.426788,39.845416
伯宁花园,二手房,朝阳区,59500.24,35.5,在售,116.473481,39.945521
月坛南街北里,二手房,西城区,98677.87,30.0,在售,116.345564,39.914603
三水青清庄园三区,二手房,昌平区,40996.18,30.0,在售,116.279149,40.139542
毛条小区,二手房,昌平区,31426.71,30.0,在售,116.249728,40.120108
市政宿舍,二手房,海淀区,76610.86,30.0,在售,116.327133,39.901394
康乐里小区,二手房,西城区,99031.56,10.0,在售,116.366579,39.89527
东木樨园,二手房,丰台区,38453.68,30.0,在售,116.405175,39.858414
人民大学北路19号院,二手房,海淀区,105736.36,30.0,在售,116.313133,39.973534
麦卡伦地,二手房,昌平区,33263.42,30.0,在售,116.411875,40.14027
新街口外大街甲25号院,二手房,海淀区,88774.53,22.0,在售,116.371005,39.954795
丰台东路16号院,二手房,丰台区,41925.83,15.0,在售,116.323973,39.846507
银谷美泉,二手房,朝阳区,66117.83,45.0,在售,116.525442,39.937808
建安里小区,二手房,昌平区,29055.35,30.4,在售,116.254191,40.222548
六营门,二手房,丰台区,45539.51,30.0,在售,116.417228,39.797967
玉带河东街385号院,二手房,通州区,26387.4,35.0,在售,116.671911,39.900299
西平街一里,二手房,顺义区,24040.79,30.0,在售,116.590827,40.047479
光熙家园二期,二手房,朝阳区,66385.96,30.0,在售,116.432833,39.966792
甘家口8号院,二手房,海淀区,68190.13,30.0,在售,116.332209,39.925601
金地格林小镇,二手房,大兴区,47177.95,38.0,在售,116.495339,39.793255
西华经典,二手房,西城区,76721.68,18.0,在售,116.360892,39.889005
惠新南里2号院,二手房,朝阳区,60493.27,30.0,在售,116.421967,39.979413
德胜里西街3号,二手房,西城区,138286.33,28.0,在售,116.375575,39.954601
双路小区,二手房,延庆区,18148.6,35.0,在售,116.003681,40.463554
苏州街干休所,二手房,海淀区,90567.15,30.0,在售,116.308393,39.967864
花市枣苑二期,二手房,东城区,78173.33,35.0,在售,116.4304,39.89556
阳洲鑫园,二手房,顺义区,24230.01,33.0,在售,116.830476,40.158375
曙光花园望河园,二手房,海淀区,79787.15,37.0,在售,116.292323,39.94267
金华园,二手房,大兴区,25469.58,35.0,在售,116.384758,39.767365
高井中学教工楼,二手房,石景山区,26651.13,30.0,在售,116.136442,39.936545
东直门北小街2号,二手房,东城区,68110.78,35.0,在售,116.4263,39.94886
水色时光二区,二手房,顺义区,22506.27,35.0,在售,116.726204,40.20964
酒仙公寓,二手房,朝阳区,46132.61,30.0,在售,116.490648,39.985854
诸子阶,二手房,海淀区,76614.39,40.0,在售,116.269415,39.943765
粮所家属楼,二手房,通州区,33131.15,20.0,在售,116.660871,39.875176
温泉老年医院家属院,二手房,海淀区,52427.18,30.0,在售,116.164027,40.048699
优筑家园,二手房,丰台区,62198.49,30.0,在售,116.317908,39.852479
摩卡空间,二手房,通州区,33751.57,20.0,在售,116.659906,39.907232
和泰家园,二手房,怀柔区,24903.73,35.0,在售,116.639284,40.326048
翡翠城三期别墅,二手房,大兴区,54978.82,45.0,在售,116.314921,39.771395
华林家园,二手房,丰台区,42022.47,30.0,在售,116.294429,39.841181
水道子胡同,二手房,东城区,77280.13,30.0,在售,116.414351,39.89143
王庄路15号院,二手房,海淀区,71346.23,25.0,在售,116.339374,39.996897
金夕园,二手房,海淀区,70062.43,35.0,在售,116.278162,39.960738
檀府家园,二手房,密云区,14351.36,30.0,在售,116.871539,40.385867
绮霞苑,二手房,门头沟区,29330.16,31.0,在售,116.1154,39.934009
京艺天朗雅园,二手房,通州区,37241.56,40.0,在售,116.68871,39.890453
佳和园老区,二手房,大兴区,27573.99,35.0,在售,116.449328,39.807117
