POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
东门新村公交站,交通,公交站,(null),(null),118.633902,32.060668
莲花湿地公园,景观,公园,普通景点,(null),118.71269,31.958399
溧水区明觉小学,教育,小学,普通,小学,118.890501,31.569117
南京市江宁医院仓库办公室,医疗,综合医院,普通,(null),118.848832,31.950535
Axmall澳新优选,商业,大型超市,(null),(null),118.809891,32.085245
南京市秦淮区中医医院门诊,医疗,综合医院,普通,(null),118.78202,32.015742
世纪华联超市(钟阜路店),商业,大型超市,(null),(null),118.768649,32.087902
金鹰湖滨天地A区F馆,商业,购物中心,(null),(null),118.926557,32.101516
世纪华联超市(地和苑店),商业,大型超市,(null),(null),118.706604,32.109616
好又多超市(揽翠苑店),商业,大型超市,(null),(null),118.781086,31.940557
南京医科大学第四附属医院(浦园院区)综合楼,医疗,综合医院,普通,(null),118.719837,32.104367
南京市临江高级中学,教育,中学,重点,高中,118.821419,31.908485
蒋桥子西公交站,交通,公交站,(null),(null),118.522643,32.116146
护国路西公交站,交通,公交站,(null),(null),118.636172,32.151228
南京市南化实验小学(葛塘校区),教育,小学,普通,小学,118.733805,32.232528
华润(苏果尧化门店),商业,大型超市,(null),(null),118.883365,32.120181
龙潭总站公交站,交通,公交站,(null),(null),119.056233,32.16809
陶行知学校,教育,小学,普通,小学,118.735563,32.025791
友谊街西公交站,交通,公交站,(null),(null),118.703008,31.984722
平良大街有轨电车站,交通,公交站,(null),(null),118.701633,31.977355
龙袍公交站,交通,公交站,(null),(null),118.958303,32.199401
三山矶生态公园1期,景观,公园,普通景点,(null),118.609774,31.92264
兰花塘地铁站,交通,地铁站,非换乘,S3号线/宁和线,118.574859,31.95826
警校公交站,交通,公交站,(null),(null),119.041328,32.156571
世纪华联超市(融康苑店),商业,大型超市,(null),(null),118.901397,32.041066
龙袍贺庄公交站,交通,公交站,(null),(null),118.960197,32.23381
校之友超市(应天学院店),商业,大型超市,(null),(null),118.918159,32.085538
华润万家(南京化肥厂便利店),商业,大型超市,(null),(null),118.938383,32.146557
护国路陶庄公交站,交通,公交站,(null),(null),118.645725,32.149805
八卦洲中桥小学,教育,小学,普通,小学,118.816778,32.203266
红土凹公交站,交通,公交站,(null),(null),118.670425,31.865978
浦六南路北公交站,交通,公交站,(null),(null),118.742174,32.244566
前陈村公交站,交通,公交站,(null),(null),119.005974,32.24115
二龙山公园,景观,公园,普通景点,(null),118.59271,32.066349
南京体育学院运动康复医院,医疗,综合医院,普通,(null),118.867979,32.040609
葛塘地铁站,交通,地铁站,非换乘,S8号线/宁天线,118.753717,32.244525
将军山中学,教育,中学,普通,初中,118.780381,31.953554
世纪联华,商业,大型超市,(null),(null),118.786979,32.047236
管子桥地铁站,交通,地铁站,换乘二线,(在建)9号线;(规划)13号线,118.739228,32.046548
雅居乐公园,景观,公园,普通景点,(null),118.798162,32.01058
汤山国际沙排体育公园,景观,公园,普通景点,(null),119.062988,32.040933
上海华联超市(桥林店),商业,大型超市,(null),(null),118.530948,31.943029
金鹰GE66,商业,购物中心,(null),(null),118.846694,31.93357
谷里东站公交站,交通,公交站,(null),(null),118.692535,31.863038
浦口区惠民医院,医疗,综合医院,普通,(null),118.717888,32.207184
石羊公园,景观,公园,普通景点,(null),118.857061,31.964055
东方航空江苏有限公司员工生活超市,商业,大型超市,(null),(null),118.887177,31.742973
顾家营路北公交站,交通,公交站,(null),(null),118.878303,32.042951
同旺路公交站,交通,公交站,(null),(null),118.998915,32.099696
南京站地铁站,交通,地铁站,换乘三线,(在建)9号线;1号线;3号线,118.796509,32.089322
世纪华联超市(江山大厦店),商业,大型超市,(null),(null),118.842773,31.942883
浅山休闲公园,景观,公园,普通景点,(null),118.64712,32.090164
南京炼油厂南公交站,交通,公交站,(null),(null),118.925486,32.142539
高桥商场,商业,购物中心,(null),(null),118.810442,32.102099
华诚超市(花园店),商业,大型超市,(null),(null),119.081802,32.201858
南京市力学小学,教育,小学,普通,小学,118.769764,32.055237
长城花园公交站,交通,公交站,(null),(null),118.663459,32.266315
南京江北人民医院-医技楼,医疗,综合医院,普通,(null),118.757271,32.234421
河定桥地铁站,交通,地铁站,非换乘,1号线,118.820141,31.952092
长江大桥北地铁站,交通,地铁站,换乘二线,(在建)11号线;(在建)S8号线南延,118.731097,32.126746
欧洲城·凯旋明珠商业广场B馆,商业,购物中心,(null),(null),118.735056,32.009551
茶岗场站公交站,交通,公交站,(null),(null),119.01753,31.939123
高庄村公交站,交通,公交站,(null),(null),118.946251,32.26049
渊声巷小学,教育,小学,普通,小学,118.779046,32.061965
李东村公交站,交通,公交站,(null),(null),118.999878,32.22831
南炼公园,景观,公园,普通景点,(null),118.92766,32.151182
东山香樟园地铁站,交通,地铁站,非换乘,(在建)5号线,118.836924,31.97405
苏果社区店(月苑店),商业,大型超市,(null),(null),118.826835,32.101479
文博路北公交站,交通,公交站,(null),(null),118.910934,31.908798
南京市溧水区第三高级中学,教育,中学,普通,高中,119.042773,31.657896
苏果生活超市(江苏路店),商业,大型超市,(null),(null),118.768463,32.066288
火山石公园,景观,公园,普通景点,(null),118.576734,32.553683
绿地中心·紫峰购物广场,商业,购物中心,(null),(null),118.783192,32.060638
南京脑康中医院遗尿症诊疗中心,医疗,专科医院,普通,(null),118.741255,32.07352
俊杰广场,商业,购物中心,(null),(null),118.823163,31.915373
奇石公园,景观,公园,普通景点,(null),118.927192,32.047463
新时代万彩购物中心,商业,购物中心,(null),(null),119.043386,31.636196
香港城商业广场,商业,购物中心,(null),(null),118.788049,32.03756
羲和商业广场,商业,购物中心,(null),(null),118.785414,32.054668
吴侯街有轨电车站,交通,公交站,(null),(null),118.694134,31.975645
栖霞区医院西岗分院,医疗,综合医院,普通,(null),119.010526,32.143429
梨树园路公交站,交通,公交站,(null),(null),118.939939,31.927713
苏果生活超市(黄埔路店),商业,大型超市,(null),(null),118.811269,32.042106
汤泉西冲北公交站,交通,公交站,(null),(null),118.518919,32.113537
临淮街南公交站,交通,公交站,(null),(null),118.811897,31.945443
群力地铁站,交通,地铁站,非换乘,S7号线/宁溧线,119.014396,31.720852
南京市溧水区人民医院白马院区,医疗,综合医院,普通,(null),119.183366,31.577001
华润万家(南京阅江广场购物广场店),商业,大型超市,(null),(null),118.742932,32.088732
苏果(中山北路购物广场店),商业,大型超市,(null),(null),118.762925,32.076532
沧波门地铁站,交通,地铁站,非换乘,(规划)8号线,118.883602,32.018732
好邻居生活广场(黄山路),商业,购物中心,(null),(null),118.737736,32.000027
小彭小学,教育,小学,普通,小学,118.922196,31.707327
旺鑫路西公交站,交通,公交站,(null),(null),118.723828,32.256437
跨境020体验店(砂之船奥莱店),商业,购物中心,(null),(null),118.828351,31.86684
南京市江浦实验小学滨江分校,教育,小学,普通,小学,118.629883,32.04217
好又多超市(平价店),商业,大型超市,(null),(null),118.86994,32.094656
UCT优尚天地广场E座,商业,购物中心,(null),(null),118.835658,31.908568
南医大·江苏经贸学院地铁站,交通,地铁站,非换乘,1号线,118.890239,31.933475
星甸商业广场,商业,购物中心,(null),(null),118.455129,32.027319
陶博士眼视光诊所,医疗,专科医院,普通,(null),118.7948,32.013786
永东小学,教育,小学,普通,小学,118.850976,31.32197
孟北地铁站公交站,交通,公交站,(null),(null),118.987517,32.083893
春江公益超市,商业,大型超市,(null),(null),118.75328,31.964035
苏果社区店,商业,大型超市,(null),(null),118.721582,31.983859
虹桥中心A座,商业,购物中心,(null),(null),118.762614,32.076836
西江佳园公交站,交通,公交站,(null),(null),118.619128,31.975317
紫金集团医院,医疗,综合医院,普通,(null),118.798353,32.09976
高淳区淳辉高级中学,教育,中学,普通,高中,118.898708,31.328937
南京医科大学附属眼科医院,医疗,专科医院,三甲,(null),118.774999,32.043111
世纪华联超市(UCT优尚天地店),商业,大型超市,(null),(null),118.835902,31.908498
浦厂二村公交站,交通,公交站,(null),(null),118.681936,32.126897
时尚宏达购物广场,商业,购物中心,(null),(null),118.868548,31.3219
空港新城江宁地铁站,交通,地铁站,换乘二线,S1号线/机场线;S7号线/宁溧线,118.887659,31.737687
自丸城(金盛店),商业,购物中心,(null),(null),118.733124,32.132934
将军山小学(开元欣街),教育,小学,普通,小学,118.782435,31.945821
南京外国语学校(仙林分校东区)-小学部,教育,小学,普通,小学,118.938815,32.10066
余家大路南公交站,交通,公交站,(null),(null),118.592843,32.190126
南京第三高级中学文昌校区,教育,中学,重点,高中,118.796698,32.037143
夹岗地铁站,交通,地铁站,非换乘,(在建)6号线,118.813773,31.987557
滨江新城公园,景观,公园,普通景点,(null),118.589954,31.825355
溧水人民医院-住院二部,医疗,综合医院,普通,(null),119.035738,31.63133
亚东商业广场,商业,购物中心,(null),(null),118.908154,32.092255
南京铁道学院地铁站,交通,地铁站,非换乘,(在建)11号线,118.699097,32.096525
秦淮实验小学,教育,小学,普通,小学,118.805604,31.998767
青宁公园,景观,公园,普通景点,(null),118.896489,31.909263
湖熟邻里公园,景观,公园,普通景点,(null),118.968678,31.865465
莫愁湖地铁站,交通,地铁站,换乘二线,(在建)7号线;2号线,118.758964,32.037306
苏果(马群店),商业,大型超市,(null),(null),118.895142,32.050722
通济门地铁站,交通,地铁站,非换乘,(在建)5号线,118.806775,32.025099
马甫小学,教育,小学,普通,小学,118.865306,31.802077
阳江中心小学西校区,教育,小学,普通,小学,118.821155,31.330928
西华公寓东公交站,交通,公交站,(null),(null),118.607257,32.03201
新理想家园公交站,交通,公交站,(null),(null),118.630838,32.051589
南京大学附属丁家桥小学,教育,小学,普通,小学,118.775651,32.081545
苏果(友谊河路店),商业,大型超市,(null),(null),118.84849,31.999849
南京世纪现代不孕不育研究所,医疗,专科医院,普通,(null),118.872397,31.938651
后标营小学,教育,小学,普通,小学,118.824297,32.02994
南京台湾名品城4栋,商业,购物中心,(null),(null),118.716601,32.000914
东水关公交站,交通,公交站,(null),(null),118.800395,32.021884
秦淮区妇幼保健所(红花地),医疗,专科医院,普通,(null),118.79415,32.035877
江苏省六合实验小学,教育,小学,普通,小学,118.828371,32.333269
板桥北地铁站,交通,地铁站,非换乘,(在建)S2号线/宁马线,118.665238,31.925552
购好超市(热河南路店),商业,大型超市,(null),(null),118.740567,32.075587
栖霞地铁站,交通,地铁站,非换乘,(在建)S5号线/宁扬线,118.996755,32.142341
南京市第十四中学,教育,中学,普通,高中,118.716664,32.10344
南京市芳草园小学凤凰校区,教育,小学,普通,小学,118.755797,32.043065
金鹰超市(新街口店),商业,大型超市,(null),(null),118.778283,32.041784
石碛河地铁站,交通,地铁站,非换乘,S3号线/宁和线,118.558049,31.938032
海润枫景公交站,交通,公交站,(null),(null),118.724783,32.161376
浦泗立交南公交站,交通,公交站,(null),(null),118.713936,32.159618
小东庙公交站,交通,公交站,(null),(null),118.528349,32.104726
品硕广场,商业,购物中心,(null),(null),118.852569,32.020481
南京市江宁医院天地新城分院,医疗,综合医院,普通,(null),118.826039,31.968969
