小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
毛纺厂宿舍(泰西路),二手房,江北新区直管区,12848.96,30.0,在售,118.708604,32.14199
香缇郡,二手房,六合区,10499.71,35.0,在售,118.813091,32.316457
大华云江印月,二手房,江北新区直管区,25461.04,2.3,在售,118.689824,32.075575
华昌金沙一品,新房,江北新区直管区,22914.0,30.0,在售,118.681632,32.112788
蓝天园,二手房,鼓楼区,50223.96,40.0,在售,118.747259,32.053416
复地御钟山,新房,栖霞区,35200.0,43.29,售罄,118.890895,32.052685
湖滨雅居,二手房,溧水区,4236.7,30.0,在售,118.977679,31.726917
怡景佳园,二手房,溧水区,5009.05,20.0,在售,119.012984,31.712797
名都花园,二手房,栖霞区,30121.62,36.0,在售,118.820272,32.113448
融侨观澜,二手房,江宁区,21483.54,35.0,在售,118.877812,31.966036
琉璃花园,二手房,溧水区,7843.74,30.0,在售,119.048873,31.637802
九华山小区,二手房,玄武区,33243.84,15.0,在售,118.806242,32.059392
东升花苑,二手房,玄武区,45374.11,20.0,在售,118.785004,32.075354
涟城三期,二手房,建邺区,41130.57,70.0,在售,118.756033,32.011706
杨柳新村,二手房,浦口区,13734.33,30.0,在售,118.599811,32.024063
天宝新寓,二手房,江宁区,17323.2,20.0,在售,118.858604,31.946673
砂珠巷小区,二手房,秦淮区,24912.85,20.0,在售,118.783195,32.025454
中城花园.塞纳名邸,新房,溧水区,2124.0,31.48,售罄,119.033815,31.680339
凤凰西街186号,二手房,鼓楼区,29366.76,20.0,在售,118.745937,32.040996
傅厚岗(鼓楼),二手房,鼓楼区,35941.64,10.0,在售,118.782206,32.064479
郦湖美墅,二手房,六合区,9816.15,40.0,在售,118.816464,32.488201
武学园小区,二手房,秦淮区,40501.76,35.0,在售,118.785617,32.03331
红山路173号,二手房,玄武区,29966.61,30.0,在售,118.807346,32.093266
弘阳栖尧美著,二手房,栖霞区,28335.17,35.0,在售,118.883575,32.131718
仁恒玉兰山庄,二手房,雨花台区,44312.31,70.0,在售,118.78386,31.990493
金陵大公馆,二手房,鼓楼区,35599.1,45.0,在售,118.770713,32.08721
凯莱花园,二手房,浦口区,11455.68,35.5,在售,118.632396,32.065076
润富花园,二手房,江北新区直管区,15288.46,42.0,在售,118.73696,32.151741
名城世家,二手房,雨花台区,31642.87,35.0,在售,118.74815,31.987226
融侨观邸一期,二手房,浦口区,22042.51,35.0,在售,118.629201,32.078575
国华大厦,二手房,鼓楼区,39588.03,35.0,在售,118.772066,32.044809
玉麒麟雅苑,二手房,鼓楼区,47058.82,15.0,在售,118.769307,32.068213
曲水文华苑,二手房,鼓楼区,37360.32,45.0,在售,118.74853,32.050867
金王府金都苑,二手房,江宁区,35226.66,34.0,在售,118.821162,31.950691
金陵新四村,二手房,鼓楼区,21230.09,10.0,在售,118.760349,32.109022
顺达佳苑,二手房,江宁区,18068.8,37.0,在售,118.848898,31.956032
长城新苑,二手房,江北新区直管区,9904.83,40.0,在售,118.734253,32.26173
校门口小区,二手房,鼓楼区,24698.55,0.1,在售,118.758858,32.077241
御道街10号12号,二手房,秦淮区,30068.15,30.0,在售,118.815385,32.037266
