POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
邦均镇沿河中心小学,教育,小学,普通,(null),117.307695,40.014582
赛达八支路地铁站,交通,地铁站,非换乘,(在建)7号线,117.246384,38.974072
北大附属实验中学,教育,中学,普通,(null),117.283794,39.695427
华润万家(景明花园店),商业,大型超市,(null),(null),117.383002,38.996768
小荣世纪华联超市(潘青线店),商业,大型超市,(null),(null),117.444882,39.402989
金元宝滨海国际购物中心,商业,购物中心,(null),(null),117.68774,39.033052
天津青龙湾森林公园,景观,公园,普通景点,(null),117.164772,39.615419
北京师范大学静海附属学校,教育,中学,普通,(null),117.082595,38.964526
天津市宝坻区黄庄镇初级中学,教育,中学,普通,(null),117.523018,39.495813
四季华联超市(杨六路店),商业,大型超市,(null),(null),117.104064,39.411355
红桥区实验小学,教育,小学,重点,(null),117.155495,39.179359
芦台第二小学,教育,小学,普通,(null),117.838034,39.339563
喜凤体育公园,景观,公园,普通景点,(null),117.217523,39.317607
宁河区东棘坨镇赵本中学,教育,中学,普通,(null),117.642451,39.471904
蓟州区第八小学,教育,小学,普通,(null),117.41239,40.013654
宝坻八中,教育,中学,普通,(null),117.321233,39.714692
泗村店镇湖西中心小学,教育,小学,普通,(null),116.916009,39.471745
四季华联,商业,大型超市,(null),(null),117.312403,39.249043
后明庄中心小学,教育,小学,普通,(null),117.005999,38.913494
大白庄镇朱家窝中心小学,教育,小学,普通,(null),117.406824,39.508829
复兴小学,教育,小学,普通,(null),117.255016,39.077521
天津临港生态湿地公园,景观,公园,普通景点,(null),117.698154,38.928238
天津市宁河区七里海镇南涧沽中学,教育,中学,普通,(null),117.737367,39.314042
丹河北道地铁站,交通,地铁站,非换乘,5号线,117.163651,39.252431
世纪华联超市(大直沽八号路店),商业,大型超市,(null),(null),117.245217,39.110807
广州道地铁站,交通,地铁站,非换乘,(在建)B1线,117.666172,39.038054
南何庄地铁站,交通,地铁站,非换乘,6号线,117.291016,39.206352
天津市翔宇力仁学校,教育,中学,普通,(null),117.12843,38.871387
杨成庄中学,教育,中学,普通,(null),117.050047,38.945958
彩带公园,景观,公园,普通景点,(null),117.672702,39.000621
天津市嘉诚中学,教育,中学,普通,(null),117.216948,39.147723
大屯学校,教育,小学,普通,(null),117.066734,38.815242
宝坻一中初中校区,教育,中学,重点,(null),117.334843,39.733889
梁头镇中学,教育,中学,普通,(null),116.862485,38.934859
天津市培杰中学,教育,中学,普通,(null),117.227293,39.080985
大港万达广场B座,商业,购物中心,(null),(null),117.48944,38.844245
天津市蓟州区同乐小学,教育,小学,普通,(null),117.383949,40.016675
西青道中学,教育,中学,普通,(null),117.134261,39.153252
小淀体育文化公园,景观,公园,普通景点,(null),117.227713,39.247635
华侨小学,教育,小学,普通,(null),117.379873,40.166201
大港花园里小学,教育,小学,普通,(null),117.509068,38.718274
国瑞路地铁站,交通,地铁站,非换乘,1号线,117.390747,39.021933
陈官屯镇中学,教育,中学,普通,(null),116.902188,38.815099
徐各庄中心小学,教育,小学,普通,(null),117.449354,39.962322
老米店小学,教育,小学,普通,(null),117.063406,39.324025
日日兴购物中心,商业,大型超市,(null),(null),117.709171,40.076575
南蔡村镇第二小学,教育,小学,普通,(null),117.035286,39.453156
天津市蓟州区别山镇管城中心小学,教育,小学,普通,(null),117.415285,39.995585
潮白河国家湿地公园,景观,公园,普通景点,(null),117.272474,39.689283
东滩头小学,教育,小学,普通,(null),116.816583,38.795603
北京大学滨海医院生态城医院,医疗,综合医院,普通,(null),117.75527,39.121494
华苑人防公园,景观,公园,普通景点,(null),117.14127,39.079059
霍各庄镇香铺王中心小学,教育,小学,普通,(null),117.396061,39.741834
规划中外国语大学附中,教育,中学,普通,(null),117.09771,39.066487
津南区实验小学(新城校区),教育,小学,普通,(null),117.389921,39.002191
东兰坨中心小学,教育,小学,普通,(null),117.300909,38.853967
天津市蓟州区白涧镇初级中学,教育,中学,普通,(null),117.223689,39.998354
天津市苏家园学校,教育,中学,普通,(null),117.260902,38.621387
子牙新城第一小学,教育,小学,普通,(null),116.832307,38.858661
天津市静海区中旺镇中学,教育,中学,普通,(null),117.138592,38.636018
天津益中学校,教育,中学,普通,(null),117.183423,39.103956
海博公园,景观,公园,普通景点,(null),117.796458,39.104906
大胡同商业中心服装2区,商业,购物中心,(null),(null),117.102583,39.098224
葛龙湾公园,景观,公园,普通景点,(null),117.507383,38.987974
塘沽第六中学,教育,中学,普通,(null),117.672827,39.017154
大港蹦床运动主题公园,景观,公园,普通景点,(null),117.483089,38.828387
汉沽第六中学,教育,中学,普通,(null),117.79165,39.244062
渠水公园,景观,公园,普通景点,(null),117.287375,39.703691
天津市南开区中营小学,教育,小学,重点,(null),117.176641,39.143366
复兴门地铁站,交通,地铁站,非换乘,1号线,117.260182,39.077205
天津市第二南开学校小学部,教育,小学,普通,(null),117.181362,39.126552
天津市第四十三中学,教育,中学,普通,(null),117.139626,39.138685
翠阜新村地铁站,交通,地铁站,非换乘,2号线,117.257615,39.144
外院附中地铁站,交通,地铁站,换乘二线,(在建)7号线;6号线,117.191876,39.171286
奥城购物中心A1号楼,商业,购物中心,(null),(null),117.169583,39.078633
府君山体育公园,景观,公园,普通景点,(null),117.416544,40.057978
塘沽第十三中学,教育,中学,普通,(null),117.647741,39.04508
天津市静海区西翟庄镇杨小庄小学,教育,小学,普通,(null),117.037405,38.790881
王中王购物中心,商业,购物中心,(null),(null),116.927275,38.713156
船沽中心小学,教育,小学,普通,(null),117.736561,39.327285
潮阳街初级中学,教育,中学,普通,(null),117.284384,39.658861
陈咀镇渔坝口小学,教育,小学,普通,(null),116.999887,39.261939
桃李园小学,教育,小学,普通,(null),117.461951,38.702956
康泰君利购物中心,商业,大型超市,(null),(null),117.084048,39.314349
大良镇公园,景观,公园,普通景点,(null),117.10081,39.538066
天津市宝坻区八门城镇初级中学,教育,中学,普通,(null),117.605836,39.578937
叶波大润发购物广场(高庄子菜市场店),商业,大型超市,(null),(null),117.191897,39.046265
海河教育园区体育公园儿童乐园,景观,公园,普通景点,(null),117.353524,39.006532
东双塘小学,教育,小学,普通,(null),116.922964,38.87251
梅江公园2期,景观,公园,普通景点,(null),117.199488,39.047234
南开区育智学校,教育,中学,普通,(null),117.147321,39.126688
廉庄小学,教育,小学,普通,(null),117.780445,39.40112
陈山庄中心小学,教育,小学,普通,(null),117.517415,39.711941
畔水庭苑小学,教育,小学,普通,(null),117.048686,39.442403
南淮淀小学,教育,小学,普通,(null),117.570282,39.25225
艾蒲庄小学,教育,小学,普通,(null),117.000947,39.31926
滨海国际机场地铁站,交通,地铁站,换乘二线,(在建)Z2线;2号线,117.362628,39.132116
世纪华联生活超市(天翔店),商业,大型超市,(null),(null),117.697209,39.045113
天津市滨海新区大港第三中学,教育,中学,普通,(null),117.46022,38.833484
大任庄小学,教育,小学,普通,(null),117.241887,39.032133
泰达站有轨电车站,交通,公交站,非换乘,导轨电车,117.67905,39.025418
华联购物中心(刘安庄店),商业,大型超市,(null),(null),117.198878,39.243625
洪泥河东地铁站,交通,地铁站,非换乘,1号线,117.344655,39.047712
世纪华联连锁超市,商业,大型超市,(null),(null),116.897162,39.297585
矫庄子小学,教育,小学,普通,(null),116.955277,38.762588
天津市昆明路小学滨海学校(滨海校区),教育,小学,普通,(null),117.700464,39.115189
海河教育园区南开学校智文路校区,教育,中学,普通,(null),117.383451,39.003731
西堤头小学,教育,小学,普通,(null),117.364481,39.259189
医大二院地铁站,交通,地铁站,换乘二线,(在建)11号线;6号线,117.224043,39.081197
世纪华联超市(金田路店),商业,大型超市,(null),(null),117.594354,39.032408
登州路地铁站,交通,地铁站,非换乘,2号线,117.295916,39.150497
牛家牌中心小学,教育,小学,普通,(null),117.302533,39.531133
新城二地铁站,交通,地铁站,非换乘,(在建)B1线,117.670296,38.953801
天津市南开区科技实验中学,教育,中学,普通,(null),117.134057,39.138422
和顺路地铁站,交通,地铁站,非换乘,(在建)Z4线,117.761986,39.118004
滨海新区塘沽三中心小学,教育,小学,普通,(null),117.635225,39.037301
天津市东丽区流芳小学,教育,小学,普通,(null),117.371664,39.177457
叶波大润发生活超市,商业,大型超市,(null),(null),117.403454,38.671524
西施古中心小学,教育,小学,普通,(null),117.312904,39.893042
天津科技大学附属柳林小学,教育,小学,普通,(null),117.278674,39.070369
兴家坨中心小学,教育,小学,普通,(null),117.607994,39.326903
林亭口初级中学,教育,中学,普通,(null),117.50993,39.6441
互助道小学(东校区),教育,小学,普通,(null),117.262094,39.105804
生态谷公园雕塑文化教育区(5区),景观,公园,普通景点,(null),117.750145,39.119704
塘沽第九中学,教育,中学,普通,(null),117.626355,39.01005
天津市蓟州区安定医院,医疗,专科医院,普通,(null),117.460551,40.053047
穿芳峪镇中心小学,教育,小学,普通,(null),117.538276,40.102802
别山小学,教育,小学,普通,(null),117.50203,39.969232
桃园中学,教育,中学,普通,(null),117.88894,39.306515
貉子沽小学,教育,小学,普通,(null),117.587784,39.505108
银河公园,景观,公园,普通景点,(null),117.499008,39.042056
天津市滨海新区大港徐庄子中学,教育,中学,普通,(null),117.203156,38.683503
欢乐万家生活超市(八里台),商业,大型超市,(null),(null),117.325324,38.945059
轮滑公园,景观,公园,普通景点,(null),117.749319,39.112665
南丰路地铁站,交通,地铁站,非换乘,(在建)8号线一期,117.16303,39.114449
水晶小学(分校),教育,小学,普通,(null),117.231456,39.043129
邦均一中,教育,中学,普通,(null),117.320002,40.003981
官庄镇中心小学,教育,小学,普通,(null),117.304429,40.06317
大江路小学,教育,小学,普通,(null),117.256833,39.163594
世纪华联超市(章光达副食品商店),商业,大型超市,(null),(null),117.123575,38.816557
航双路地铁站,交通,地铁站,非换乘,4号线,117.333949,39.111105
塘沽十四中学,教育,中学,普通,(null),117.657275,39.039129
天津医科大学眼科医院(塘沽)分院,医疗,专科医院,普通,(null),117.671769,39.016553
崔黄口镇南中心小学,教育,小学,普通,(null),117.222229,39.520816
杨村第十六小学,教育,小学,普通,(null),117.032643,39.388891
红光中学,教育,中学,普通,(null),117.22294,39.170926
尚码头学校,教育,中学,普通,(null),117.021954,38.814969
天津市蓟州区西龙虎峪镇鹿角河完全小学,教育,小学,普通,(null),117.746059,40.040935
咸水沽西地铁站,交通,地铁站,非换乘,6号线,117.373829,38.980612
红桥小学,教育,小学,普通,(null),117.1743,39.167197
世纪华联批发超市,商业,大型超市,(null),(null),117.030431,39.233477
竹园公园,景观,公园,普通景点,(null),117.143532,39.150566
天津市静海区唐官屯镇刘上道小学,教育,小学,普通,(null),116.9293,38.733586
世纪华联超市(天津中医药大学店),商业,大型超市,(null),(null),117.078554,38.951321
世纪华联超市(王串场五号路店),商业,大型超市,(null),(null),117.229008,39.151329
古新公园,景观,公园,普通景点,(null),116.813381,39.569146
鉴开中学,教育,中学,普通,(null),117.334979,39.080485
天津方特欢乐世界,景观,公园,4A级景区,(null),117.739368,39.15417
临港绿色生态园,景观,公园,普通景点,(null),117.709804,38.939941
南仓小学,教育,小学,普通,(null),117.141347,39.20211
晶宝温泉农庄,景观,公园,普通景点,(null),117.351283,39.517009
天津市实验小学,教育,小学,重点,(null),117.195948,39.113602
华润万家(春曦道店),商业,大型超市,(null),(null),116.963958,38.934192
天津市葛沽第三中学,教育,中学,普通,(null),117.505763,38.984208
塘沽第七中学,教育,中学,普通,(null),117.728662,38.999878
津门小学,教育,小学,普通,(null),117.309071,39.087474
桥北新区第一小学,教育,小学,普通,(null),117.801925,39.337242
天津市第六十一中学,教育,中学,普通,(null),117.21285,39.118192
文洁路地铁站,交通,地铁站,非换乘,(在建)11号线西延,117.126119,39.105692
盛势体育公园,景观,公园,普通景点,(null),117.72436,39.060312
天津市西青区为明学校,教育,中学,普通,(null),117.051819,39.068191
天津市南开区中营瑞丽小学,教育,小学,普通,(null),117.135459,39.10838
世纪华联超市(汊沽港二街村中心街店),商业,大型超市,(null),(null),116.951369,39.246739
大王古庄镇第一中心小学,教育,小学,普通,(null),116.841798,39.548964
金钟河大街地铁站,交通,地铁站,换乘三线,(在建)Z2线;5号线;6号线,117.24237,39.171703
成都道地铁站,交通,地铁站,非换乘,(在建)8号线一期,117.192427,39.10591
王稳庄镇中心小学,教育,小学,普通,(null),117.257006,38.881895
岳龙镇中学,教育,中学,普通,(null),117.861471,39.564367
天津师范学校附属小学,教育,小学,重点,(null),117.130893,39.164561
天津市华星学校,教育,小学,普通,(null),117.218083,39.102988
西钓台小学,教育,小学,普通,(null),116.908051,38.80115
天津市安定医院急诊部,医疗,专科医院,普通,(null),117.283624,39.074938
华润万家(中心东道店),商业,大型超市,(null),(null),117.26357,39.104838
大王庄地铁站,交通,地铁站,非换乘,9号线,117.218471,39.127225
上马台镇上马台中心小学,教育,小学,普通,(null),117.262899,39.390097
口东中学,教育,中学,普通,(null),117.369815,39.679459
赵温庄村浦发银行希望小学,教育,小学,普通,(null),117.398756,39.256345
水上公园东路地铁站,交通,地铁站,非换乘,6号线,117.173133,39.079509
华润万家(金玉园店),商业,大型超市,(null),(null),117.447966,38.928621
博才小学,教育,小学,普通,(null),117.638908,39.031192
刘安庄小学,教育,小学,普通,(null),117.195127,39.242259
北运河地铁站,交通,地铁站,非换乘,6号线,117.17825,39.164383
家福万家超市(中心西路),商业,大型超市,(null),(null),117.131762,39.192703
天津市静海区良王庄乡四小屯小学,教育,小学,普通,(null),116.994251,39.022084
育英小学,教育,小学,普通,(null),117.215422,39.030871
