小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
中国铁建国际城诗景凤苑,二手房,河北区,26861.08,45.0,在售,117.228032,39.168
紫樾宸府,新房,河北区,21044.0,40.0,在售,117.235886,39.179758
岳阳里(塘沽区),二手房,滨海新区,13943.62,25.0,在售,117.680439,39.009901
瑞光里,二手房,河东区,17993.38,25.0,在售,117.22738,39.145927
慕澜苑,二手房,东丽区,16028.92,10.0,在售,117.492146,39.186452
东舍宅,二手房,河西区,31707.21,23.0,在售,117.23599,39.098416
海逸长洲恋海园,二手房,西青区,26145.95,70.0,在售,117.216127,39.054054
明波公寓,二手房,河东区,16811.96,45.0,在售,117.231844,39.112585
盛泽园,二手房,北辰区,5928.21,40.0,在售,117.072256,39.207967
蝶恋和园,二手房,宝坻区,8036.85,40.0,在售,117.28574,39.715475
志成中里,二手房,河北区,16867.83,25.0,在售,117.201283,39.174581
澜湾广场,二手房,西青区,21023.41,48.0,在售,117.080396,39.132973
丽华教师公寓,二手房,东丽区,10089.44,40.0,在售,117.322945,39.087445
三春里,二手房,滨海新区,8053.7,35.0,在售,117.457362,38.841951
信达格调·美古花园,新房,和平区,75211.0,30.0,在售,117.208201,39.125145
老交通局家属院,二手房,蓟州区,9099.18,10.0,在售,117.400013,40.046706
天保意境芳华,新房,东丽区,20615.0,35.0,在售,117.430379,39.150619
堤中里,二手房,南开区,23528.83,35.0,在售,117.144539,39.097543
碧湖苑,二手房,东丽区,16268.4,35.0,在售,117.506863,39.173377
招商依云郡,二手房,静海区,8254.0,40.0,在售,117.073518,38.969273
和泓葛沽湾·首府,二手房,津南区,9230.8,43.0,在售,117.483246,38.996465
金典花园,二手房,南开区,24569.46,30.0,在售,117.137361,39.108728
雅云里,二手房,南开区,26973.22,10.0,在售,117.141307,39.143074
万和里,二手房,河东区,18308.68,25.1,在售,117.26059,39.12388
金丰公寓,二手房,红桥区,16307.76,40.0,在售,117.155993,39.154472
金都大厦,二手房,滨海新区,18578.68,20.0,在售,117.65504,39.020564
阳光佳园三里,二手房,滨海新区,8047.66,30.0,在售,117.478662,38.727147
耀华新里,二手房,津南区,8870.62,25.0,在售,117.387959,38.985995
海逸长洲瀚波园,二手房,西青区,28460.59,25.0,在售,117.210534,39.057003
新安楼,二手房,河西区,39287.01,20.0,在售,117.230651,39.106108
兴云里,二手房,南开区,25078.52,25.0,在售,117.1632,39.140574
中交雅郡城东春晓,新房,东丽区,13474.0,40.0,在售,117.268008,39.197944
滨江国际,新房,宁河区,9585.0,41.0,售罄,117.805547,39.332272
香园,二手房,东丽区,10533.71,11.0,在售,117.373193,39.177086
金源丽都,二手房,武清区,5690.96,43.0,在售,117.006999,39.294625
新瑞花园,二手房,宝坻区,6768.56,35.0,在售,117.336863,39.725131
廊水家属楼,二手房,蓟州区,7506.0,30.0,在售,117.398753,40.049118
融科瀚棠丰合园,二手房,滨海新区,24484.82,43.0,在售,117.716065,39.038043
九江里,二手房,河西区,24033.96,18.0,在售,117.258756,39.059475
祥泰公寓,二手房,河东区,14807.28,25.0,在售,117.259153,39.150981
香江健康小镇棕榈园,二手房,宝坻区,4880.73,43.0,在售,117.419579,39.482942
中海峰境梅江,新房,河西区,47286.0,45.0,售罄,117.221132,39.054436
平山公寓,二手房,河西区,34172.78,25.0,在售,117.183273,39.09694
仁爱濠景庄园帝景园,二手房,南开区,37474.01,46.0,在售,117.175743,39.06675
富裕广场,二手房,河西区,32943.39,23.0,在售,117.228963,39.101994
公园北里,二手房,南开区,34885.76,30.0,在售,117.168951,39.134361
欣苑公寓,二手房,南开区,19778.4,25.0,在售,117.14993,39.094996
春风里(红桥区),二手房,红桥区,14936.15,30.0,在售,117.154635,39.187582
广厦富城,二手房,滨海新区,13330.81,40.0,在售,117.646013,39.063011
水岸蓝庭,二手房,宝坻区,6247.63,35.0,在售,117.278848,39.658349
同德楼,二手房,红桥区,17376.25,15.0,在售,117.147001,39.181429
