POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
骏景小学,教育,小学,重点,(null),113.382361,23.121679
光之彩天幕城,商业,购物中心,(null),(null),113.238884,23.403823
从化区太平第二中学,教育,中学,普通,(null),113.480221,23.435165
新东豪商贸城,商业,购物中心,(null),(null),113.261051,23.150015
沙河小学,教育,小学,普通,(null),113.311762,23.152783
锦联小学,教育,小学,普通,(null),113.592153,23.501486
泰安公园,景观,公园,普通景点,(null),113.311056,22.984453
广州市番禺区南站小学,教育,小学,普通,(null),113.276114,22.996483
广州市第七十中学,教育,中学,普通,(null),113.303676,23.281891
黄阁镇凤凰社区法治公园,景观,公园,普通景点,(null),113.521115,22.792559
广州市番禺区天韵小学,教育,小学,普通,(null),113.495709,22.944933
夏良学校,教育,小学,普通,(null),113.303924,23.286389
东山街社区卫生服务中心(明月二路),医疗,综合医院,普通,(null),113.3125,23.115992
体育公园,景观,公园,普通景点,(null),113.491161,22.948817
高溪小学,教育,小学,普通,(null),113.325584,23.446972
流花路地铁站,交通,地铁站,非换乘,(在建)11号线内环;(在建)11号线外环,113.257184,23.139449
广州市第七十五中学高中部(燕塘东校区),教育,中学,普通,(null),113.33062,23.164618
盈邦商业中心,商业,购物中心,(null),(null),113.265065,23.03968
永辉超市,商业,大型超市,(null),(null),113.49839,23.173689
广州市黄埔区九龙镇中心卫生院,医疗,综合医院,普通,(null),113.524155,23.349068
赤坭镇莲塘小学,教育,小学,普通,(null),113.003279,23.365641
荔景商城,商业,购物中心,(null),(null),113.240234,23.125922
龙汇商贸小镇,商业,购物中心,(null),(null),113.367586,23.191648
龙口西小学(穗园校区),教育,小学,重点,(null),113.340534,23.14558
寺右新马路地铁站,交通,地铁站,非换乘,(在建)10号线,113.31211,23.119646
石井地铁站,交通,地铁站,非换乘,8号线,113.231799,23.211101
广州市增城区小楼中学,教育,中学,普通,(null),113.787666,23.41941
石碁城市广场,商业,购物中心,(null),(null),113.442294,22.954762
广州市第一一七中学,教育,中学,普通,(null),113.435761,23.18722
市政医院,医疗,综合医院,普通,(null),113.282429,23.136406
增晖商场(宦溪南边街店),商业,大型超市,(null),(null),113.408864,23.113482
白江小学,教育,小学,普通,(null),113.5976,23.114461
西门町购物广场,商业,购物中心,(null),(null),113.247256,23.114304
广州兰花文化园,景观,公园,普通景点,(null),113.37918,23.218177
江泰广场,商业,购物中心,(null),(null),113.280558,23.081143
高平小学,教育,小学,普通,(null),113.551407,23.396144
多米购物商场,商业,大型超市,(null),(null),113.374573,23.077756
永兴小学,教育,小学,普通,(null),113.328206,23.267516
广钢新城地铁站,交通,地铁站,非换乘,(在建)10号线,113.245594,23.057331
花东商业城,商业,购物中心,(null),(null),113.364525,23.419271
花地街社区卫生服务中心,医疗,综合医院,普通,(null),113.23174,23.101001
广州市第七中学,教育,中学,普通,(null),113.297557,23.121676
广州市天河中学(珠江新城校区),教育,中学,重点,(null),113.3198,23.121663
兴发广场,商业,购物中心,(null),(null),113.264013,23.165163
广州市岭南画派纪念中学,教育,中学,普通,(null),113.273089,23.092396
旗杆镇大凼村卫生站,医疗,综合医院,普通,(null),113.485366,23.577411
坑口小学四季花园校区,教育,小学,普通,(null),113.231335,23.069619
乐家购物商场,商业,大型超市,(null),(null),113.375251,22.949203
南塘公园,景观,公园,普通景点,(null),113.504314,22.818741
中心湖公园,景观,公园,普通景点,(null),113.394243,23.049473
纵横广场,商业,购物中心,(null),(null),113.330615,23.095815
新塘镇沙埔卫生院,医疗,综合医院,普通,(null),113.66391,23.161277
