小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
石溪村,二手房,海珠区,16727.69,40.0,在售,113.280252,23.068935
松鹤小区,二手房,白云区,17604.27,20.0,在售,113.221683,23.147493
时尚明苑,二手房,天河区,43972.37,30.0,在售,113.394445,23.125251
时代YOU公寓,二手房,越秀区,23371.11,20.0,在售,113.286866,23.131639
康盈雅园,二手房,白云区,24080.6,31.0,在售,113.231963,23.157591
江燕花园,二手房,海珠区,30653.56,28.0,在售,113.277773,23.080845
富力花园,二手房,天河区,24274.13,15.0,在售,113.422653,23.120211
金湾明珠,新房,荔湾区,47901.0,46.0,售罄,113.222998,23.131156
御江苑,二手房,越秀区,60700.31,30.0,在售,113.269512,23.115342
沙湾怡景苑,二手房,番禺区,17745.55,12.0,在售,113.355217,22.910307
万科金色城品,二手房,番禺区,42054.16,35.0,在售,113.357124,22.912703
海康小区,二手房,海珠区,31257.02,15.0,在售,113.305446,23.098382
时代花生一期,二手房,天河区,46051.57,38.09,在售,113.321415,23.166779
天心宿舍,二手房,海珠区,38490.99,30.0,在售,113.307342,23.101782
广州星河湾星座,二手房,番禺区,36573.55,47.0,在售,113.342693,23.026396
何济公大厦,二手房,荔湾区,29182.76,20.0,在售,113.241168,23.127357
欧亚公馆,二手房,增城区,17211.55,32.0,在售,113.816697,23.270337
金沙洲新社区三区,二手房,白云区,23275.02,10.0,在售,113.204487,23.156677
花地河湾,二手房,荔湾区,31697.82,40.5,在售,113.227508,23.058538
建丽花园,二手房,天河区,39335.53,40.0,在售,113.35925,23.166196
广州星河湾逸心园,二手房,番禺区,31998.2,57.0,在售,113.334549,23.027966
芳村花园,二手房,荔湾区,28406.91,45.0,在售,113.223375,23.077232
保利领秀海,二手房,番禺区,21566.65,35.0,在售,113.510275,23.019739
远洋天成,新房,增城区,17263.0,30.0,在售,113.628479,23.13028
鹭江富华楼,二手房,海珠区,22913.8,10.0,在售,113.310171,23.098558
誉领轩,二手房,荔湾区,58796.3,20.0,在售,113.247399,23.120422
华深楼,二手房,荔湾区,20278.16,80.0,在售,113.244561,23.091568
天誉半岛花园,二手房,海珠区,75946.48,48.0,在售,113.24812,23.100284
碧桂园御湖城二期,二手房,从化区,7407.9,30.0,在售,113.63288,23.573027
绿苑楼,二手房,黄埔区,23212.56,10.0,在售,113.529528,23.055686
越秀星耀TOD,二手房,增城区,16172.05,35.0,在售,113.608897,23.132366
丽水庭园,二手房,海珠区,61870.81,48.0,在售,113.318626,23.105472
君林天下,二手房,天河区,41216.94,40.0,在售,113.368845,23.189308
顺景居,二手房,增城区,10395.42,30.0,在售,113.824117,23.283482
东山龙珠大厦,二手房,越秀区,74506.5,20.0,在售,113.294031,23.127635
方圆公园一号,二手房,天河区,72202.93,30.0,在售,113.361416,23.127099
知识城悦辰壹号,新房,黄埔区,25322.0,35.0,在售,113.527801,23.325469
力迅荔筑,新房,荔湾区,52037.0,24.0,在售,113.235962,23.137077
骏怡居,二手房,花都区,9955.7,30.0,在售,113.203685,23.388214
保利琅誉,新房,番禺区,35760.0,35.1,在售,113.408877,22.942168
金丽园,二手房,黄埔区,20019.32,30.0,在售,113.458723,23.101982
岗前小区,二手房,增城区,9773.38,10.0,在售,113.824515,23.284399
华南理工大学宿舍红棉苑,二手房,天河区,63790.9,35.0,在售,113.342831,23.15129
锦绣银湾,二手房,番禺区,32885.75,32.0,在售,113.326328,23.028377
星海园,二手房,番禺区,14310.24,15.0,在售,113.370105,22.940547
银燕大厦,二手房,天河区,24361.95,20.0,在售,113.325526,23.159147
南屏苑,二手房,黄埔区,17672.85,30.0,在售,113.53282,23.088551
万科城市之光,二手房,黄埔区,45003.11,28.02,在售,113.465028,23.102945
富力万科云启,二手房,天河区,54349.7,31.0,在售,113.398194,23.130293
二矿小区,二手房,白云区,15110.81,40.0,在售,113.280753,23.219907
佳润云凯雅寓,二手房,白云区,19120.78,30.1,在售,113.327345,23.204687
保利天奕,新房,海珠区,80533.0,35.0,在售,113.365272,23.090934
东玥台,新房,增城区,12251.0,30.0,在售,113.620913,23.282816
五矿壹云台,二手房,黄埔区,25455.28,35.0,在售,113.510858,23.217029
绿茵翠庭,二手房,海珠区,34788.19,42.0,在售,113.326038,23.087777
中海橡园国际,二手房,海珠区,59488.09,30.0,在售,113.258568,23.088843
铂金公寓,二手房,天河区,21353.56,10.0,在售,113.350848,23.125047
碧桂园凤凰城凤妍苑,二手房,增城区,17311.78,40.0,在售,113.577331,23.126869
财局宿舍,二手房,荔湾区,16063.26,25.0,在售,113.230066,23.09495
家和天曜,二手房,天河区,23086.57,45.01,在售,113.433,23.141762
百事佳新村B区,二手房,白云区,21765.32,20.0,在售,113.264514,23.164086
永福路89号大院,二手房,越秀区,33556.96,32.0,在售,113.300572,23.152093
元邦明月水岸,二手房,荔湾区,29939.74,65.0,在售,113.227368,23.059228
宝能文化广场,二手房,黄埔区,36869.63,30.0,在售,113.486334,23.17739
海日苑,新房,越秀区,55731.0,7.9,售罄,113.268934,23.117262
绿地越秀海玥,二手房,海珠区,36347.67,35.0,在售,113.263171,23.07547
金碧小区,二手房,黄埔区,12301.5,0.35,在售,113.520021,23.048273
保利锦上,新房,黄埔区,28918.0,32.37,在售,113.54172,23.170847
恒骏花园,二手房,白云区,39463.18,30.0,在售,113.32506,23.18265
峰境园,二手房,花都区,9816.87,62.0,在售,113.441321,23.452712
顺德碧桂园芷兰湾,二手房,番禺区,17506.22,34.0,在售,113.286787,22.920509
侨怡苑,二手房,天河区,63676.69,35.0,在售,113.330436,23.140663
淘金大厦,二手房,越秀区,33928.41,22.0,在售,113.287433,23.143614
