POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
塘边公园,景观,公园,普通景点,(null),119.043474,29.600766
身边连锁超市(四季青店),商业,大型超市,(null),(null),120.188955,30.243598
杭州市临安区第四人民医院,医疗,综合医院,普通,(null),119.207152,30.160626
杭州市临安区第一人民医院,医疗,综合医院,普通,(null),119.7194,30.235317
联华超市(松木场店),商业,大型超市,(null),(null),120.146112,30.268244
世纪华联超市(曙光店),商业,大型超市,(null),(null),119.047231,29.593357
薛家峰公交站,交通,公交站,(null),(null),120.11053,30.461102
朱家坞公交站,交通,公交站,(null),(null),119.972726,30.221966
柳营公园,景观,公园,普通景点,(null),120.172488,30.261488
胥口公园,景观,公园,普通景点,(null),119.670588,29.981775
世纪联华超市(静安花苑店),商业,大型超市,(null),(null),120.201388,30.243663
地铁龙翔桥站公交站,交通,公交站,(null),(null),120.165842,30.254119
世纪华联超市(新华村店),商业,大型超市,(null),(null),120.297324,30.198512
杭州市夏衍初级中学,教育,中学,重点,高中,120.226576,30.288537
联华超市(教工路店),商业,大型超市,(null),(null),120.136093,30.280862
五常姚家埭公交站,交通,公交站,(null),(null),120.04385,30.292405
淳安县王阜乡中心学校郑中校区,教育,小学,普通,小学,118.917985,29.836321
萧山区妇幼保健院,医疗,专科医院,普通,(null),120.278847,30.18392
育德巷公交站,交通,公交站,(null),(null),120.1824,30.19329
张家勘公交站,交通,公交站,(null),(null),120.061771,29.972075
桐庐县新儿童公园,景观,公园,普通景点,(null),119.684489,29.787161
武林门地铁站,交通,地铁站,换乘二线,(在建)3号线后通段;2号线,120.155334,30.269792
群围公园,景观,公园,普通景点,(null),120.597379,30.176746
弥陀寺公园,景观,公园,普通景点,(null),120.150049,30.267009
慧仁家园公交站,交通,公交站,(null),(null),120.077856,30.331719
萧山信息港小学,教育,小学,普通,小学,120.251418,30.201065
华联购物(天城路店),商业,大型超市,(null),(null),120.205237,30.287162
沙洲小学,教育,小学,普通,小学,118.912712,29.791093
灯塔桥公交站,交通,公交站,(null),(null),120.430269,30.204236
庆春广场地铁站,交通,地铁站,非换乘,2号线,120.204748,30.257602
华联小超市(金乔街店),商业,大型超市,(null),(null),120.328076,30.325082
世纪华联超市(斜斜线),商业,大型超市,(null),(null),120.011804,29.88706
东何村公交站,交通,公交站,(null),(null),120.087556,30.012474
世纪华联超市(鸡笼山店),商业,大型超市,(null),(null),119.979956,30.084337
国庆村公交站,交通,公交站,(null),(null),120.07668,30.031385
梧桐弄公交站,交通,公交站,(null),(null),120.102153,30.146775
好运街地铁站,交通,地铁站,非换乘,4号线,120.100048,30.350198
