小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
春江花园,二手房,富阳区,30716.37,30.0,在售,119.943013,30.03296
大家绿城金麟府,二手房,拱墅区,57629.21,30.1,在售,120.148302,30.323337
绿城西子紫兰公寓,二手房,拱墅区,45164.9,30.0,在售,120.143068,30.298212
八卦新村,二手房,上城区,28616.13,10.0,在售,120.151317,30.206721
临之锦公寓,新房,临平区,24802.0,30.0,在售,120.298936,30.408696
雅颂美筑,新房,钱塘区,13155.0,35.0,售罄,120.59629,30.289273
翠园路小区,二手房,余杭区,15884.83,30.0,在售,119.973631,30.392422
香洲里,二手房,余杭区,34344.19,30.0,在售,120.037884,30.270392
金成花园,二手房,西湖区,39395.31,30.0,在售,120.105902,30.283439
通惠丽港,二手房,萧山区,19015.86,26.0,在售,120.282713,30.191713
潮鸣苑,二手房,拱墅区,36339.77,30.0,在售,120.182168,30.260712
美之园西区,二手房,萧山区,22033.97,40.0,在售,120.244869,30.172552
明江苑,二手房,萧山区,19616.41,25.0,在售,120.284046,30.191834
万陈花苑,二手房,临平区,16154.63,35.0,在售,120.267131,30.4392
钱江国际商务中心,二手房,上城区,22286.74,25.0,在售,120.17509,30.215727
联城公寓,二手房,临平区,11538.46,30.0,在售,120.302024,30.410041
西雅园,二手房,临安区,11619.67,30.0,在售,119.695689,30.224843
顺发康庄,二手房,萧山区,27324.54,30.0,在售,120.282153,30.246277
圆通公寓,二手房,桐庐县,8694.34,20.0,在售,119.67196,29.801278
太和广场,二手房,上城区,36689.38,15.0,在售,120.177221,30.216535
仁良花苑,二手房,余杭区,13553.39,30.0,在售,120.080755,30.438703
锦绣江南,二手房,滨江区,39884.26,30.0,在售,120.186066,30.202282
悦恺公寓,二手房,临平区,18085.52,36.0,在售,120.257968,30.391897
新白马公寓,二手房,萧山区,29393.22,35.0,在售,120.258977,30.179099
中山花园,二手房,拱墅区,27413.6,30.0,在售,120.166778,30.27588
嘉南公寓,二手房,桐庐县,7314.94,15.0,在售,119.677924,29.786435
保亿绿城奥邸国际,二手房,萧山区,71878.59,30.0,在售,120.236138,30.234246
勇进二轻楼,二手房,萧山区,11100.65,30.0,在售,120.249908,30.039688
江南明珠,二手房,钱塘区,7272.39,31.0,在售,120.540542,30.283812
绿城西子郁金香岸,二手房,萧山区,22973.61,25.0,在售,120.158054,30.138215
