小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
中民·幸福里,二手房,硚口区,11294.71,35.0,在售,114.21788,30.598024
长投珑庭,二手房,武昌区,21209.96,25.58,在售,114.331797,30.524998
荷塘月色,二手房,汉阳区,12127.09,39.0,在售,114.248742,30.562107
永利新城北苑,二手房,硚口区,10588.51,30.0,在售,114.213053,30.6027
紫润明园南区,二手房,硚口区,10096.45,35.0,在售,114.210284,30.6202
江汉北路108号,二手房,江岸区,16285.43,20.0,在售,114.275552,30.591142
珞狮路198号,二手房,洪山区,16691.39,20.0,在售,114.350047,30.515665
光谷和昌城·雅园,二手房,东湖新技术开发区,16918.5,30.0,在售,114.447572,30.476407
湖北药检宿舍,二手房,武昌区,9902.44,25.0,在售,114.331059,30.52584
解放社区,二手房,硚口区,12620.89,10.0,在售,114.248701,30.577145
北辰经开优+,二手房,经济开发区,3980.89,30.0,在售,114.147838,30.408786
长城别苑,二手房,东湖新技术开发区,8690.05,38.0,在售,114.384535,30.468824
明泽丰华苑下马湖,二手房,洪山区,8838.22,36.0,在售,114.324667,30.46781
新大地家园,二手房,武昌区,18697.9,45.0,在售,114.318626,30.508772
省建筑五公司西区,二手房,东湖新技术开发区,10505.84,25.0,在售,114.398965,30.508507
愉景湾,二手房,黄陂区,14533.13,30.0,在售,114.423005,30.714362
中建壹品澜郡,二手房,黄陂区,5698.11,30.0,在售,114.279377,30.755403
招商东城华府,二手房,江夏区,13410.09,35.0,在售,114.449601,30.43137
中大长江紫都三期,二手房,武昌区,14186.43,35.0,在售,114.284527,30.510746
紫阳东路71号,二手房,武昌区,14683.28,20.0,在售,114.326037,30.53071
聚豪华庭,二手房,武昌区,14573.84,32.0,在售,114.331764,30.533353
创意天地,二手房,洪山区,9165.9,40.0,在售,114.320862,30.472177
大成公寓,二手房,武昌区,15848.22,32.0,在售,114.297442,30.543461
澳门银座,二手房,江岸区,16178.4,11.2,在售,114.295573,30.601296
中建壹品·汉芯公馆,新房,江岸区,29079.0,35.0,在售,114.311888,30.617418
正堂山外山,二手房,洪山区,23913.33,35.0,在售,114.363473,30.580334
F天下,二手房,黄陂区,24793.56,66.7,在售,114.251398,30.719142
三鸿家园,二手房,洪山区,13649.27,10.0,在售,114.34061,30.508617
水墨丹青,二手房,汉阳区,14530.44,47.88,在售,114.246129,30.536319
联投金色港湾,二手房,经济开发区,14837.91,36.0,在售,114.150284,30.517493
中建南湖壹号,二手房,洪山区,22420.79,35.0,在售,114.349262,30.502667
三金鑫城国际润雅苑,二手房,江汉区,17283.09,36.0,在售,114.265062,30.612667
家安小区,二手房,硚口区,12286.32,15.0,在售,114.169734,30.607704
金盾花园,二手房,江汉区,11461.6,32.56,在售,114.233388,30.618236
常青花园五小区,二手房,东西湖区,18591.01,40.0,在售,114.240826,30.648155
凤凰新新家园二期,二手房,江夏区,9656.91,35.0,在售,114.42983,30.437628
沿海菱角湖壹号,二手房,江汉区,21358.28,35.0,在售,114.272107,30.605454
景胜花园,二手房,洪山区,10654.65,30.0,在售,114.383442,30.609422
冶金108街坊,二手房,青山区,11211.78,32.1,在售,114.398181,30.622257
坞家大巷40号,二手房,汉阳区,11760.7,30.0,在售,114.266742,30.545004
安卓小区,二手房,洪山区,19087.66,10.0,在售,114.369662,30.520601
武汉诺德逸都,二手房,新洲区,5138.71,27.0,在售,114.612977,30.682484
信泰公寓,二手房,江汉区,20303.17,20.0,在售,114.292999,30.571125
东方名居,二手房,蔡甸区,5700.65,33.0,在售,114.026575,30.582568
博学尚品,二手房,经济开发区,6865.15,15.0,在售,114.159799,30.502888
街道口汽门厂宿舍,二手房,洪山区,12638.54,35.0,在售,114.350796,30.524418
振跃尚府,二手房,江岸区,10897.19,30.0,在售,114.270101,30.642168
运管处家属楼,二手房,江汉区,18220.51,25.0,在售,114.256834,30.612666
新世纪都市花园梅园,二手房,江汉区,15066.67,44.3,在售,114.266732,30.607238
中鑫花园,二手房,新洲区,2990.6,32.0,在售,114.575511,30.653669
南国明珠四期,二手房,汉阳区,15716.01,35.0,在售,114.209264,30.538975
地质村,二手房,硚口区,14374.34,10.0,在售,114.267062,30.571696
世纪华庭(江夏),二手房,江夏区,8117.42,30.0,在售,114.312017,30.3424
万科四季花城西半岛,二手房,东西湖区,11939.58,41.0,在售,114.171901,30.656953
江宏别墅,二手房,武昌区,18816.8,36.0,在售,114.317164,30.519571
嘉怡苑,二手房,汉阳区,13138.19,30.0,在售,114.267735,30.540429
建发朗玥,新房,武昌区,37894.0,35.0,售罄,114.344119,30.561226
中国健康谷,二手房,蔡甸区,9401.38,35.0,在售,114.115024,30.537792
美城清芷园,二手房,武昌区,16574.5,35.0,在售,114.325771,30.572591
绿洲公寓,二手房,武昌区,10052.17,15.0,在售,114.315407,30.57212
航天银湖湾,二手房,东西湖区,13955.93,20.0,在售,114.2243,30.648724
保利时代,二手房,东湖新技术开发区,25920.0,35.0,在售,114.408681,30.491322
中法企业中心,新房,蔡甸区,9720.0,35.0,在售,114.092684,30.558442
育才二小教工宿舍,二手房,江岸区,17647.06,13.0,在售,114.28823,30.613112
世茂龙湾四期,二手房,蔡甸区,10521.08,40.0,在售,114.098485,30.489072
长投航空路壹号,二手房,江汉区,24003.8,30.0,在售,114.25974,30.586553
金都丽园,二手房,黄陂区,7096.77,35.0,在售,114.374632,30.873739
月湖琴声,二手房,汉阳区,17718.63,30.0,在售,114.24591,30.563602
北辰蔚蓝城市,二手房,黄陂区,6343.26,30.0,在售,114.270345,30.758527
绿地城北岛孝贤坊,二手房,汉南区,5045.39,30.0,在售,114.069675,30.332549
绿景花园,二手房,青山区,12269.81,30.0,在售,114.372472,30.609152
磨山社区,二手房,武昌区,16166.19,20.0,在售,114.406901,30.543135
未来家园,二手房,江岸区,30479.55,15.0,在售,114.305437,30.604319
恺得南湖国际,二手房,洪山区,17650.03,25.0,在售,114.343237,30.499135
向阳佳苑A区,二手房,武昌区,10940.71,10.0,在售,114.32991,30.526817
大华铂金华府,二手房,青山区,18714.88,32.0,在售,114.363239,30.62153
尖东智能花园,二手房,洪山区,13024.54,31.0,在售,114.398062,30.504366
二七新江岸生活广场,二手房,江岸区,14064.88,35.0,在售,114.30315,30.635171
博雅苑,二手房,武昌区,19688.0,31.0,在售,114.314909,30.508524
万科金色城市16地块,二手房,洪山区,7438.05,23.0,在售,114.261949,30.480893
亘星知音嘉苑(汉阳),二手房,汉阳区,13585.42,20.0,在售,114.217332,30.567627
二七花园,二手房,江岸区,13305.71,35.0,在售,114.305455,30.630389
清能清江锦城珂园,二手房,洪山区,14441.42,30.0,在售,114.289731,30.471586
香缇美景,二手房,江汉区,13153.93,32.0,在售,114.230846,30.616768
青年路20号,二手房,武昌区,28968.27,22.0,在售,114.349736,30.549804
葛光社区,二手房,东湖新技术开发区,11272.69,33.0,在售,114.423212,30.490404
电建地产泷悦长安,新房,汉阳区,12812.0,35.0,在售,114.213982,30.552637
永清路26号,二手房,江岸区,15750.76,30.0,在售,114.299042,30.61494
御江苑,二手房,江岸区,51965.0,30.0,在售,114.312771,30.608884
丽水天成,二手房,经济开发区,7928.26,41.0,在售,114.138552,30.464436
武汉沙湖中心,二手房,武昌区,35745.17,30.0,在售,114.34605,30.562599
江汉北路10号,二手房,江岸区,13404.41,20.0,在售,114.281712,30.588189
美联奥林匹克花园六期,二手房,东西湖区,16100.07,30.0,在售,114.239507,30.652419
百合苑,二手房,江岸区,13179.02,30.0,在售,114.318345,30.650215
德富花园,二手房,江汉区,12024.6,10.0,在售,114.265342,30.601475
龙江庭苑B区,二手房,汉阳区,12061.97,32.0,在售,114.253019,30.543702
经发龙湖雲峰原著,二手房,江夏区,12208.55,30.0,在售,114.347288,30.355705
东湖路80号,二手房,武昌区,29963.19,20.0,在售,114.34563,30.550264
嘉锦苑,二手房,江岸区,12926.19,37.0,在售,114.290579,30.641597
瑞成佳苑,二手房,东湖新技术开发区,8583.01,30.0,在售,114.436868,30.500704
汉口北SOHO,二手房,黄陂区,4715.56,40.0,在售,114.299438,30.701526
芳草苑,二手房,汉阳区,11304.43,30.0,在售,114.256474,30.519716
怡景北苑,二手房,硚口区,8832.98,35.69,在售,114.188703,30.589427
琨瑜府,新房,东湖新技术开发区,11724.0,28.0,售罄,114.415068,30.502478
常青1号,二手房,江汉区,14423.82,20.1,在售,114.241125,30.626032
观湖铂金公寓,二手房,江岸区,15164.42,30.0,在售,114.277042,30.5939
富豪社区祥和家园,二手房,江汉区,13592.0,38.0,在售,114.265876,30.60355
钢花村街118社区,二手房,青山区,13368.31,40.0,在售,114.384676,30.617675
农利小区,二手房,蔡甸区,5264.39,10.0,在售,114.032107,30.573854
保利城七期云廷,二手房,洪山区,14191.26,30.0,在售,114.362244,30.600509
三星阳景园,二手房,江岸区,17709.41,32.0,在售,114.29681,30.598958
中国电建地产·汉阳公馆,新房,汉阳区,16067.0,35.0,在售,114.251354,30.550055
张家湾派出所宿舍宿舍,二手房,洪山区,9531.47,25.0,在售,114.283541,30.489402
龙江庭苑A区,二手房,汉阳区,13747.68,32.0,在售,114.251875,30.543562
华乐苑,二手房,洪山区,13290.9,30.0,在售,114.388665,30.50639
中福时代,二手房,江岸区,24861.47,10.1,在售,114.299887,30.596271
枫香苑,二手房,武昌区,10194.52,42.0,在售,114.298254,30.512878
妙墩路42号,二手房,江汉区,13654.82,30.0,在售,114.262369,30.593018
琨瑜之星,二手房,江夏区,5693.69,30.0,在售,114.396214,30.343587
姚家岭1到1000号,二手房,武昌区,16094.52,56.0,在售,114.335965,30.549656
绿地城,二手房,汉南区,5784.51,30.0,在售,114.06022,30.336
肉联宿舍,二手房,黄陂区,7875.81,18.0,在售,114.384518,30.871181
武南三村,二手房,武昌区,14708.77,20.0,在售,114.315316,30.526144
兴华尚都国际,二手房,硚口区,17755.19,30.0,在售,114.231791,30.591047
逸馨苑,二手房,江夏区,9778.66,30.0,在售,114.33074,30.355985
绿城桂湖雲翠,新房,洪山区,24150.0,40.0,在售,114.360795,30.500104
航城丽都,二手房,汉南区,4503.38,35.0,在售,114.068416,30.301355
江腾苑D区,二手房,汉阳区,9937.14,30.0,在售,114.254023,30.531872
东合官湖郡,二手房,经济开发区,10316.46,35.0,在售,114.141434,30.483785
亚安花园,二手房,江岸区,18025.31,40.0,在售,114.300111,30.619745
湖北建材宿舍,二手房,武昌区,35758.86,30.0,在售,114.329456,30.539298
保利海寓,二手房,江夏区,9553.76,35.0,在售,114.371854,30.396525
城明花园,二手房,江夏区,7330.12,42.0,在售,114.316606,30.359624
广电兰亭盛荟,新房,汉阳区,12179.0,35.28,售罄,114.234795,30.514878
新希望锦粼九里一期,二手房,东湖新技术开发区,10903.22,35.0,在售,114.501147,30.450197
华工镜湖园,二手房,江夏区,8808.8,45.0,在售,114.405967,30.429716
武重经济实用小区,二手房,武昌区,17711.14,30.0,在售,114.349626,30.557697
哈楼,二手房,江岸区,19658.13,20.0,在售,114.308504,30.64581
珞珈雅苑,二手房,洪山区,15491.63,38.6,在售,114.335691,30.489133
金地花园小区,二手房,江夏区,13436.29,30.0,在售,114.325771,30.363479
教育电视台宿舍,二手房,江汉区,4923.37,30.0,在售,114.251182,30.611623
华润中央公园一期,二手房,汉阳区,17039.51,30.0,在售,114.239222,30.565887
康园小区,二手房,东湖新技术开发区,12450.81,28.0,在售,114.400818,30.512156
藏龙锦东二期,二手房,江夏区,12533.42,15.0,在售,114.443844,30.435162
金茂花园,二手房,蔡甸区,6097.1,10.0,在售,114.036195,30.573539
龙凯大厦,二手房,武昌区,19481.52,20.0,在售,114.347188,30.60414
凤凰花园二期,二手房,江夏区,10761.61,30.0,在售,114.423974,30.440849
航发天虹城,新房,东西湖区,8089.0,30.0,在售,114.016373,30.649149
