POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
上沙地铁站,交通,地铁站,非换乘,7号线/西丽线,114.035504,22.524612
罗屋围旧村社区公园,景观,公园,普通景点,(null),114.01032,22.684969
龙塘公园,景观,公园,普通景点,(null),114.009041,22.636531
龙胜地铁站,交通,地铁站,非换乘,4号线/龙华线,114.01201,22.644739
盒马邻里(深圳龙岗万科第五园店),商业,大型超市,(null),(null),114.071031,22.612881
春风公园,景观,公园,普通景点,(null),114.115637,22.535471
正力时代广场,商业,购物中心,(null),(null),113.944647,22.759876
龙西街心公园,景观,公园,普通景点,(null),114.251086,22.742654
章阁背礼园社区公园,景观,公园,普通景点,(null),114.019513,22.738648
星河COCO Park(福田店),商业,购物中心,(null),(null),114.054007,22.533569
长坑社康服务中心,医疗,综合医院,普通,(null),114.064442,22.632342
深圳湾滨海休闲带西段,景观,公园,普通景点,(null),113.942946,22.484556
深圳市龙岗区人民医院公园大地社区健康服务中心,医疗,综合医院,普通,(null),114.237612,22.711893
布澜路联创社区公园,景观,公园,普通景点,(null),114.130091,22.633312
文华社区健康服务中心,医疗,综合医院,普通,(null),114.135025,22.544639
前海小学,教育,小学,普通,(null),113.911492,22.534632
樟坑径下围社区公园,景观,公园,普通景点,(null),114.074987,22.68839
沙溪小学,教育,小学,普通,(null),113.832908,22.776455
培英文武实验学校,教育,中学,普通,(null),113.910549,22.784825
大浪赤岭头商贸城,商业,购物中心,(null),(null),114.010314,22.648793
深圳购物公园,商业,购物中心,(null),(null),114.053848,22.535704
消防文化主题公园,景观,公园,普通景点,(null),114.306141,22.765396
君尚D区L1-12,商业,购物中心,(null),(null),114.084227,22.54223
新天社区公园,景观,公园,普通景点,(null),114.024971,22.552469
荔枝公园,景观,公园,普通景点,(null),114.102313,22.545539
万科运动社区公园,景观,公园,普通景点,(null),114.068207,22.559461
上芬社区公园,景观,公园,普通景点,(null),114.019597,22.639094
凤凰生态园,景观,公园,普通景点,(null),113.849803,22.690777
华润万家标超南区(前海湾店),商业,大型超市,(null),(null),113.886942,22.5092
华侨城欢乐海岸,景观,公园,5A级景区,(null),113.987934,22.523417
华润万家(万丰店),商业,大型超市,(null),(null),113.826781,22.712684
彩虹缤纷城,商业,购物中心,(null),(null),113.825021,22.67424
坣岗小学,教育,小学,普通,(null),113.819375,22.734338
蛇地坑公园,景观,公园,普通景点,(null),114.084771,22.680126
白龙头公园,景观,公园,普通景点,(null),114.100036,22.690774
瑞盛百货,商业,购物中心,(null),(null),113.836014,22.630604
石厦地铁站,交通,地铁站,换乘二线,3号线/龙岗线;7号线/西丽线,114.053616,22.523708
横岗大厦Hone商场,商业,购物中心,(null),(null),114.207806,22.646547
江岭社区公园,景观,公园,普通景点,(null),114.369308,22.660702
马成时代广场C区,商业,购物中心,(null),(null),114.053263,22.520163
平峦山公园,景观,公园,普通景点,(null),113.876462,22.608322
福田区黄埔学校中学部,教育,中学,普通,(null),114.053465,22.546199
德逸公园,景观,公园,普通景点,(null),114.028435,22.632596
东坑社区健康服务中心,医疗,综合医院,普通,(null),113.916031,22.754441
嘉园小区社区公园,景观,公园,普通景点,(null),114.022521,22.555253
平安里学校,教育,中学,普通,(null),114.220784,22.724934
2013时代广场,商业,购物中心,(null),(null),114.192093,22.648828
深圳市大磡小学,教育,小学,普通,(null),113.971931,22.621543
径贝社区公园,景观,公园,普通景点,(null),113.919596,22.691363
华润万家(西丽店),商业,大型超市,(null),(null),113.959561,22.570558
华升学校,教育,小学,普通,(null),114.263706,22.730589
一商场,商业,购物中心,(null),(null),114.120076,22.535648
深圳市罗湖区人民医院,医疗,综合医院,三甲,(null),114.122198,22.53785
