小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
东部翠海轩,二手房,盐田区,30393.06,26.0,在售,114.242579,22.562657
东海十八居,二手房,福田区,113687.74,35.0,在售,114.024951,22.539861
佳兆业大都汇,二手房,龙岗区,27039.71,15.2,在售,114.122754,22.601515
八卦岭宿舍,二手房,福田区,75443.46,30.0,在售,114.101304,22.561009
青橙时代,二手房,罗湖区,54361.82,50.11,在售,114.138283,22.583302
溪山禾玺御府,新房,龙华区,44354.0,40.0,在售,114.051676,22.720055
文汇花园,二手房,宝安区,32722.38,30.0,在售,113.896195,22.570098
泰宁小区,二手房,罗湖区,37402.96,35.0,在售,114.140973,22.565951
建业小区北区,二手房,福田区,92809.45,30.0,在售,114.012734,22.541062
瑞铧苑,二手房,南山区,82228.47,15.0,在售,113.933038,22.512435
深业新岸线三期,二手房,宝安区,68223.94,72.3,在售,113.873268,22.558578
岗厦辛诚花园,二手房,福田区,57879.18,38.0,在售,114.066449,22.531716
新城花园,二手房,宝安区,28926.94,32.0,在售,113.894649,22.565745
莱蒙水榭云上,新房,龙华区,69045.0,30.0,售罄,114.012399,22.631009
阳光新干线家园,二手房,罗湖区,46794.68,46.0,在售,114.127068,22.537749
南油生活B区,二手房,南山区,50239.8,10.0,在售,113.92871,22.50907
长虹住宅楼,二手房,福田区,51970.55,10.0,在售,114.095704,22.538304
银山楼,二手房,罗湖区,44345.14,20.0,在售,114.112468,22.56864
国城花园,二手房,福田区,126232.58,35.0,在售,114.095034,22.551104
上步码头小区,二手房,福田区,48904.69,20.3,在售,114.085203,22.530077
天地大厦,二手房,罗湖区,31992.99,30.0,在售,114.109726,22.552972
港湾花园,二手房,南山区,59586.05,35.0,在售,113.934814,22.486877
光彩山居岁月,二手房,南山区,63953.53,50.0,在售,113.907455,22.507916
翠枫豪园二期,二手房,龙岗区,38758.26,20.0,在售,114.102109,22.612297
天然居,二手房,福田区,68542.25,46.0,在售,114.035793,22.55425
黄埔雅苑四期,二手房,福田区,89670.12,30.0,在售,114.054072,22.545465
欧景花园一期,二手房,龙岗区,31744.15,42.0,在售,114.234833,22.724849
佳兆业云望府,新房,龙岗区,62238.0,40.0,在售,114.081354,22.649715
晶品居,二手房,南山区,62265.54,22.0,在售,113.933942,22.545033
远洋新干线一期,二手房,龙岗区,35213.08,30.0,在售,114.261486,22.717976
光侨街住宅区,二手房,南山区,71720.0,50.0,在售,113.98667,22.535579
荣华里,二手房,罗湖区,56246.39,28.45,在售,114.112804,22.54309
莲塘134栋住宅楼,二手房,罗湖区,25063.27,20.0,在售,114.1749,22.564346
珠江旭景佳园,二手房,龙岗区,35667.76,31.49,在售,114.070803,22.622451
太子山庄,二手房,南山区,52133.73,48.0,在售,113.906681,22.509902
怡海楼,二手房,宝安区,42661.29,60.0,在售,113.825185,22.67287
大发埔128号,二手房,龙岗区,20247.91,20.0,在售,114.054485,22.629356
景田燃气综合楼,二手房,福田区,50069.69,10.0,在售,114.04121,22.554246
湖彬苑,二手房,南山区,58109.56,30.0,在售,113.982226,22.562878
珑御府,二手房,南山区,104990.22,34.55,在售,113.949434,22.526251
天健时尚空间名苑,二手房,宝安区,80325.42,21.0,在售,113.889063,22.549572
香缇雅苑,二手房,龙华区,36224.53,42.0,在售,114.04349,22.642628
布心公寓,二手房,罗湖区,58476.99,25.0,在售,114.1373,22.577644
鑫竹苑,二手房,福田区,101417.67,20.0,在售,114.017679,22.53781
南粤山庄,二手房,南山区,46465.42,41.0,在售,113.916058,22.507535
润唐山庄,二手房,罗湖区,44774.45,53.0,在售,114.080292,22.576041
福田外贸大厦,二手房,福田区,62662.8,54.0,在售,114.083069,22.537272
山海公馆,二手房,宝安区,58120.76,30.0,在售,113.854159,22.589563
华景花园(梅林),二手房,福田区,43766.94,25.0,在售,114.058336,22.565014
铁东小区,二手房,罗湖区,39586.33,10.0,在售,114.116815,22.562124
泰华明珠,二手房,宝安区,33210.43,30.0,在售,113.885589,22.581629
乐山居,二手房,福田区,46424.63,20.0,在售,114.089929,22.563379
康乐花园,二手房,龙岗区,29534.91,30.0,在售,114.188623,22.648586
中商花园,二手房,宝安区,38735.8,40.5,在售,113.898775,22.552839
金迪世纪大厦,二手房,南山区,99906.41,40.0,在售,113.993474,22.541942
富佳苑,二手房,宝安区,33535.71,30.0,在售,113.887969,22.565111
勤诚达前海世界,二手房,宝安区,81201.36,36.5,在售,113.908634,22.572078
宝海花园,二手房,宝安区,38363.08,30.0,在售,113.902808,22.557743
沙浦头康乐中心,二手房,福田区,46042.81,10.0,在售,114.094384,22.538049
皇洲花园,二手房,福田区,39621.97,30.0,在售,114.071964,22.530867
龙光玖钻,二手房,龙华区,39399.46,35.0,在售,114.022362,22.621638
中海大山地南区,二手房,龙岗区,34798.78,41.2,在售,114.178341,22.644215
鸿荣源·壹方中心·玖誉,二手房,宝安区,129313.48,30.0,在售,113.887484,22.552339
白金时代,二手房,宝安区,55176.4,60.0,在售,113.897002,22.56598
湾厦福园,二手房,南山区,63673.31,30.0,在售,113.92845,22.493311
阳光明居,二手房,罗湖区,58241.23,45.11,在售,114.134585,22.583077
水晶之城二期,二手房,龙岗区,32162.2,35.0,在售,114.226034,22.66867
红荔村,二手房,福田区,71171.98,50.0,在售,114.090687,22.547035
中海天钻,二手房,罗湖区,99343.94,30.0,在售,114.107333,22.534134
鸿景翠峰花园,二手房,罗湖区,59505.39,36.0,在售,114.189795,22.557193
鸿荣源禧园,二手房,宝安区,44986.88,30.0,在售,113.826185,22.731126
华晖云门,二手房,南山区,88011.73,40.0,在售,114.000698,22.592152
骏景华庭,二手房,龙华区,26995.23,42.0,在售,114.040327,22.628837
佳华领域广场,二手房,龙华区,46489.64,30.1,在售,114.055935,22.715123
嘉意台,二手房,福田区,57965.31,35.1,在售,114.064795,22.520212
万达丰大厦,二手房,罗湖区,42386.66,21.01,在售,114.124855,22.551934
高发公寓,二手房,南山区,58817.05,30.0,在售,113.974601,22.556586
城中雅苑,二手房,福田区,72267.23,52.0,在售,114.052387,22.531632
南园枫叶国际广场,二手房,南山区,59683.82,29.0,在售,113.921505,22.516622
信义金御半山一期,二手房,龙岗区,71204.87,30.0,在售,114.129942,22.591362
建设集团宿舍,二手房,罗湖区,72237.46,35.0,在售,114.104902,22.554369
仙湖枫景家园,二手房,罗湖区,40436.11,31.0,在售,114.169827,22.565921
林海山庄,二手房,福田区,41558.78,24.0,在售,114.032212,22.559474
鸿浩阁,二手房,福田区,78636.97,15.0,在售,114.042094,22.569216
莲花山庄三村,二手房,龙岗区,63580.43,25.0,在售,114.10925,22.600153
世界花园米兰居,二手房,南山区,42138.9,45.0,在售,113.97248,22.539796
桑达小区,二手房,福田区,86534.13,25.0,在售,114.089573,22.543478
景园大厦(松园路),二手房,罗湖区,12828.19,25.0,在售,114.105485,22.55266
东方皇宫,二手房,罗湖区,33487.82,30.1,在售,114.121305,22.542351
合正观澜汇二期,二手房,龙华区,46177.53,25.0,在售,114.040929,22.701642
科苑居,二手房,南山区,73018.84,10.0,在售,113.943522,22.542929
三和村二区,二手房,龙岗区,15015.91,25.0,在售,114.278908,22.726168
福盈中央山,二手房,光明区,32249.18,31.0,在售,113.898981,22.776618
阳基新天地,二手房,龙岗区,32821.22,35.0,在售,114.156891,22.623885
水木澜山居,二手房,福田区,59242.75,25.0,在售,114.071418,22.571554
城投七里香榭,二手房,龙华区,52429.95,45.0,在售,114.025915,22.630631
祥韵苑,二手房,福田区,51588.71,25.0,在售,114.054452,22.526727
都市阳光名苑,二手房,福田区,46454.74,65.0,在售,114.025461,22.535279
润恒尚园,二手房,宝安区,62238.0,35.5,在售,113.856448,22.584045
华达园公寓,二手房,罗湖区,41047.73,35.0,在售,114.12991,22.573883
创城宜城风景,二手房,龙岗区,22397.37,40.1,在售,114.305898,22.766685
中海九号公馆,二手房,宝安区,83153.29,35.0,在售,113.899864,22.600623
阳光海滨花园,二手房,南山区,168543.74,35.0,在售,113.940808,22.490496
星海名城六期,二手房,南山区,56285.88,34.0,在售,113.912083,22.53926
凤凰路6号大院,二手房,罗湖区,49650.65,40.0,在售,114.133299,22.549021
雅仕阁,二手房,宝安区,36623.49,26.0,在售,113.896802,22.57527
光大村,二手房,南山区,49883.93,32.0,在售,113.923106,22.526156
福围阁,二手房,福田区,41882.18,15.0,在售,114.064388,22.519433
锦隆花园,二手房,南山区,56525.42,37.0,在售,113.933574,22.524666
金地翠园,二手房,福田区,71651.95,50.0,在售,114.053959,22.524451
梅林一村十一区,二手房,福田区,79616.37,46.0,在售,114.034921,22.566703
阳光天下花园,二手房,福田区,68850.71,42.0,在售,114.04363,22.570259
凤凰印象,二手房,罗湖区,70447.69,11.0,在售,114.133439,22.547377
蓝郡广场,二手房,盐田区,71206.35,30.0,在售,114.23734,22.55038
卓越前海壹号,二手房,南山区,156233.55,10.0,在售,113.900609,22.529286
岸上林居,二手房,龙岗区,31219.77,32.0,在售,114.2478,22.739178
中海西岸华府南区,二手房,宝安区,39385.59,42.0,在售,113.822258,22.768668
深业东岭一期,二手房,罗湖区,65218.4,30.0,在售,114.140716,22.549452
清凤创投大厦,二手房,福田区,171035.67,35.0,在售,114.101095,22.562178
依仙湖居,二手房,罗湖区,40164.83,45.0,在售,114.169351,22.567931
东门金座,二手房,罗湖区,50195.89,35.12,在售,114.119347,22.54815
龙光玖云著,二手房,坪山区,30405.5,32.0,在售,114.330759,22.6795
恒立听海花园,二手房,南山区,91532.8,40.02,在售,113.946571,22.523481
圆梦园,二手房,福田区,38576.82,30.0,在售,114.057608,22.509395
香珠花园,二手房,福田区,82468.97,35.0,在售,114.020023,22.537615
福怡商住中心,二手房,宝安区,33411.11,20.0,在售,113.821385,22.671344
大芬油画苑,二手房,龙岗区,32787.17,2.8,在售,114.135963,22.606307
自由港湾公寓,二手房,福田区,44281.97,35.0,在售,114.050273,22.509014
颐樾府,新房,龙华区,65021.0,40.0,在售,114.021204,22.631725
丹翠欣苑小区,二手房,龙岗区,32924.72,28.0,在售,114.141134,22.625874
关前楼,二手房,盐田区,31625.84,30.0,在售,114.231855,22.546669
丽乐美居,二手房,南山区,45411.3,36.0,在售,113.91766,22.536001
燃气公司小区,二手房,福田区,43086.66,30.0,在售,114.094246,22.536713
京基御景中央,二手房,龙岗区,56242.4,45.0,在售,114.207928,22.705895
宝岗花园,二手房,罗湖区,52469.33,5.6,在售,114.112155,22.566046
桂芳园二期,二手房,龙岗区,30634.25,55.0,在售,114.142167,22.615774
中润百分百公寓,二手房,南山区,59920.17,25.0,在售,113.928512,22.526065
融富花园,二手房,龙岗区,20931.73,15.0,在售,114.302102,22.770951
云顶天海,二手房,盐田区,32897.37,31.3,在售,114.30586,22.600977
中爱花园,二手房,南山区,55725.2,40.0,在售,113.984387,22.560324
西海岸花园,二手房,宝安区,46157.12,37.0,在售,113.888796,22.563147
英郡年华花园一期,二手房,龙岗区,36489.85,40.0,在售,114.149447,22.617092
阳光新居,二手房,宝安区,34262.77,35.0,在售,113.857644,22.609425
花样年·好时光,新房,坪山区,28236.0,35.6,在售,114.337651,22.688742
中城康桥花园二期,二手房,龙岗区,29335.73,39.0,在售,114.14333,22.625907
盛荟居,二手房,龙华区,64400.48,30.0,在售,114.015816,22.636081
五洲星苑,二手房,福田区,57910.24,35.0,在售,114.04546,22.542197
假日湾,二手房,南山区,66958.46,50.01,在售,113.97769,22.539491
天鹅堡,二手房,南山区,76622.32,55.0,在售,113.977484,22.547116
海川阁,二手房,盐田区,33237.44,42.0,在售,114.272476,22.586774
科技园四十八区,二手房,南山区,82278.53,25.0,在售,113.946822,22.548953
雷公岭住宅A区,二手房,南山区,56512.48,32.0,在售,113.92786,22.491321
依山居,二手房,福田区,49440.73,20.0,在售,114.089488,22.562028
世界金融中心,二手房,罗湖区,51585.31,30.0,在售,114.114565,22.541865
金盾花园,二手房,罗湖区,54972.36,30.0,在售,114.133874,22.551006
蓝虹雅苑,二手房,南山区,13679.65,20.1,在售,113.929832,22.541023
湖滨阁,二手房,罗湖区,48413.63,35.01,在售,114.138689,22.558114
海乐华府,二手房,宝安区,55359.53,40.0,在售,113.902981,22.555206
康欣园,二手房,福田区,51615.05,40.0,在售,114.038195,22.553402
盈富家园,二手房,坪山区,22201.48,3.2,在售,114.368789,22.70371
阳光花园三期,二手房,龙岗区,33694.72,36.0,在售,114.114068,22.615071
香逸名园,二手房,福田区,49033.94,35.0,在售,114.04095,22.542142
深业御园,二手房,坪山区,25496.99,31.0,在售,114.398102,22.74125
海晖大厦,二手房,南山区,48710.35,20.0,在售,113.925792,22.507957
田贝花园,二手房,罗湖区,47694.45,22.0,在售,114.122055,22.563606
翠山工业区单身宿舍,二手房,罗湖区,50188.39,15.0,在售,114.122236,22.581177
文锦花园,二手房,罗湖区,36283.85,30.0,在售,114.132475,22.543467
丽湖花园三期,二手房,龙岗区,24504.79,40.5,在售,114.106822,22.630272
松坪村竹苑,二手房,南山区,65972.47,28.0,在售,113.954576,22.557357
50区开屏中心,二手房,宝安区,37042.53,30.3,在售,113.884627,22.569439
东都花园一期一区,二手房,龙岗区,25354.37,30.0,在售,114.236455,22.708133
风临四季,二手房,龙岗区,28434.51,48.1,在售,114.291129,22.727797
雨田村二期,二手房,福田区,47086.6,20.0,在售,114.055159,22.560191
鸿荣源尚峻花园一期,二手房,龙华区,71755.04,40.0,在售,114.012446,22.640801
雍山郡花园,新房,龙岗区,25429.0,40.0,在售,114.275822,22.754123
港铁天颂,二手房,龙华区,64270.37,30.0,在售,114.01006,22.644708
翠华花园,二手房,罗湖区,69605.44,30.0,在售,114.132427,22.555542
