POI名称,一级标签,二级标签,三级标签,四级标签,中心点经度,中心点纬度
华通公园,景观,公园,普通景点,(null),120.468584,31.376655
东亚购物中心,商业,购物中心,(null),(null),120.644999,31.161933
学士中心小学校,教育,小学,普通,小学,120.610011,31.308762
什物谷(金运店),商业,大型超市,(null),(null),120.511073,31.239851
昆山市信义小学,教育,小学,普通,小学,120.884894,31.397423
狮山当代MOMA-商业广场,商业,购物中心,(null),(null),120.530949,31.277129
昆山市妇女儿童医院,医疗,专科医院,普通,(null),120.997258,31.379476
枫津新村北公交站,交通,公交站,(null),(null),120.548668,31.305851
苏州市育才学校,教育,小学,普通,小学,120.570565,31.215679
吴江市铜罗中心小学,教育,小学,普通,小学,120.530312,30.834018
菱湖渚公园,景观,公园,普通景点,(null),120.434443,31.13144
山塘中心小学,教育,小学,普通,小学,120.595623,31.324031
电缆厂公交站,交通,公交站,(null),(null),120.448767,31.098108
泰慈,景观,公园,普通景点,(null),120.763796,31.675129
健生源医院(葑门路),医疗,综合医院,普通,(null),120.646307,31.299864
车坊人民医院,医疗,综合医院,普通,(null),120.752379,31.246072
祖家桥南公交站,交通,公交站,(null),(null),120.404809,31.324102
青龙公交站,交通,公交站,(null),(null),120.569627,31.432088
吴绫实验小学,教育,小学,普通,小学,120.632584,30.863924
暨阳实验小学城西校区,教育,小学,普通,小学,120.522794,31.853059
胥口第二实验小学,教育,小学,普通,小学,120.482463,31.23287
城厢街道第一小学,教育,小学,普通,小学,121.104411,31.446504
花泾港桥东公交站,交通,公交站,(null),(null),120.707383,31.233702
艾.里中心,商业,购物中心,(null),(null),121.020827,31.172593
上海如海超市(商鞅路店),商业,大型超市,(null),(null),120.944068,31.277943
竹窝路公交站,交通,公交站,(null),(null),120.529449,31.248173
兆佳巷邻里中心,商业,购物中心,(null),(null),120.755394,31.315929
昆山市第二人民医院,医疗,综合医院,普通,(null),120.952254,31.38111
马运路地铁站,交通,地铁站,非换乘,3号线,120.539455,31.317646
汾湖高新技术产业开发区实验小学,教育,小学,普通,小学,120.865686,31.031834
华润万家(越溪店),商业,大型超市,(null),(null),120.593097,31.216487
夏桥邻里中心,商业,购物中心,(null),(null),121.043739,31.342148
新天地I号馆,商业,购物中心,(null),(null),120.63192,31.388062
世纪华联超市(箭泾店),商业,大型超市,(null),(null),120.487335,31.224424
祖冲之路地铁站,交通,地铁站,非换乘,(在建)S1号线,120.895123,31.381209
陆慕地铁站,交通,地铁站,非换乘,2号线,120.623449,31.353291
