小区名称,小区属性,区域名称,成交均价,绿化率,销售状态,中心点经度,中心点纬度
天平花园,二手房,吴中区,16351.82,42.51,在售,120.520322,31.267363
朴石翰和苑,新房,常熟市,16475.0,35.0,在售,120.718044,31.607411
春和景庭,新房,常熟市,13090.0,35.0,在售,120.84826,31.636146
龙惠花苑二期,二手房,虎丘区,17499.65,30.0,在售,120.407366,31.341377
太湖高尔夫山庄,二手房,吴中区,25430.14,54.3,在售,120.405209,31.215723
都市水苑,二手房,张家港市,13412.99,21.0,在售,120.532269,31.878197
金淞湾花园,二手房,工业园区,21895.7,30.1,在售,120.824094,31.294702
人民银行家属楼,二手房,虎丘区,31748.15,30.0,在售,120.567264,31.293462
海星生活广场,二手房,吴中区,20007.27,26.08,在售,120.632078,31.255009
福汇雅居,新房,常熟市,12214.0,30.1,在售,120.971736,31.614416
香城颐园,二手房,相城区,21289.83,37.0,在售,120.626035,31.355087
湖滨华城祥瑞苑,二手房,吴江区,14692.46,30.0,在售,120.634015,31.129479
星湖花海,二手房,相城区,17620.15,42.0,在售,120.648728,31.389705
东方海悦花园,二手房,吴江区,13918.87,46.0,在售,120.660509,31.166909
澄湖水岸别墅,二手房,吴中区,37124.58,55.0,在售,120.842341,31.244567
樾阁花园,二手房,昆山市,30797.66,25.0,在售,120.959798,31.389294
水云居东区,二手房,工业园区,47266.07,45.0,在售,120.68377,31.292373
金狮河沿11号,二手房,姑苏区,20642.49,35.0,在售,120.619836,31.299075
南湖景苑,二手房,吴江区,9527.34,30.0,在售,120.706851,31.011476
万科玉玲珑,新房,相城区,23760.0,37.0,售罄,120.610182,31.398719
静湖别墅,二手房,相城区,49703.89,74.0,在售,120.652686,31.366791
苏州湾景苑,新房,吴江区,23610.0,35.0,在售,120.594781,31.141759
星胜客（北）,二手房,工业园区,20812.14,37.0,在售,120.819595,31.301747
西中市散盘,二手房,姑苏区,21249.03,30.0,在售,120.608732,31.317069
清嘉苑,二手房,姑苏区,15936.88,37.0,在售,120.56798,31.327431
登云家园,二手房,相城区,16657.21,30.1,在售,120.644789,31.405028
金域蓝湾四区,二手房,常熟市,11990.31,30.0,在售,120.826122,31.639297
盛泽红星天铂,新房,吴江区,12231.0,35.0,售罄,120.604033,30.901705
和悦新宸,二手房,太仓市,11126.51,37.0,在售,121.260129,31.503434
建发尚虞院,二手房,常熟市,15372.57,35.0,在售,120.737265,31.628936
雅戈尔潇邦东区,二手房,工业园区,53582.58,46.0,在售,120.706844,31.331167
朝阳荟生活广场,二手房,昆山市,25082.93,30.0,在售,120.960441,31.373002
三元小区,二手房,常熟市,11315.79,35.0,在售,120.751301,31.637959
石湖金钻,二手房,吴中区,8642.59,20.0,在售,120.60176,31.21522
万达华府,二手房,吴中区,21281.76,16.0,在售,120.604964,31.254276
美的正荣·春栖和庭,二手房,相城区,15386.05,37.0,在售,120.540291,31.440296
中元商务大厦,二手房,吴中区,7190.61,24.9,在售,120.628204,31.264256
赛格又一城,二手房,虎丘区,10452.66,34.0,在售,120.574561,31.282864
滨江科技创新中心花园,二手房,常熟市,10831.74,32.0,在售,120.935534,31.75145
昆山柏盛园,二手房,昆山市,22655.61,35.0,在售,120.965491,31.364393
星韵花园三期,二手房,虎丘区,28661.13,35.0,在售,120.57191,31.277733
丽都花园,二手房,吴江区,13773.21,35.0,在售,120.638663,31.143432
运河公馆,二手房,虎丘区,21128.71,31.0,在售,120.522851,31.36631
淀山湖壹号,二手房,昆山市,17479.42,41.0,在售,121.017812,31.154588
胡同新村,二手房,张家港市,5690.05,35.0,在售,120.635749,31.806926
盘门新村,二手房,姑苏区,20304.43,22.0,在售,120.616627,31.284638
万丰里,二手房,姑苏区,23179.97,35.0,在售,120.620356,31.283966
学士林,二手房,姑苏区,39610.57,29.0,在售,120.611482,31.30291
平齐路散盘,二手房,姑苏区,19940.4,30.0,在售,120.622494,31.327992
华盛园社区,二手房,太仓市,9373.58,24.0,在售,121.101657,31.467659
狮子山澜院,二手房,虎丘区,64031.18,37.0,在售,120.546108,31.286147
时代名苑,二手房,昆山市,14004.26,41.6,在售,120.996283,31.404613
雪枫公寓二期,二手房,姑苏区,4040.74,30.0,在售,120.577138,31.311508
万通大厦,二手房,姑苏区,8995.73,20.0,在售,120.578948,31.296692
龙景花园南区,二手房,虎丘区,15065.67,35.0,在售,120.395485,31.327966
圆明新村,二手房,昆山市,15918.51,20.0,在售,120.980886,31.363132
中城花园嘉景庭,二手房,昆山市,11603.97,30.0,在售,121.137665,31.302474
中地花园,二手房,昆山市,9757.39,30.0,在售,121.011985,31.268172
梅家桥花园,二手房,吴中区,15413.04,13.0,在售,120.521443,31.284652
南田村36号,二手房,姑苏区,23015.34,36.44,在售,120.627133,31.330817
中交MINI墅,二手房,虎丘区,9866.64,15.0,在售,120.534132,31.347936
李闸小区,二手房,常熟市,11115.09,37.0,在售,120.745749,31.655028
新升新苑,二手房,虎丘区,22078.33,40.0,在售,120.537009,31.281353
