POI名称,小区名称,距离
金元宝滨海国际购物中心,岳阳里(塘沽区),2.65
金元宝滨海国际购物中心,融科瀚棠丰合园,2.51
金元宝滨海国际购物中心,宏达园,2.18
金元宝滨海国际购物中心,金科集美天城,2.38
金元宝滨海国际购物中心,治国里,2.77
金元宝滨海国际购物中心,苏州里,2.96
金元宝滨海国际购物中心,芳林泰达园,1.34
金元宝滨海国际购物中心,鲲鹏苑,0.84
金元宝滨海国际购物中心,万科大都会1号,1.8
金元宝滨海国际购物中心,翠亨村C区,1.44
金元宝滨海国际购物中心,鸿泰花园别墅,1.73
金元宝滨海国际购物中心,万通华府B区,2.2
金元宝滨海国际购物中心,佳缘公寓,1.65
金元宝滨海国际购物中心,爱丽家园西区,1.95
金元宝滨海国际购物中心,芳园里(塘沽区),1.88
金元宝滨海国际购物中心,华云园,3.0
金元宝滨海国际购物中心,泰达国际公寓,0.37
金元宝滨海国际购物中心,滨海新城,1.87
金元宝滨海国际购物中心,杭州道(塘沽),2.69
金元宝滨海国际购物中心,祥和新园,2.96
金元宝滨海国际购物中心,西邻村,2.31
金元宝滨海国际购物中心,南江小区,0.9
金元宝滨海国际购物中心,胜阳里,2.95
金元宝滨海国际购物中心,世纪新村,0.5
金元宝滨海国际购物中心,烟台道431,2.91
金元宝滨海国际购物中心,融创洞庭路壹号,0.81
金元宝滨海国际购物中心,泰丰家园二期,2.18
金元宝滨海国际购物中心,华纳豪园3期,0.6
金元宝滨海国际购物中心,世纪向阳居,1.99
金元宝滨海国际购物中心,博美园,0.26
金元宝滨海国际购物中心,富贵嘉园,3.0
金元宝滨海国际购物中心,青海园,0.63
金元宝滨海国际购物中心,贻静园,1.86
金元宝滨海国际购物中心,康馨花园,1.04
金元宝滨海国际购物中心,翠亨村A区,1.42
金元宝滨海国际购物中心,吉华里(塘沽),2.62
金元宝滨海国际购物中心,船舶公寓,0.5
金元宝滨海国际购物中心,晴景家园,2.48
金元宝滨海国际购物中心,紫云园,2.8
金元宝滨海国际购物中心,瑞园,0.48
金元宝滨海国际购物中心,枫景家园,2.55
金元宝滨海国际购物中心,美韵家园,2.78
金元宝滨海国际购物中心,时代大厦,2.37
金元宝滨海国际购物中心,庆丰园,2.4
金元宝滨海国际购物中心,新城家园,2.45
金元宝滨海国际购物中心,迁安里,1.93
金元宝滨海国际购物中心,贻欣园,1.36
金元宝滨海国际购物中心,中盈小区,0.96
金元宝滨海国际购物中心,榕景园,2.03
金元宝滨海国际购物中心,贻成园西区,1.04
金元宝滨海国际购物中心,贝肯山橡实园,2.81
金元宝滨海国际购物中心,森泰小区,0.53
金元宝滨海国际购物中心,万科滨海大都会观景轩,1.53
金元宝滨海国际购物中心,伴景湾家园,2.49
金元宝滨海国际购物中心,跃进里(塘沽区),1.82
金元宝滨海国际购物中心,德圣公馆,2.91
金元宝滨海国际购物中心,福达苑,1.68
金元宝滨海国际购物中心,杭州里,2.82
金元宝滨海国际购物中心,珺林,1.47
金元宝滨海国际购物中心,融科瀚棠泰怡园,2.47
金元宝滨海国际购物中心,金福里(塘沽区),2.07
金元宝滨海国际购物中心,华纳·豪园,0.69
金元宝滨海国际购物中心,桐景园,1.79
金元宝滨海国际购物中心,胜利街（塘沽）,2.56
金元宝滨海国际购物中心,晓镇家园,2.29
金元宝滨海国际购物中心,美景园,2.03
金元宝滨海国际购物中心,颂景苑,2.23
金元宝滨海国际购物中心,泰和城,2.86
金元宝滨海国际购物中心,翠亨村D区,1.62
金元宝滨海国际购物中心,兴园里,1.69
金元宝滨海国际购物中心,贻丰园,1.86
金元宝滨海国际购物中心,广州道,2.21
金元宝滨海国际购物中心,久安里,2.45
金元宝滨海国际购物中心,宏达公寓(塘沽区),2.25
金元宝滨海国际购物中心,盛泰公寓,0.67
金元宝滨海国际购物中心,遵义里,2.65
金元宝滨海国际购物中心,朝阳新村,2.9
金元宝滨海国际购物中心,华馨园,0.86
金元宝滨海国际购物中心,贻丰家园,1.77
金元宝滨海国际购物中心,贻成园东区,1.13
金元宝滨海国际购物中心,阳光新干线,0.55
金元宝滨海国际购物中心,万科柏翠园,2.17
金元宝滨海国际购物中心,吉林里,2.47
金元宝滨海国际购物中心,安琪花园,2.11
金元宝滨海国际购物中心,格调瑰丽花园,2.49
金元宝滨海国际购物中心,建投紫云东仕达园,2.2
金元宝滨海国际购物中心,格调林泉2期,0.6
金元宝滨海国际购物中心,紫云华庭,2.72
金元宝滨海国际购物中心,天保·天成燕居,1.38
金元宝滨海国际购物中心,中国塘,2.49
金元宝滨海国际购物中心,滨海名都,2.88
金元宝滨海国际购物中心,翠亨村B区,1.57
金元宝滨海国际购物中心,银珠公寓,0.7
金元宝滨海国际购物中心,吉庆里,2.49
金元宝滨海国际购物中心,秀园里,1.98
金元宝滨海国际购物中心,贵阳里,2.6
金元宝滨海国际购物中心,福园里,1.88
金元宝滨海国际购物中心,银洲公寓,0.68
金元宝滨海国际购物中心,云锦蓝庭,1.37
金元宝滨海国际购物中心,花明园,0.77
金元宝滨海国际购物中心,史家庄,1.83
金元宝滨海国际购物中心,金海花园(塘沽区),1.39
金元宝滨海国际购物中心,阳光新园,0.68
金元宝滨海国际购物中心,汇泉园,0.62
金元宝滨海国际购物中心,万通华府A区,2.24
金元宝滨海国际购物中心,金色阳光花园,0.81
金元宝滨海国际购物中心,东方名居,0.23
金元宝滨海国际购物中心,恂园南里,0.32
金元宝滨海国际购物中心,阳光南园,1.04
金元宝滨海国际购物中心,恂园里,0.19
金元宝滨海国际购物中心,嘉誉新城,0.78
金元宝滨海国际购物中心,东海云天,2.78
金元宝滨海国际购物中心,翠亨村E区,1.82
金元宝滨海国际购物中心,贝肯山菩提园,2.89
金元宝滨海国际购物中心,鸿港小区,0.87
金元宝滨海国际购物中心,民和里（塘沽),2.4
金元宝滨海国际购物中心,美华大厦,0.62
金元宝滨海国际购物中心,御景园邸,0.43
金元宝滨海国际购物中心,万通华府桂华园,2.33
金元宝滨海国际购物中心,鸿泰公寓,1.52
金元宝滨海国际购物中心,吉宁里,2.16
金元宝滨海国际购物中心,泰祥里,2.97
金元宝滨海国际购物中心,雅园,0.75
金元宝滨海国际购物中心,弘景苑,2.59
金元宝滨海国际购物中心,三星里,2.25
金元宝滨海国际购物中心,佳源·观城,1.12
金元宝滨海国际购物中心,芳云园,2.85
金元宝滨海国际购物中心,万科滨海大都会观雅轩,1.67
金元宝滨海国际购物中心,延安里,1.98
金元宝滨海国际购物中心,金泰新村,2.92
金元宝滨海国际购物中心,建华里(塘沽区),0.87
金元宝滨海国际购物中心,恬园别墅,0.5
金元宝滨海国际购物中心,银河小区,1.12
金元宝滨海国际购物中心,甘肃路(塘沽区),2.93
金元宝滨海国际购物中心,福星里,2.3
金元宝滨海国际购物中心,辽宁里,2.4
金元宝滨海国际购物中心,康翠园,0.27
金元宝滨海国际购物中心,海图公寓,2.79
金元宝滨海国际购物中心,文安里,2.91
金元宝滨海国际购物中心,晓园新邸,0.89
金元宝滨海国际购物中心,中心北里,2.57
金元宝滨海国际购物中心,弘基天城,2.87
金元宝滨海国际购物中心,尊品庭苑,2.37
金元宝滨海国际购物中心,昱泉园,0.79
金元宝滨海国际购物中心,康居园,2.13
金元宝滨海国际购物中心,万联别墅,0.42
金元宝滨海国际购物中心,泰达新天地,1.24
金元宝滨海国际购物中心,万海华府北苑,2.11
金元宝滨海国际购物中心,万科紫台,1.01
金元宝滨海国际购物中心,宜昌南里(塘沽区),2.56
金元宝滨海国际购物中心,泰达时尚旺角,2.95
金元宝滨海国际购物中心,银河大厦(开发区),0.56
金元宝滨海国际购物中心,长征里,2.34
金元宝滨海国际购物中心,新华里(塘沽区),2.28
金元宝滨海国际购物中心,红盐里,1.47
金元宝滨海国际购物中心,银河公寓,1.18
金元宝滨海国际购物中心,吉顺里,2.49
金元宝滨海国际购物中心,永利花园,2.1
金元宝滨海国际购物中心,安邦艺景,2.45
金元宝滨海国际购物中心,延川里(塘沽区),1.87
金元宝滨海国际购物中心,新都家园,2.57
金元宝滨海国际购物中心,联合村,2.04
金元宝滨海国际购物中心,贻顺园,2.03
金元宝滨海国际购物中心,韶山北里,1.56
金元宝滨海国际购物中心,万海华府南苑,2.28
金元宝滨海国际购物中心,正大别墅,0.38
金元宝滨海国际购物中心,观塘壹品,2.65
金元宝滨海国际购物中心,海望园,0.63
金元宝滨海国际购物中心,锦绣园(塘沽区),2.47
金元宝滨海国际购物中心,泰丰家园,1.97
金元宝滨海国际购物中心,万通华府樟华园,2.29
金元宝滨海国际购物中心,韶山里,1.75
金元宝滨海国际购物中心,东英广场,0.68
金元宝滨海国际购物中心,民安里,2.4
金元宝滨海国际购物中心,爱丽家园东区,2.18
金元宝滨海国际购物中心,吉安北里,2.22
金元宝滨海国际购物中心,旭辉滨海江来,1.81
金元宝滨海国际购物中心,馨苑新城,2.65
金元宝滨海国际购物中心,馨苑小区,2.91
金元宝滨海国际购物中心,阳光金地,2.94
金元宝滨海国际购物中心,城市名居,2.84
金元宝滨海国际购物中心,新华东里,2.13
金元宝滨海国际购物中心,和平里(塘沽区),2.21
金元宝滨海国际购物中心,西小庄,2.65
金元宝滨海国际购物中心,新园里,2.86
金元宝滨海国际购物中心,滨海智谛山,1.14
金元宝滨海国际购物中心,世富嘉园,1.67
金元宝滨海国际购物中心,振业铂雅轩,1.02
金元宝滨海国际购物中心,北安里,1.96
金元宝滨海国际购物中心,格调林泉,0.63
金元宝滨海国际购物中心,吉安里(塘沽区),2.22
