POI名称,小区名称,距离
杭州市夏衍初级中学,杭州港龙城,0.6
杭州市夏衍初级中学,水湘人家东苑,1.95
杭州市夏衍初级中学,万家花园,2.23
杭州市夏衍初级中学,德信东望府,0.23
杭州市夏衍初级中学,揽月臻翠府,2.89
杭州市夏衍初级中学,水墩苑一区,2.62
杭州市夏衍初级中学,水湘人家南苑,2.33
杭州市夏衍初级中学,唐家景府,2.53
杭州市夏衍初级中学,新风丽都南苑,1.95
杭州市夏衍初级中学,云翠金澜府,1.56
杭州市夏衍初级中学,金隅会潮悦府,0.36
杭州市夏衍初级中学,景芳五区,2.66
杭州市夏衍初级中学,融创玖樟台,2.82
杭州市夏衍初级中学,天阳文晖,2.83
杭州市夏衍初级中学,中豪国际,0.39
杭州市夏衍初级中学,明石东潮府,1.61
杭州市夏衍初级中学,美达浅草名苑,2.76
杭州市夏衍初级中学,东方御府,1.68
杭州市夏衍初级中学,交通晓时代,2.3
杭州市夏衍初级中学,坤塘悦府,2.08
杭州市夏衍初级中学,金色黎明一期,2.24
杭州市夏衍初级中学,东方丽都花苑,2.6
杭州市夏衍初级中学,浜河海棠景轩,2.53
杭州市夏衍初级中学,天庐苑,2.43
杭州市夏衍初级中学,明月嘉苑三区,0.51
杭州市夏衍初级中学,运新花苑五区,2.07
杭州市夏衍初级中学,中企艮山府西区,1.49
杭州市夏衍初级中学,新瑞名府,2.54
杭州市夏衍初级中学,滨江曙光之城,2.54
杭州市夏衍初级中学,悦风华邸,1.77
杭州市夏衍初级中学,云峰家园,0.94
杭州市夏衍初级中学,普福家园南区,2.96
杭州市夏衍初级中学,红街公寓,2.03
杭州市夏衍初级中学,金色黎明三期,2.36
杭州市夏衍初级中学,天运花园,2.43
杭州市夏衍初级中学,草庄景墅,2.4
杭州市夏衍初级中学,新塘家园东区,1.97
杭州市夏衍初级中学,御道家园,1.72
杭州市夏衍初级中学,德信宸光里,1.08
杭州市夏衍初级中学,万科紫台,2.59
杭州市夏衍初级中学,首开东城金茂府,1.29
杭州市夏衍初级中学,景芳水湘苑,2.39
杭州市夏衍初级中学,天城府,2.94
杭州市夏衍初级中学,中海御道,2.16
杭州市夏衍初级中学,东祥元府,0.13
杭州市夏衍初级中学,建华东苑,2.24
杭州市夏衍初级中学,东渡酩悦,0.94
杭州市夏衍初级中学,招商雍华府,2.73
杭州市夏衍初级中学,云河家园,1.27
杭州市夏衍初级中学,德金中心,1.72
杭州市夏衍初级中学,阳光城普升,2.97
杭州市夏衍初级中学,景芳六区,2.5
杭州市夏衍初级中学,新中宇维萨,0.45
杭州市夏衍初级中学,明桂北苑,2.45
杭州市夏衍初级中学,三花国际大厦,0.78
杭州市夏衍初级中学,信达东莱府,1.21
杭州市夏衍初级中学,融创涌清府,1.55
杭州市夏衍初级中学,杭州明石商业大厦,1.99
杭州市夏衍初级中学,锦润公寓,2.83
杭州市夏衍初级中学,万科中央公园,0.64
杭州市夏衍初级中学,广宇东港空间,2.44
杭州市夏衍初级中学,钱江华府,0.71
杭州市夏衍初级中学,钱塘白石嘉苑,1.64
杭州市夏衍初级中学,绿城潮听明月,2.83
杭州市夏衍初级中学,金色黎明二期,2.13
杭州市夏衍初级中学,杭州中央车站广场,1.03
杭州市夏衍初级中学,红街天城,1.83
杭州市夏衍初级中学,运新花苑二区,1.79
