中心小区名称,竞品小区名称,距离
春江花园,山水美庐,0.82
春江花园,富春上城,0.45
春江花园,现代肖邦,0.67
春江花园,富春金茂星外滩·秦望府,0.63
春江花园,山水华庭,0.32
大家绿城金麟府,宸麟府,0.6
大家绿城金麟府,阳光城拱宸府,0.75
大家绿城金麟府,北国之春人家,1.0
大家绿城金麟府,七古登市教委宿舍,0.37
大家绿城金麟府,定海东园,0.66
大家绿城金麟府,蚕花园永和坊,0.37
大家绿城金麟府,胜月院小区,0.84
大家绿城金麟府,蚕花园永安坊,0.34
大家绿城金麟府,正中尚品庭院,0.61
大家绿城金麟府,亲仁里,0.63
大家绿城金麟府,吉庆院,0.68
大家绿城金麟府,银河嘉园,0.92
大家绿城金麟府,凤亭院,0.8
大家绿城金麟府,定海西园,0.8
大家绿城金麟府,拱宸新苑,0.43
大家绿城金麟府,普金家园,0.45
大家绿城金麟府,蚕花园永宁坊,0.69
大家绿城金麟府,宸铭府,0.33
大家绿城金麟府,上石苑,0.93
大家绿城金麟府,蚕花园永庆坊,0.59
大家绿城金麟府,两宜里,0.66
大家绿城金麟府,传宸府,0.68
大家绿城金麟府,蚕花园永兴坊,0.74
大家绿城金麟府,蔡马人家,0.43
大家绿城金麟府,七古登人家,0.77
大家绿城金麟府,崇盛里,0.3
大家绿城金麟府,崇庆里,0.39
大家绿城金麟府,荣华里,0.55
大家绿城金麟府,金都清宸公寓,0.27
大家绿城金麟府,左岸花园,0.97
绿城西子紫兰公寓,墨香苑,0.5
绿城西子紫兰公寓,仓基新村,0.83
绿城西子紫兰公寓,凯德湖墅,0.87
绿城西子紫兰公寓,贾家弄新村,0.19
绿城西子紫兰公寓,长乐北苑,0.81
绿城西子紫兰公寓,远洋国际中心,0.9
绿城西子紫兰公寓,青莎阁,0.69
绿城西子紫兰公寓,白荡海人家,0.9
绿城西子紫兰公寓,荷花塘,0.17
绿城西子紫兰公寓,塘河新村,0.7
绿城西子紫兰公寓,玉兔路小区,0.92
绿城西子紫兰公寓,信义新村,0.22
绿城西子紫兰公寓,都景公寓,0.89
绿城西子紫兰公寓,观音桥小区,0.28
绿城西子紫兰公寓,美都广场,0.85
绿城西子紫兰公寓,清水公寓,1.0
绿城西子紫兰公寓,墅林苑,0.56
绿城西子紫兰公寓,湖墅嘉园,0.31
绿城西子紫兰公寓,绿城西子锦兰公寓,0.47
绿城西子紫兰公寓,盛德欣苑,0.98
绿城西子紫兰公寓,湖墅新村,0.75
绿城西子紫兰公寓,信义坊,0.36
绿城西子紫兰公寓,塘河科技公寓,0.7
绿城西子紫兰公寓,华海园,0.84
绿城西子紫兰公寓,郡楓华庭,0.91
绿城西子紫兰公寓,龙门公寓,0.84
绿城西子紫兰公寓,大关公寓,0.75
绿城西子紫兰公寓,杨家门小区,0.4
绿城西子紫兰公寓,双荡新村,0.92
绿城西子紫兰公寓,融信远洋厘望轩,0.68
绿城西子紫兰公寓,远洋杭州大运河商务区,0.73
绿城西子紫兰公寓,融创金成杭源里,0.84
绿城西子紫兰公寓,霞湾巷小区,0.41
绿城西子紫兰公寓,长乐南苑,0.79
绿城西子紫兰公寓,吉兴公寓,0.77
绿城西子紫兰公寓,塘河南村,0.74
绿城西子紫兰公寓,西溪河下,0.73
绿城西子紫兰公寓,教工里,0.98
绿城西子紫兰公寓,娑婆新村,0.16
绿城西子紫兰公寓,景上公寓,0.66
绿城西子紫兰公寓,塘河北村,0.9
绿城西子紫兰公寓,云河大厦,0.97
绿城西子紫兰公寓,河缸桥,0.65
绿城西子紫兰公寓,杭办大厦,0.56
绿城西子紫兰公寓,董家新村,0.62
绿城西子紫兰公寓,香兰名院,0.69
绿城西子紫兰公寓,八丈井新村,0.86
绿城西子紫兰公寓,明真宫,0.58
绿城西子紫兰公寓,上岛公馆,0.79
绿城西子紫兰公寓,三宝新村,0.35
八卦新村,复兴城市家园,0.45
八卦新村,六和源,0.41
八卦新村,江新苑小区,0.71
八卦新村,好望角公寓,0.79
八卦新村,清怡花苑,0.92
八卦新村,水澄花园北苑,0.47
八卦新村,十亩田家园,0.81
八卦新村,马尔山闸电宿舍,0.19
八卦新村,白塔人家,0.33
八卦新村,水澄花园南苑,0.52
八卦新村,民安苑,0.37
八卦新村,清河家园,0.62
八卦新村,海月花园,1.0
临之锦公寓,联城公寓,0.33
临之锦公寓,龙王公寓,1.0
临之锦公寓,金箭公寓,0.79
临之锦公寓,啤酒城宿舍,0.44
临之锦公寓,CBC时代大观,0.95
临之锦公寓,赞临雅居,0.51
临之锦公寓,理想世纪金座,0.99
临之锦公寓,新城花苑,0.71
临之锦公寓,爱民小区,0.84
临之锦公寓,南苑一区,0.55
临之锦公寓,东海花园,0.8
临之锦公寓,美莱国际中心写字楼,1.0
临之锦公寓,临平新丰苑,0.55
临之锦公寓,高速住宅,0.5
临之锦公寓,河畔新村,0.86
临之锦公寓,临平芳满庭,0.21
临之锦公寓,康城一品花苑,0.85
临之锦公寓,藕花苑,0.93
临之锦公寓,名苑公寓,0.66
临之锦公寓,东海水景城,0.96
临之锦公寓,中意名仕苑,0.22
临之锦公寓,宸樾山澜里,0.29
临之锦公寓,南苑二区(余杭),0.51
临之锦公寓,水景城,0.99
临之锦公寓,金桥花苑,0.3
临之锦公寓,胡姬花园,0.68
临之锦公寓,环岛公寓,0.89
临之锦公寓,大美公寓,0.92
临之锦公寓,理想银泰城,0.62
临之锦公寓,景和园,0.58
临之锦公寓,安盛家园,0.34
临之锦公寓,绿城玉园,0.51
临之锦公寓,苑中园,0.57
临之锦公寓,金盛花苑,0.59
临之锦公寓,临平百合苑,0.68
临之锦公寓,理想康城一品花苑,0.9
翠园路小区,桥南新村,0.15
翠园路小区,窑山花园,0.84
翠园路小区,西溪街20号,0.65
翠园路小区,碧桂园良樾,0.54
翠园路小区,新兴路44号,0.25
翠园路小区,新力启云府,0.83
翠园路小区,凤山小区,0.62
翠园路小区,凤惠家园,0.69
翠园路小区,精工新村,0.66
翠园路小区,东兴小区,0.16
翠园路小区,东兴路181号,0.15
翠园路小区,兴和苑,0.38
翠园路小区,瓶窑中学宿舍,0.23
翠园路小区,凤华别墅,0.75
翠园路小区,兴泰花苑,0.96
翠园路小区,五彩商城,0.33
翠园路小区,桃园公寓,0.15
翠园路小区,华兴公寓,0.28
翠园路小区,汇观山花苑,0.65
翠园路小区,瑞达城市花苑,0.49
翠园路小区,凤城花苑,0.74
香洲里,香悦四季轩,0.97
香洲里,佳源西溪印象,0.62
香洲里,观璟庭,0.65
香洲里,绿城西溪融庄,0.34
香洲里,滨江西溪之星,0.62
香洲里,百家乐西园,0.26
香洲里,西溪望庄,0.65
香洲里,西溪君庐,0.4
香洲里,富力西溪悦墅,0.82
香洲里,晓月澄庐,0.78
香洲里,泰杭院,0.42
香洲里,金地西溪风华,0.76
香洲里,香港兴业耦园,0.55
金成花园,莲花港家园,0.85
金成花园,湖畔花园桃花苑,0.67
金成花园,文苑小区,0.93
金成花园,天湖公寓,0.46
金成花园,紫金公寓,0.7
金成花园,绿洲湾,0.84
金成花园,世纪新城东区,0.93
金成花园,科技新村,0.58
金成花园,金田花园,0.89
金成花园,嘉绿南苑,0.78
金成花园,湖畔花园风荷苑,0.59
金成花园,南都德迦东区,0.28
金成花园,南都花园,0.47
金成花园,绿城兰桂花园,0.51
金成花园,湖畔大厦,0.48
金成花园,湖畔花园太子苑,0.73
金成花园,富丽花园(西湖),0.61
金成花园,湖畔花园春晓苑,0.94
金成花园,世纪新城西区,0.66
金成花园,金桂大厦,0.71
金成花园,嘉绿名苑,0.91
金成花园,物华小区,0.91
金成花园,新金都城市花园,0.86
金成花园,金海公寓,0.99
金成花园,丹桂公寓,0.99
金成花园,文溪鼎园,0.56
金成花园,湖畔花园梦泉苑,1.0
金成花园,月桂花园,0.92
金成花园,天河西苑,0.81
金成花园,富丽苑,0.99
金成花园,紫桂花园,0.42
金成花园,华苑公寓,0.91
金成花园,嘉绿西苑,0.55
金成花园,沁雅花园,0.95
金成花园,金都新城,0.67
金成花园,南都花园别墅,0.85
金成花园,中兴公寓,0.63
金成花园,美都新村,0.55
金成花园,春天花园,0.65
金成花园,丹枫新村,0.9
金成花园,明月公寓,0.79
金成花园,香樟公寓,0.48
金成花园,高教新村,0.98
金成花园,毛家桥公寓,0.98
金成花园,名仕家园,0.42
金成花园,嘉绿福苑,0.87
金成花园,康乐香港城,0.95
金成花园,南都银座公寓,0.69
金成花园,雅仕苑,0.21
金成花园,南都德加西区,0.34
金成花园,恩济花苑,0.14
金成花园,湖畔花园龙珠苑,0.78
金成花园,康乐新村,0.82
通惠丽港,明江苑,0.13
通惠丽港,通惠江南名府,0.87
通惠丽港,雅棠轩,0.33
通惠丽港,中旅名门府,0.34
通惠丽港,融信展望,0.88
通惠丽港,新城璟隽公馆,0.55
通惠丽港,天钜银河府,0.36
通惠丽港,融创望海潮公寓,0.43
通惠丽港,市北公寓,0.92
通惠丽港,新越锦粼府,0.59
通惠丽港,中誉现代城,0.97
通惠丽港,城北尚博苑,1.0
通惠丽港,锦粼云荟,0.68
通惠丽港,华瑞晴庐,0.59
通惠丽港,和雅轩,0.16
通惠丽港,滨江望涛月明,0.77
通惠丽港,融信江南学府,0.33
通惠丽港,新世界柏丽轩,0.43
通惠丽港,嘉利公寓,0.69
通惠丽港,东方名府,0.62
通惠丽港,博学玉府,0.83
通惠丽港,通惠花园,0.13
通惠丽港,天海阳光地带,0.21
潮鸣苑,新华坊社区,0.79
潮鸣苑,回龙庙前小区,0.24
潮鸣苑,醋坊新村,0.19
潮鸣苑,海狮沟,0.37
潮鸣苑,小庙巷16号,0.92
潮鸣苑,广宇河滨公寓,0.89
潮鸣苑,宣徐弄8.11号,0.94
潮鸣苑,林司后,0.75
潮鸣苑,凤鸣苑,0.33
潮鸣苑,东园大楼,0.45
潮鸣苑,艮园社区,0.91
潮鸣苑,大王庙巷小区,0.72
潮鸣苑,西泠花苑,0.44
潮鸣苑,长堤明苑,0.55
潮鸣苑,泰和苑,0.41
潮鸣苑,珠碧苑,0.19
潮鸣苑,中大凤栖花园,0.49
潮鸣苑,双牛大厦,0.41
潮鸣苑,凤起商务大厦,0.51
潮鸣苑,晶晶大厦,0.94
潮鸣苑,岳家湾,0.6
潮鸣苑,凤起潮鸣府,0.51
潮鸣苑,建国公寓,0.31
潮鸣苑,兴和公寓,0.24
潮鸣苑,瑞丰格林苑,0.8
潮鸣苑,石板巷新村,0.53
潮鸣苑,青龙苑,0.95
潮鸣苑,米兰公寓,0.45
潮鸣苑,东园小区,0.65
潮鸣苑,大学路新村,0.92
潮鸣苑,富润里,0.45
潮鸣苑,永宁院,0.99
潮鸣苑,东清大厦,0.52
潮鸣苑,吴牙新村,0.84
潮鸣苑,青春坊,0.75
潮鸣苑,直大方伯,0.83
潮鸣苑,凤起苑,0.36
潮鸣苑,幸福人家,1.0
潮鸣苑,万安城市花园东苑,0.55
潮鸣苑,春丰苑,0.57
潮鸣苑,工人新村,0.89
潮鸣苑,助圣庙前,0.72
潮鸣苑,天安假日公寓,0.51
潮鸣苑,孝友里,0.99
潮鸣苑,云龙十一景,0.19
潮鸣苑,金牛坊,0.93
潮鸣苑,小营民居,0.93
潮鸣苑,丽景苑(下城),0.25
潮鸣苑,大树路3号,0.48
潮鸣苑,珠碧一弄12号,0.38
潮鸣苑,金庆公寓,0.33
潮鸣苑,金鹿雅园,0.72
潮鸣苑,树园,0.87
潮鸣苑,柳营花园,0.87
潮鸣苑,丽景西苑,0.36
潮鸣苑,宏盛公寓社区,0.5
潮鸣苑,云龙公寓,0.38
潮鸣苑,檀香园,0.76
潮鸣苑,建德村,0.5
潮鸣苑,红枫苑,0.2
潮鸣苑,东园高层公寓,0.46
潮鸣苑,翰林花园,0.56
潮鸣苑,东园街39号,0.79
潮鸣苑,锦花苑,0.65
潮鸣苑,环东公寓,0.98
潮鸣苑,万安城市花园西苑,0.73
潮鸣苑,黄醋园,0.89
潮鸣苑,凤起都市花园,0.56
潮鸣苑,东河锦园,0.2
潮鸣苑,健康公寓,0.98
潮鸣苑,西泠公寓,0.66
潮鸣苑,南肖埠小区庆春苑,0.93
潮鸣苑,小河下小区,0.99
潮鸣苑,天园阁,0.98
潮鸣苑,新华路小区,0.67
潮鸣苑,十五家园,0.96
潮鸣苑,锦园小区,0.66
美之园西区,萧杭人家,0.58
美之园西区,华瑞湘湖林语,0.95
美之园西区,湖畔宽邸,0.92
美之园西区,绿城丁香公馆,0.91
美之园西区,美之园东区,0.7
