城市名,起点名称,起点经纬度,终点名称,终点经纬度,时间
北京市,玉林东里三区,"116.361264,39.864869",北京第一师范学校附属小学东校区,"116.416066,39.866297",31
北京市,国际创展中心,"116.517503,39.916941",北京市东方德才学校(金台里校区),"116.47705,39.919726",32
北京市,华严里,"116.382593,39.980176",北京市中关村中学(清华园校区),"116.327772,39.994167",36
北京市,北京建工·璟玥林汐,"116.691511,40.287948",迎宾环岛公园,"116.641909,40.30872",44
北京市,北京隅西颂,"116.314284,39.825938",狼垡公园,"116.282095,39.791919",37
北京市,越秀天恒·怀山府,"116.632226,40.354864",万佳商城,"116.634929,40.314993",55
北京市,雅居乐富春山居,"116.087396,39.898871",北京长安天街,"116.12345,39.905343",53
北京市,梧桐星宸,"116.281624,40.158374",百善学校,"116.319782,40.172499",44
北京市,北京城建和知筑,"116.181027,39.748115",科豪商厦,"116.141661,39.735126",38
北京市,幸福家园三期,"116.43119,39.892057",北京第一师范学校附属小学东校区,"116.416066,39.866297",32
北京市,锦云府,"116.842897,40.357629",中商惠民超市(福乐发店),"116.862902,40.390047",45
北京市,太平庄东里2号院,"116.120976,39.731927",华联生活超市(7街店),"116.139557,39.773273",58
北京市,东山墅,"116.493912,39.95201",红庙万惠商场,"116.477686,39.917269",43
北京市,月坛南街小四道口,"116.346718,39.916401",北京滨河公园,"116.349135,39.887261",44
北京市,沙河生产宿舍,"116.267384,40.12603",世纪华联超市(翠湖新城店),"116.301835,40.149187",41
北京市,龙湖·御湖境二期,"116.652208,40.134007",世纪意嘉超市,"116.608383,40.138169",31
北京市,翠微路十四号,"116.302636,39.911247",麦德龙(北京四季青店),"116.272734,39.947527",50
北京市,东直门外大街(朝阳）,"116.443988,39.941847",好梦江南,"116.392919,39.934921",43
北京市,原香小镇二期,"116.166276,39.756289",良乡大学城公园·安苑,"116.178754,39.722246",29
北京市,右外西头条10号院,"116.353749,39.862697",北京市东城区第一人民医院,"116.401276,39.864505",25
北京市,民生花园,"116.669066,40.162667",北京市顺义区第二中学,"116.630335,40.134716",52
北京市,北投晟景汀澜,"116.661849,39.941953",西马庄小学,"116.631551,39.912761",47
北京市,远洋源山春秋,"116.179802,39.942833",北京市石景山医院,"116.213305,39.906086",53
北京市,金隅滨和园中街6号院,"116.176579,39.894245",北京市石景山医院,"116.213305,39.906086",31
北京市,文联宿舍,"116.387393,39.967446",枫蓝国际购物中心,"116.356605,39.952958",36
北京市,星悦时光,"116.688551,40.090214",顺义区平安医院,"116.665293,40.128758",58
北京市,阜成路47号院,"116.306822,39.924537",麦德龙(北京四季青店),"116.272734,39.947527",33
北京市,中海寰宇天下·天境,"116.169781,39.91266",北京市石景山医院,"116.213305,39.906086",34
北京市,复兴里小区,"116.64619,39.899381",盒马生鲜奥莱(群芳园店),"116.664266,39.87233",36
北京市,宏鑫家园,"116.184971,39.926479",北京市石景山医院,"116.213305,39.906086",34
北京市,中环悦府,"116.391887,39.837144",北京市东城区第一人民医院,"116.401276,39.864505",28
北京市,建发·观堂府,"116.277471,40.216297",赛场公园,"116.225639,40.209656",37
北京市,南曦大厦,"116.402251,39.856359",山姆超市,"116.34792,39.871893",44
北京市,首开国樾天晟,"116.842908,40.359577",密云区第五中学,"116.863991,40.385781",46
北京市,招商云璟揽阅,"116.668703,39.879277",北京泗河中医医院,"116.643791,39.901804",28
北京市,京投发展·北熙区,"116.537833,39.975278",金盏东村中心公园,"116.582449,40.002784",65
北京市,金沟河路12号院,"116.259455,39.915396",北京市石景山医院,"116.213305,39.906086",47
北京市,中建·和颂九里,"116.237404,39.860449",北京市第十二中学(体育分校),"116.287622,39.854543",28
北京市,金地未未来,"116.631051,40.106901",顺义区平安医院,"116.665293,40.128758",36
北京市,双柳树四条,"116.38511,39.87929",北京滨河公园,"116.349135,39.887261",44
北京市,苏庄二里,"116.127209,39.727663",良乡大学城公园·安苑,"116.178754,39.722246",29
北京市,合生me悦,"116.43743,39.772363",亦庄医院,"116.482462,39.798845",53
北京市,儒林苑,"116.453829,39.95502",解放军总医院第七医学中心东楼,"116.430518,39.929935",48
北京市,富贵园一区,"116.433543,39.896486",北京市东城区第一人民医院,"116.401276,39.864505",38
北京市,同泽园西里,"116.136876,40.104499",八家村公园,"116.189181,40.114348",68
北京市,中关村航天社区,"116.33101,39.979619",枫蓝国际购物中心,"116.356605,39.952958",34
北京市,绿城·西山云庐,"116.179888,39.945738",北京市石景山区电厂路小学,"116.139932,39.937129",50
广州市,广州地铁·珑璟台,"113.341317,23.082556",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",31
广州市,润华楼,"113.206244,23.391583",光之彩天幕城,"113.238884,23.403823",35
广州市,越秀岭南雅筑,"113.53859,23.169067",永新中学,"113.576893,23.195435",59
广州市,穗发花园,"113.297571,23.089841",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",35
广州市,金地云上,"113.615911,23.268669",盒马邻里(广州增城金地香山湖店),"113.616217,23.226766",39
广州市,东馨美居,"113.200817,23.391041",光之彩天幕城,"113.238884,23.403823",36
广州市,时代印记,"113.488873,23.403037",从化区太平第二中学,"113.480221,23.435165",52
广州市,星图花园,"113.64002,23.134351",白江小学,"113.5976,23.114461",40
广州市,水电二局宿舍,"113.602413,23.118454",增城开发区豪进体育公园,"113.629678,23.152866",45
广州市,保利桃花源,"113.685198,23.633185",温泉荔枝蜜公园,"113.654559,23.647115",59
广州市,颐安·俪都府,"113.249191,23.434672",花都区文志学校,"113.217577,23.467493",87
广州市,宝翠园,"113.362062,23.191666",广州兰花文化园,"113.37918,23.218177",42
广州市,广州南沙华宇凤凰艺术岛,"113.500714,22.789826",广州外国语学校附属学校,"113.538346,22.777731",54
广州市,越秀珠实·皓悦滨江,"113.279159,23.107232",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",31
广州市,萝岗万达广场,"113.466555,23.167867",广州市第一一七中学,"113.435761,23.18722",21
广州市,云瀚府,"113.281897,23.118018",沙河小学,"113.311762,23.152783",27
广州市,天健天玺,"113.506626,23.215969",黄陂小学黄麻分校,"113.461248,23.207577",40
广州市,保利时光印象,"113.548742,22.777054",黄阁镇凤凰社区法治公园,"113.521115,22.792559",47
广州市,天地源伴山溪谷,"113.464896,22.963826",广州市番禺区天韵小学,"113.495709,22.944933",53
广州市,海德花园,"113.261376,23.192663",新东豪商贸城,"113.261051,23.150015",37
广州市,万科金色家园,"113.299147,23.130919",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",28
广州市,公园前·君熙府,"113.262746,23.122194",新东豪商贸城,"113.261051,23.150015",27
广州市,雅居乐雍华廷二期,"113.234793,23.400055",富森购物商场,"113.264353,23.419211",42
广州市,滨江水恋,"113.313893,23.102363",琶洲国际会展中心B区南广场,"113.362625,23.102491",39
广州市,华翠苑,"113.309889,23.14932",新东豪商贸城,"113.261051,23.150015",30
广州市,都市晴川,"113.283527,23.120908",新东豪商贸城,"113.261051,23.150015",44
广州市,保利罗兰花园,"113.489949,23.172667",黄陂小学黄麻分校,"113.461248,23.207577",45
广州市,中建岭南悦府,"113.616463,23.186943",增城开发区豪进体育公园,"113.629678,23.152866",41
广州市,保利锦上,"113.54172,23.170847",永新中学,"113.576893,23.195435",55
广州市,越秀·臻智府,"113.22935,23.357818",花都湿地公园,"113.253453,23.38838",67
广州市,丽雅新村,"113.209557,23.379299",九潭村卫生服务站,"113.179696,23.386763",29
广州市,珠实嘉悦湾,"113.231578,23.160496",新东豪商贸城,"113.261051,23.150015",38
广州市,保利琅誉,"113.408877,22.942168",石碁城市广场,"113.442294,22.954762",41
深圳市,信城·缙悦城,"114.221002,22.75109",龙西街心公园,"114.251086,22.742654",51
深圳市,万景花园,"114.070024,22.530972",欣欣学校,"114.022607,22.523311",32
深圳市,集浩大厦,"114.135632,22.546623",荔园小学玮鹏校区,"114.094314,22.543007",17
深圳市,金钟大厦,"113.929004,22.518048",华润万家标超南区(前海湾店),"113.886942,22.5092",28
深圳市,嘉景苑,"114.111868,22.565149",荔园小学玮鹏校区,"114.094314,22.543007",28
深圳市,卓越珺奕府,"114.008346,22.647058",深圳市大磡小学,"113.971931,22.621543",83
深圳市,益田村,"114.049937,22.513183",福田区黄埔学校中学部,"114.053465,22.546199",27
深圳市,上城学府,"114.029413,22.616004",盒马邻里(深圳龙岗万科第五园店),"114.071031,22.612881",40
深圳市,云上润府,"113.805187,22.692418",凤凰生态园,"113.849803,22.690777",64
深圳市,深汕华侨城纯水岸,"115.04882,22.797895",华润置地赤河广场,"115.05451,22.835687",67
深圳市,万福花园,"114.039877,22.631989",盒马邻里(深圳龙岗万科第五园店),"114.071031,22.612881",41
深圳市,万丰海岸城瀚府,"113.824589,22.714977",彩虹缤纷城,"113.825021,22.67424",46
深圳市,半岛花园A区,"113.934119,22.498607",华润万家标超南区(前海湾店),"113.886942,22.5092",41
深圳市,蓝宝石名庭,"114.060152,22.56581",星河COCO Park(福田店),"114.054007,22.533569",31
深圳市,桃源居四区,"113.859324,22.614371",华润万家旗下便利店,"113.890897,22.589098",31
深圳市,御棠上府,"113.906488,22.723974",东坑社区健康服务中心,"113.916031,22.754441",47
深圳市,长乐花园,"114.091007,22.553581",春风公园,"114.115637,22.535471",34
深圳市,伟柏花园,"114.066847,22.528296",欣欣学校,"114.022607,22.523311",42
深圳市,半山海景兰溪谷二期,"113.913907,22.489142",华润万家标超南区(前海湾店),"113.886942,22.5092",35
深圳市,独树阳光里,"114.121028,22.576889",荔园小学玮鹏校区,"114.094314,22.543007",33
深圳市,工商楼,"113.921781,22.538994",华润万家标超南区(前海湾店),"113.886942,22.5092",34
深圳市,盛璟润府,"114.038868,22.663761",大浪赤岭头商贸城,"114.010314,22.648793",22
深圳市,田心庆云花园,"114.114712,22.566936",春风公园,"114.115637,22.535471",40
深圳市,华润紫樾润府,"114.380256,22.692901",江岭社区公园,"114.369308,22.660702",31
深圳市,荔海春城,"113.91666,22.505916",深圳湾滨海休闲带西段,"113.942946,22.484556",54
深圳市,壹栈人才公寓,"113.914982,22.502366",前海小学,"113.911492,22.534632",39
深圳市,招商雍云府,"114.018287,22.716487",罗屋围旧村社区公园,"114.01032,22.684969",51
深圳市,颐安·都会中央,"114.224921,22.690335",平安里学校,"114.220784,22.724934",32
深圳市,观澜豪园,"114.071816,22.727581",深圳外国语学校(集团)龙华高中部,"114.079243,22.688228",53
深圳市,盛璟润府,"114.038868,22.663761",长坑社康服务中心,"114.064442,22.632342",48
深圳市,吉祥花园,"114.080686,22.652896",深圳科学高中五和学校,"114.067133,22.613539",47
深圳市,尖岗山壹号花园,"113.916865,22.587092",深圳市南山区医疗集团总部西丽社区健康服务中心,"113.954615,22.577516",28
