城市名,起点名称,起点经纬度,终点名称,终点经纬度,时间
北京市,西坝河东里,"116.444915,39.966855",红庙万惠商场,"116.477686,39.917269",16
北京市,火神庙商业中心,"116.34332,39.730834",狼垡公园,"116.282095,39.791919",24
北京市,溪城家园1号院,"116.400608,40.042878",北京市中关村中学(清华园校区),"116.327772,39.994167",25
北京市,瑞海国际中心,"116.31611,39.8979",北京市第十二中学(体育分校),"116.287622,39.854543",13
北京市,朗润园一期,"116.460256,39.804371",北京第一师范学校附属小学东校区,"116.416066,39.866297",22
北京市,文慧园56号公寓,"116.358028,39.951907",史家小学遂安伯校区,"116.424343,39.916126",18
北京市,中海寰宇天下·天境,"116.169781,39.91266",北京育英学校,"116.286236,39.911471",22
北京市,温哥华森林西郡,"116.412444,40.135823",天通苑购物中心,"116.41475,40.06643",19
北京市,金辰府,"116.426816,40.116774",天通苑购物中心,"116.41475,40.06643",18
北京市,北重西厂,"116.227648,39.893144",麦德龙(北京四季青店),"116.272734,39.947527",14
北京市,北京宸园,"116.496793,39.963464",北岸商业广场,"116.581349,39.913497",21
北京市,青云上府,"116.570907,40.020392",北京市朝阳区和平医院,"116.511372,40.023318",17
北京市,朝来绿色家园嬴秋苑,"116.435557,40.034517",物美超市(西三旗店),"116.337692,40.047091",17
北京市,大拐棒胡同,"116.375749,39.927256",北京市东城区第一人民医院,"116.401276,39.864505",21
北京市,三不老胡同,"116.377517,39.939384",北京市东方德才学校(金台里校区),"116.47705,39.919726",20
北京市,首开国风美仑,"116.585629,39.769129",亦庄医院,"116.482462,39.798845",24
北京市,龙樾合玺,"116.518255,40.002997",北京市东方德才学校(金台里校区),"116.47705,39.919726",23
北京市,西山观复,"116.200695,40.051846",八家村公园,"116.189181,40.114348",18
北京市,德茂小区,"116.433583,39.781931",北京市东城区第一人民医院,"116.401276,39.864505",20
北京市,小市口胡同3号院,"116.385136,39.949954",北京市东方德才学校(金台里校区),"116.47705,39.919726",23
北京市,御翠园,"116.521442,39.948245",史家小学遂安伯校区,"116.424343,39.916126",20
北京市,万寿路24号院,"116.295234,39.908678",北京第二实验小学(涭水河分校),"116.37648,39.900266",17
北京市,国祥源境,"116.855097,40.362129",十里堡镇水杨红小学,"116.767387,40.366261",18
北京市,融创壹号院ONE9,"116.496801,39.943188",解放军总医院第七医学中心东楼,"116.430518,39.929935",22
北京市,华天大厦,"116.33602,39.897879",北京第一师范学校附属小学东校区,"116.416066,39.866297",17
北京市,奥林匹克花园四期,"116.541898,39.95964",首都医科大学附属北京妇产医院产科门诊,"116.470751,39.93087",19
北京市,长沟峪矿家属区,"115.924371,39.713282",房山区第五中学,"115.920436,39.656031",14
北京市,报房胡同,"116.414303,39.922134",北京市东方德才学校(金台里校区),"116.47705,39.919726",17
北京市,北京城建·国誉颂,"116.717556,39.977258",通州医院,"116.696819,39.933594",12
北京市,汤泉墅一区,"116.154249,39.791405",良乡大学城公园·安苑,"116.178754,39.722246",21
北京市,青塔胡同,"116.357769,39.927217",麦德龙(北京四季青店),"116.272734,39.947527",15
北京市,大溪地,"116.289093,39.804759",西营完全小学,"116.223536,39.757663",19
北京市,榆树林,"116.313308,39.977377",自忠小学分校,"116.381343,39.9219",24
北京市,京粮悦谷首城南区,"116.375902,39.808062",山姆超市,"116.34792,39.871893",16
北京市,贵园东里一区,"116.483517,39.800614",北京市恒基客运有限公司马驹桥充电桩客运站,"116.548944,39.72904",24
北京市,北京岭秀,"117.198085,40.116791",北京市平谷中学,"117.120617,40.138925",18
北京市,拾景名苑 ,"116.200693,39.901764",亿潼隆丰益购物中心,"116.302114,39.858539",19
北京市,复兴路61号院,"116.292801,39.909195",北京市石景山医院,"116.213305,39.906086",19
北京市,北京建工·嘉境里,"116.249971,40.163284",壹号商业广场,"116.248103,40.075649",26
北京市,森与天成,"116.360888,39.815417",北京市东城区第一人民医院,"116.401276,39.864505",18
北京市,爱这城二期,"116.505562,39.912686",北京第一师范学校附属小学东校区,"116.416066,39.866297",20
北京市,K2十里春风,"116.781261,39.598613",世纪华联超市(大德路店),"116.73552,39.68126",19
北京市,北京润府,"116.554918,39.821509",亦庄医院,"116.482462,39.798845",16
北京市,杰辉苑,"115.964166,39.720529",房山红领巾公园,"116.023324,39.724052",15
北京市,中建一局北院,"116.283701,39.869921",狼垡公园,"116.282095,39.791919",20
北京市,嘉铭桐城C区,"116.42693,40.004179",物美超市(西三旗店),"116.337692,40.047091",18
北京市,京熙润府,"116.165653,39.727278",首都师范大学附属中学实验学校,"116.191135,39.77423",15
北京市,路劲御合院,"116.626536,39.648598",北京市大兴区凤河营中学,"116.694885,39.612385",13
北京市,刚察胡同,"116.411083,39.930372",枫蓝国际购物中心,"116.356605,39.952958",17
北京市,宝星园一区,"116.480105,40.000984",欧陆广场,"116.5475,40.066878",28
北京市,首开卓越建工·熙悦晴翠,"116.184465,39.864226",北京市石景山医院,"116.213305,39.906086",20
北京市,酒仙桥四街坊,"116.496711,39.962891",史家小学遂安伯校区,"116.424343,39.916126",20
北京市,长楹天街西区,"116.59943,39.924319",北京朝阳凯文学校,"116.584502,39.983595",15
北京市,六铺炕三区,"116.386661,39.954387",北京市东方德才学校(金台里校区),"116.47705,39.919726",21
北京市,紫金新干线四区,"116.380365,40.077207",北京陈经纶中学嘉铭分校(欧陆校区),"116.421541,39.998376",27
北京市,碧桂园和世界,"116.636921,39.86112",西马庄小学,"116.631551,39.912761",22
北京市,朝阳壹号,"116.542162,39.857686",西马庄小学,"116.631551,39.912761",28
北京市,阜成路甲3号院,"116.327728,39.924418",麦德龙(北京四季青店),"116.272734,39.947527",13
北京市,隆远阁,"116.432454,39.977631",枫蓝国际购物中心,"116.356605,39.952958",15
北京市,硅谷ONE,"116.406755,40.110058",北京天苑医院,"116.436968,40.07121",14
北京市,永合馨苑,"116.397259,39.863231",亿潼隆丰益购物中心,"116.302114,39.858539",14
北京市,海淀南路12号项目,"116.306877,39.975093",自忠小学分校,"116.381343,39.9219",25
北京市,国祥誉,"116.861688,40.365047",十里堡镇水杨红小学,"116.767387,40.366261",19
北京市,和义东里二区,"116.406699,39.813457",北京市东城区第一人民医院,"116.401276,39.864505",14
北京市,中建云境,"116.307132,39.816034",北京市东城区第一人民医院,"116.401276,39.864505",20
北京市,中建国望府,"116.165972,39.867537",北京十一晋元中学,"116.230716,39.920445",16
北京市,京烟宿舍,"116.580874,39.914935",金盏东村中心公园,"116.582449,40.002784",20
北京市,国英园,"116.358868,39.933724",北京滨河公园,"116.349135,39.887261",14
北京市,北京城建·宸知筑,"116.246064,39.868598",北京市石景山医院,"116.213305,39.906086",18
北京市,中建·和颂九里,"116.237404,39.860449",狼垡公园,"116.282095,39.791919",21
北京市,梧桐山语,"116.297946,40.223513",百善学校,"116.319782,40.172499",15
北京市,中建·长安麓院,"116.103638,39.898417",北京市石景山医院,"116.213305,39.906086",20
北京市,格林云墅,"116.401573,39.708213",世纪华联超市(宋庄店),"116.297175,39.723772",27
北京市,新都名苑,"116.201854,39.902133",亿潼隆丰益购物中心,"116.302114,39.858539",21
北京市,阳春光华枫树园,"116.30073,39.966005",北京市和平里医院第一门诊,"116.417477,39.963876",16
北京市,和棠瑞著,"117.288651,40.179475",甘营客运站,"117.229082,40.149909",10
北京市,珠江帝景D区,"116.481789,39.887915",北岸商业广场,"116.581349,39.913497",19
北京市,惠和新苑,"115.99123,39.97659",黑山公园,"116.096479,39.94073",32
北京市,金地·璟宸,"116.132865,39.74291",西营完全小学,"116.223536,39.757663",17
北京市,民生花园,"116.669066,40.162667",顺义区石园小学,"116.700269,40.102902",19
北京市,i立方,"116.332073,39.694682",物美超市(芦城店),"116.284075,39.752805",21
北京市,朝外MEN,"116.44152,39.921812",北京滨河公园,"116.349135,39.887261",21
北京市,雅居乐富春山居,"116.087396,39.898871",北京市门头沟区医院,"116.101748,39.94553",17
北京市,协辛庄,"116.661398,39.895613",十里庄村文化公园,"116.680228,39.816619",27
北京市,懋源璟橒,"116.568698,40.056705",世纪意嘉超市,"116.608383,40.138169",20
北京市,熙湖悦著,"116.084263,39.783927",首都师范大学附属中学实验学校,"116.191135,39.77423",20
北京市,雅居乐富春山居,"116.087396,39.898871",北京市石景山区电厂路小学,"116.139932,39.937129",17
北京市,北三环中路43号院,"116.373264,39.973541",林荫公园,"116.438601,40.041556",24
北京市,御璟星城元启,"116.347675,39.781987",亿潼隆丰益购物中心,"116.302114,39.858539",19
北京市,保利建工·嘉华天珺,"116.230648,40.087039",巩华中心第二小学,"116.278721,40.12879",20
北京市,颐海澐颂,"116.246462,40.066275",和悦城生活广场,"116.347591,40.032861",23
北京市,首开卓越建工·熙悦晴翠,"116.184465,39.864226",北京市第十二中学(体育分校),"116.287622,39.854543",22
北京市,公园和御,"116.678863,40.100313",世纪意嘉超市,"116.608383,40.138169",16
北京市,誉天下盛寓,"116.557842,40.058939",北京市朝阳区和平医院,"116.511372,40.023318",17
北京市,懋源璟玺,"116.518527,40.046813",林荫公园,"116.438601,40.041556",17
北京市,国英园,"116.358868,39.933724",北京市东城区第一人民医院,"116.401276,39.864505",16
北京市,建发·观堂府,"116.277471,40.216297",世纪华联超市(翠湖新城店),"116.301835,40.149187",18
北京市,京熙润府,"116.165653,39.727278",世纪华联超市(长龙苑店),"116.211374,39.807103",25
北京市,和棠瑞著,"117.288651,40.179475",峨嵋园,"117.204352,40.213408",17
北京市,锦秋知春,"116.349035,39.97588",麦德龙(北京四季青店),"116.272734,39.947527",15
北京市,越秀·星樾,"116.308254,40.111424",百善学校,"116.319782,40.172499",21
北京市,中建玖玥府,"116.357906,39.789507",北京市东城区第一人民医院,"116.401276,39.864505",19
北京市,八龙桥雅苑,"116.584135,40.291473",北京市怀柔区雁栖医院,"116.659639,40.357591",18
北京市,君礼著,"116.305131,39.845657",狼垡公园,"116.282095,39.791919",23
北京市,永定路24号院,"116.265359,39.92084",北京滨河公园,"116.349135,39.887261",20
北京市,东恒时代二期,"116.498661,39.91187",老君堂公园,"116.52028,39.833236",21
北京市,格拉斯小镇,"116.646743,40.005621",通州医院,"116.696819,39.933594",23
