城市名,起点名称,起点经纬度,终点名称,终点经纬度,时间
北京市,上地佳园,"116.316432,40.034645",上地地铁站,"116.320193,40.033007",5
北京市,甘露园南里一区,"116.513236,39.915263",朝阳路太平庄快速公交站,"116.522131,39.916953",13
北京市,东货场路38号院,"116.297416,39.853818",丰台东大街地铁站C东南口,"116.294077,39.854499",5
北京市,万科东庐,"116.631338,39.930347",物资学院路地铁站,"116.639316,39.926801",38
北京市,中海丰和叁號院,"116.3039,39.818497",丰台科技园地铁站,"116.297176,39.825233",15
北京市,管庄周井大院,"116.583743,39.912452",双桥地铁站,"116.57676,39.91014",15
北京市,百荣嘉园,"116.394267,39.867058",北京市东城区第一人民医院,"116.401276,39.864505",13
北京市,新纪元公寓,"116.338144,39.888462",湾子地铁站,"116.327753,39.889954",14
北京市,双合家园D区,"116.530029,39.857822",双合地铁站,"116.526836,39.859691",6
北京市,泰达时代,"116.470679,39.914228",光华路地铁站,"116.469555,39.913574",3
北京市,景宜里,"116.250915,39.93022",阜玉路口快速公交站,"116.252861,39.925856",10
北京市,北京城建天坛府,"116.412758,39.866591",蒲黄榆地铁站,"116.423087,39.865584",12
北京市,中海寰宇未来,"116.309171,40.109546",朱辛庄地铁站,"116.313698,40.104297",9
北京市,阜成路47号院,"116.306822,39.924537",西钓鱼台快速公交站,"116.298872,39.924045",9
北京市,西山艺境6号院,"116.099334,39.92907",门头沟教委小区快速公交站,"116.096504,39.934231",9
北京市,中海寰宇天下·天境,"116.169781,39.91266",新首钢地铁站,"116.164863,39.908918",12
北京市,刘家窑东里,"116.420159,39.86147",蒲黄榆地铁站,"116.423087,39.865584",9
北京市,越秀·星樾,"116.308254,40.111424",朱辛庄地铁站,"116.313698,40.104297",15
北京市,长阳国际城三区,"116.218474,39.755646",西营完全小学,"116.223536,39.757663",13
北京市,天恒京西悦府,"116.08425,39.715549",阎村地铁站,"116.080165,39.716731",7
北京市,福盈家园4号院,"116.56784,39.919922",褡裢坡地铁站,"116.563961,39.924021",10
北京市,中昊家园,"116.258697,39.927019",阜永路口西快速公交站,"116.263483,39.924284",11
北京市,制线厂家属楼,"116.685873,39.872894",临河里地铁站,"116.678811,39.875496",11
北京市,未来明珠,"116.370507,39.851309",角门西地铁站,"116.371154,39.84585",8
北京市,合生世界村H区,"116.546545,39.736994",北京市恒基客运有限公司马驹桥充电桩客运站,"116.548944,39.72904",18
北京市,人民日报社家属区,"116.471122,39.920961",光华路地铁站,"116.469555,39.913574",13
北京市,绿城·西山云庐,"116.179888,39.945738",福寿岭地铁站,"116.171146,39.939811",14
北京市,大苑海淀府,"116.241969,39.930743",田村地铁站,"116.252914,39.929503",14
北京市,端礼著,"116.34196,39.86342",菜户营地铁站,"116.342444,39.867627",9
北京市,革新里小区,"116.391834,39.866767",北京市东城区第一人民医院,"116.401276,39.864505",14
广州市,寺贝通津1号大院,"113.296875,23.122528",农林下路地铁站,"113.295499,23.130883",22
广州市,智都绿城·凤凰于飛,"113.233848,23.417474",花城街地铁站,"113.234955,23.425568",12
广州市,铂林国际公寓,"113.316594,23.11928",寺右新马路地铁站,"113.31211,23.119646",9
广州市,中绿蔚蓝湾,"113.605437,22.768562",南沙客运港地铁站,"113.610968,22.766988",12
广州市,越秀珠实·皓悦滨江,"113.279159,23.107232",市二宫地铁站,"113.26989,23.105996",15
广州市,粤海凯旋大厦,"113.305898,23.146261",沙河地铁站,"113.312511,23.152064",12
广州市,馨雅居,"113.242548,23.208626",大鱼公园,"113.247938,23.208662",12
广州市,南骏大厦,"113.339846,23.144864",天河东地铁站,"113.33681,23.141525",8
广州市,华景新城华景锦苑,"113.364373,23.139133",华景路地铁站,"113.359543,23.133967",15
广州市,铁路大院,"113.251134,23.157587",三元里地铁站,"113.256851,23.159402",9
广州市,万汇天地·瑧园,"113.2282,23.084373",花地湾地铁站,"113.23403,23.087055",13
广州市,锦东花园,"113.226761,23.407215",花都广场地铁站,"113.222628,23.401307",14
广州市,同乐花苑,"113.373523,23.133357",学院快速公交站,"113.371793,23.129067",10
广州市,荣升·珑樾,"113.325482,23.195043",同和地铁站,"113.326264,23.19706",5
广州市,阳光城兰园·翡澜花园,"113.241516,23.385664",莲塘地铁站,"113.245149,23.389101",9
广州市,文昌雅居,"113.244278,23.120984",陈家祠地铁站,"113.246439,23.125727",10
广州市,珠光新城御景,"113.350008,23.118044",马场地铁站,"113.34892,23.12562",16
广州市,增乐楼,"113.222774,23.152885",松溪地铁站,"113.223522,23.15488",3
广州市,华建大厦,"113.361604,23.131977",华景路地铁站,"113.359543,23.133967",5
广州市,麓湖阁,"113.286394,23.143168",淘金地铁站,"113.286549,23.136365",14
广州市,十年小雅,"113.365993,23.011469",员岗地铁站,"113.365641,23.015962",19
广州市,珠江·金瑶台,"113.270561,23.088989",宝岗大道地铁站,"113.2697,23.086027",6
广州市,知识城悦辰壹号,"113.527801,23.325469",广州实验中学,"113.53205,23.326793",6
广州市,横枝岗56号大院,"113.286703,23.146507",恒福路地铁站,"113.281204,23.143954",8
广州市,星河·智荟2期,"113.560878,22.759406",大涌地铁站,"113.555975,22.759076",11
广州市,万科培山园,"113.528425,23.213863",贤江西有轨电车站,"113.528081,23.211853",9
广州市,隆城大厦,"113.241465,23.125125",陈家祠地铁站,"113.246439,23.125727",6
广州市,金海御苑,"113.402906,22.93408",番禺客运站地铁站,"113.410076,22.936702",14
广州市,珠江·广钢花城,"113.252823,23.054912",广钢新城地铁站,"113.245594,23.057331",12
广州市,邮通小区,"113.361222,23.136108",华景路地铁站,"113.359543,23.133967",7
广州市,中建凤榕台,"113.676816,23.278456",凤岗地铁站,"113.670634,23.275961",12
广州市,陶苑小区,"113.323616,23.165091",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",20
广州市,琶洲樾·华樾,"113.344358,23.097801",南风有轨电车站,"113.348699,23.105676",18
广州市,保利湖光悦色,"113.34621,23.07657",龙潭地铁站,"113.341155,23.080783",18
广州市,晓风朗轩,"113.314512,23.087782",上涌公园地铁站,"113.312833,23.079787",17
深圳市,阳光新都荟花园,"114.298723,22.721748",龙东地铁站,"114.29645,22.721719",5
深圳市,翡翠华庭,"113.905938,22.568882",洪浪北地铁站,"113.910585,22.574543",12
深圳市,金地环湾城,"114.039539,22.519958",上沙地铁站,"114.035504,22.524612",11
深圳市,云海臻府,"113.776353,22.716111",海上田园南地铁站,"113.778501,22.71552",9
