城市名,起点名称,起点经纬度,终点名称,终点经纬度,距离
北京市,雅居乐富春山居,"116.087396,39.898871",冯村公园,"116.109987,39.90696",2.563
北京市,金茂璞逸丰宜,"116.401276,39.864505",北京市东城区第一人民医院,"116.432312,39.853662",3.422
北京市,建邦·顺颐府,"116.531856,40.106616",兴峪城市森林公园,"116.560603,40.106075",2.989
北京市,梧桐星宸,"116.264151,40.168188",学府公园,"116.281624,40.158374",2.507
北京市,艺苑西里,"116.669039,39.895141",运河小学,"116.670632,39.891352",0.655
北京市,北京城建樂知筑,"117.091867,40.154976",物美超市(都丽华府店),"117.097738,40.133703",3.319
北京市,中建T5未来住区,"116.460777,39.560337",北京市大兴区礼贤民族中学,"116.469013,39.555309",1.47
北京市,天通苑四区,"116.423568,40.060134",花家地实验小学朝来校区,"116.434845,40.037448",3.888
北京市,北潞馨,"116.122375,39.737789",科豪商厦,"116.141661,39.735126",2.696
北京市,裕龙花园六区,"116.650415,40.126508",隆华购物中心(站前街),"116.677078,40.118819",3.171
北京市,晨光家园C区,"116.477686,39.917269",红庙万惠商场,"116.50762,39.926848",3.5
北京市,北京城建·国誉燕园,"116.181045,40.158883",北京市昌平区硕博学校,"116.194838,40.171124",2.451
北京市,雍景山岚,"116.202273,39.933287",北京十一晋元中学,"116.230716,39.920445",3.645
北京市,天娇园,"116.422943,39.897007",顺天府超市(新景家园店),"116.439194,39.897922",1.403
北京市,同华园,"116.35834,39.790874",华联生活超市(翠海明苑南),"116.360047,39.80803",3.173
北京市,枫桦豪景二期,"116.372061,39.88718",天桥百货商场,"116.397929,39.880592",3.12
北京市,中建云境,"116.307132,39.816034",乐家购物中心B区,"116.333007,39.800108",5.034
北京市,万科七橡墅,"115.959195,39.684148",华联生活超市(顾郑路店),"115.980564,39.675467",3.042
北京市,西安街甲4号院,"116.279479,39.847698",盒马鲜生(资和信店),"116.285299,39.83753",1.679
北京市,强佑清河新城,"116.345897,40.028479",北京市红十字会急救中心,"116.353324,40.026102",0.894
北京市,荣京道,"116.481942,39.786666",华联超市(鹿华路店),"116.497367,39.785796",1.89
北京市,橡树湾(兴橡润园),"116.338648,39.773565",北京市大兴区星星学校,"116.354338,39.786029",2.712
北京市,龙脉度假村,"116.39962,40.180971",大柳树商城,"116.401691,40.179235",0.508
北京市,新城投·御河园,"116.209932,39.759959",北京市第四中学(房山校区),"116.229103,39.760654",2.237
北京市,万科蓝,"116.297707,39.815005",阳春小学,"116.304701,39.79073",2.849
北京市,龙樾合玺,"116.514838,39.978118",爱哲安民未来学校,"116.518255,40.002997",4.603
北京市,劲松八区,"116.447174,39.881867",北京工业大学附属中学(新升分校),"116.472185,39.864144",3.799
北京市,金茂璞逸丰宜,"116.428401,39.838881",社区公园,"116.432312,39.853662",2.006
北京市,长安府,"116.623269,39.920906",西马庄公园,"116.639096,39.934976",3.821
北京市,芭蕾雨二期,"116.185745,39.772828",世纪华联超市(悦都新苑店),"116.186841,39.760062",1.932
北京市,能建·京玥兰园,"116.674641,39.893357",北京市通州区运河中学东校区,"116.676171,39.868402",4.086
北京市,龙湖天璞,"116.536516,39.959141",北京市朝阳区安民学校单店校区,"116.554035,39.968053",2.629
北京市,果园西路38号院,"116.819831,40.37243",首都师范大学附属密云中学,"116.82675,40.370036",0.886
北京市,中海丰和叁號院,"116.3039,39.818497",首都医科大学附属北京天坛医院,"116.315116,39.834651",2.883
北京市,玖瀛府,"116.282038,40.203157",北京江山中医医院,"116.312859,40.208408",3.139
北京市,康庄东路19号院,"116.285299,39.83753",盒马鲜生(资和信店),"116.309972,39.843297",2.871
北京市,俪乔公馆,"116.569147,40.03885",北京德威英国国际学校,"116.57136,40.044081",0.898
北京市,金隅悦和园,"116.538011,39.957687",华联精品超市(嘉园东里店),"116.551386,39.95104",2.113
北京市,金华园,"116.380277,39.757864",敬贤公园,"116.384758,39.767365",1.574
北京市,北京国贤府（昌平）,"116.414202,40.106208",北京王府中西医结合医院,"116.441678,40.121891",4.074
北京市,和光尘樾,"116.534172,39.971913",坝鑫体育公园,"116.566252,39.963722",3.33
北京市,恒基·天汇,"116.523812,40.029899",北京蒙台梭利国际学校中学部,"116.533728,40.053039",3.073
北京市,西山金茂府,"116.170674,39.809157",中国航天科工集团七三一医院,"116.178661,39.832725",3.981
北京市,香山樾,"116.197705,39.948366",解放军总医院京西医疗区,"116.21076,39.955816",2.9
北京市,元玺,"116.165802,39.91264",天成兴浩商业,"116.173854,39.923072",2.054
北京市,北京城建·星誉,"116.636365,40.108425",环宇金龙生活超市(澜西园市场店),"116.662927,40.101582",3.969
北京市,北京城建颐知筑,"116.158527,39.73882",良乡大学城公园·安苑,"116.178754,39.722246",3.301
