城市名,起点名称,起点经纬度,终点名称,终点经纬度,距离
北京市,招商璀璨时代,"116.546995,39.751069",盒马邻里(北京通州金桥小区店),"116.599615,39.785326",8.267
北京市,燕西华府,"116.110018,39.795731",科豪商厦,"116.141661,39.735126",8.987
北京市,壹品兴创•颐和公馆,"116.304701,39.79073",阳春小学,"116.325089,39.711518",10.74
北京市,大龙公寓,"116.412692,39.963553",林荫公园,"116.438601,40.041556",13.095
北京市,硅谷ONE,"116.406755,40.110058",天通苑购物中心,"116.41475,40.06643",7.381
北京市,恒大麗宫,"116.468872,40.010779",华彩商业中心,"116.558941,40.050447",15.226
北京市,中海·萬吉玖序,"116.477686,39.917269",红庙万惠商场,"116.497767,39.962602",6.945
北京市,森与天成,"116.287622,39.854543",北京市第十二中学(体育分校),"116.360888,39.815417",12.663
北京市,南极星,"116.290224,39.834683",阳春小学,"116.304701,39.79073",5.532
北京市,顺驰领海,"116.318784,39.775659",敬贤公园,"116.380277,39.757864",7.73
北京市,莲花池东路9号院,"116.33168,39.89788",北京第一师范学校附属小学东校区,"116.416066,39.866297",11.82
北京市,月坛北小街7号院,"116.34572,39.920665",北京第一师范学校附属小学东校区,"116.416066,39.866297",14.209
北京市,芍药居2号院,"116.356605,39.952958",枫蓝国际购物中心,"116.433619,39.977499",11.574
北京市,彩楼,"116.425776,39.962561",首都医科大学附属北京妇产医院产科门诊,"116.470751,39.93087",8.038
北京市,帅府·京彩世界,"116.649847,39.862537",北京市通州区运河中学东校区,"116.674641,39.893357",5.583
北京市,紫金书院,"116.374615,40.076995",花家地实验小学朝来校区,"116.434845,40.037448",10.645
北京市,融景城,"116.206077,39.894832",北京市第十二中学(体育分校),"116.287622,39.854543",11.355
北京市,后拐棒胡同甲2号院,"116.34792,39.871893",山姆超市,"116.425384,39.922855",13.853
北京市,北京润府,"116.477117,39.830903",镇海寺城市公园,"116.554918,39.821509",10.221
北京市,绿地新都会,"116.161097,39.755633",京盛时代购物中心,"116.172863,39.819576",10.173
北京市,北京德贤华府,"116.309493,39.69757",北京市大兴区兴华中学,"116.333765,39.755198",9.774
北京市,格拉斯小镇,"116.567227,40.004533",北京市金盏学校,"116.646743,40.005621",13.061
北京市,第三区,"116.329973,39.885281",社区公园,"116.428401,39.838881",17.321
北京市,黑山A4区,"116.098754,39.93657",北京长安天街,"116.12345,39.905343",5.599
北京市,金桥国际,"116.37648,39.900266",北京第二实验小学(涭水河分校),"116.4423,39.895902",6.804
北京市,融创壹号院ONE9,"116.398014,39.955251",圣佳臣便民超市安德里店,"116.496801,39.943188",14.956
北京市,汉华苑,"116.464568,39.871017",老君堂公园,"116.52028,39.833236",12.758
北京市,新外大街21号院,"116.272734,39.947527",麦德龙(北京四季青店),"116.370376,39.95707",10.927
北京市,农科院教师家属楼,"116.328266,39.958464",解放军总医院第七医学中心东楼,"116.430518,39.929935",11.446
北京市,国英绿景公寓,"116.272734,39.947527",麦德龙(北京四季青店),"116.360216,39.936217",8.862
北京市,建邦·顺颐府,"116.531856,40.106616",北京德威英国国际学校,"116.569147,40.03885",9.674
北京市,建发·观云,"116.542141,40.10832",北京德威英国国际学校,"116.569147,40.03885",11.023
北京市,华曦府,"116.242387,39.887946",北京市第十二中学(体育分校),"116.287622,39.854543",7.286
北京市,学院南路乙10号院,"116.365349,39.956378",解放军总医院第七医学中心东楼,"116.430518,39.929935",8.601
北京市,小汤山区医院宿舍,"116.292876,40.149967",北京昌平博华京康医院,"116.392444,40.177203",9.91
北京市,西山金茂府,"116.12345,39.905343",北京长安天街,"116.178661,39.832725",15.363
北京市,公园和御,"116.608383,40.138169",世纪意嘉超市,"116.678863,40.100313",10.142
北京市,小屯路东里1号院,"116.213305,39.906086",北京市石景山医院,"116.256771,39.892638",5.875
北京市,横五条35号院,"116.374318,39.913116",西单商场西单北大街店北区,"116.426617,39.854009",11.147
北京市,嘉园一里,"116.340376,39.913867",大商超市(银岛店),"116.369358,39.854296",10.905
北京市,和光悦府,"116.515333,40.004708",世纪生活超市,"116.59653,40.039982",10.508
北京市,安宁里小区,"116.330586,40.046182",林荫公园,"116.438601,40.041556",14.752
北京市,北科建水岸雁栖,"116.643822,40.312625",北京市怀柔区第五中学,"116.673922,40.375713",8.24
北京市,首创住总禧瑞金海,"117.211177,40.200777",青田侨乡(刘家河店),"117.290515,40.184578",9.871
北京市,北京·东湾,"116.596378,39.927977",常营小公园,"116.645725,39.911426",7.983
北京市,西便门东里,"116.353412,39.899246",社区公园,"116.428401,39.838881",16.812
北京市,东直门内北小街16号院,"116.425891,39.945544",红庙万惠商场,"116.477686,39.917269",7.447
北京市,中海长安誉,"116.139932,39.937129",北京市石景山区电厂路小学,"116.180676,39.910143",5.844
北京市,竹溪园,"116.358671,40.013084",林荫公园,"116.438601,40.041556",14.962
北京市,国祥誉,"116.861688,40.365047",大星发超市(金凤店),"116.963217,40.32433",17.782
北京市,星河湾畅园,"116.522697,39.926578",北京朝阳凯文学校,"116.584502,39.983595",12.966
北京市,华鸿家园,"116.327772,39.994167",北京市中关村中学(清华园校区),"116.379992,40.06159",13.979
北京市,中海丽泽叁號院,"116.287622,39.854543",北京市第十二中学(体育分校),"116.339771,39.850982",7.092
北京市,中建玖玥府,"116.282095,39.791919",狼垡公园,"116.357906,39.789507",8.75
北京市,草岚子胡同,"116.381725,39.926923",北京市东方德才学校(金台里校区),"116.47705,39.919726",10.239
北京市,新安里,"116.304701,39.79073",阳春小学,"116.355431,39.740109",9.154
北京市,长安华曦府,"116.118039,39.908744",北京市石景山医院,"116.213305,39.906086",9.089
北京市,西上园二区,"116.581349,39.913497",北岸商业广场,"116.679175,39.902618",9.544
北京市,四路通17号院,"116.38333,39.865093",北京中医药大学东方医院,"116.432243,39.864065",4.364
北京市,天恒·水岸壹号,"116.15593,39.714382",绿地缤纷城,"116.160838,39.756429",5.881
北京市,中建璞园PARK,"116.495311,40.09559",城客隆超市(古城中心街店),"116.560467,40.025943",14.171
北京市,东直门内北小街2号院,"116.401276,39.864505",北京市东城区第一人民医院,"116.426158,39.949055",14.393
北京市,亚林西居住区,"116.340376,39.913867",大商超市(银岛店),"116.35427,39.856221",8.293
北京市,莲怡园二区,"116.2985,39.88564",北京第二实验小学(涭水河分校),"116.37648,39.900266",9.906
北京市,北京宸园,"116.430518,39.929935",解放军总医院第七医学中心东楼,"116.496793,39.963464",8.902
北京市,中海丽金府,"116.287622,39.854543",北京市第十二中学(体育分校),"116.336343,39.856536",5.4
北京市,裕龙三区,"116.671589,40.125404",李遂中学,"116.762128,40.098603",11.093
北京市,枫荷园,"116.262242,39.578911",世纪华联超市(曹各庄店),"116.315644,39.512503",11.996
北京市,首邑溪谷,"116.311027,39.758299",国营兴糖商场,"116.335506,39.722295",5.33
北京市,保利璟山和煦,"116.142585,39.928452",北京市石景山医院,"116.213305,39.906086",10.545
北京市,北官厅胡同甲2号院,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.427108,39.948022",10.008
北京市,中建璞园,"116.450972,40.039028",温榆河公园来广营园区,"116.560389,40.022313",11.382
北京市,富丽华园,"116.432243,39.864065",北京中医药大学东方医院,"116.467433,39.946466",12.707
北京市,海户西里,"116.287622,39.854543",北京市第十二中学(体育分校),"116.388176,39.8551",10.073
北京市,青年公寓,"116.272734,39.947527",麦德龙(北京四季青店),"116.327584,39.966805",6.501
北京市,建投国贸·瑨上,"116.674641,39.893357",北京市通州区运河中学东校区,"116.71774,39.974161",12.165
北京市,美林花园,"116.306755,39.946131",山姆超市,"116.34792,39.871893",12.621
北京市,惠新东街甲15号,"116.422506,39.979771",林荫公园,"116.438601,40.041556",8.641
北京市,长安润璟,"116.198124,39.892367",北京市第十二中学(体育分校),"116.287622,39.854543",12.415
北京市,中交远洋·那么小镇,"116.14522,39.962239",海淀区教师进修学校附属实验小学,"116.234732,39.956125",18.127
北京市,桃园东里17号院,"116.407582,39.871017",解放军总医院第七医学中心东楼,"116.430518,39.929935",10.773
北京市,广和东里,"116.397929,39.880592",天桥百货商场,"116.452938,39.890177",8.907
北京市,梧桐山语,"116.225639,40.209656",赛场公园,"116.297946,40.223513",7.701
北京市,西山观复,"116.200695,40.051846",清华大学附属中学永丰学校,"116.252119,40.083715",8.149
北京市,民生花园,"116.608383,40.138169",世纪意嘉超市,"116.669066,40.162667",7.898
北京市,曙光花园望山园,"116.289833,39.943367",枫蓝国际购物中心,"116.356605,39.952958",8.654
北京市,融泽嘉园12号院,"116.315591,40.061197",北京市中关村中学(清华园校区),"116.327772,39.994167",13.405
北京市,中门寺南坡小区,"116.090927,39.932399",解放军总医院京西医疗区,"116.197705,39.948366",16.026
北京市,田村山南路20号院,"116.234341,39.919375",北京市第十二中学(体育分校),"116.287622,39.854543",11.05
北京市,蜂鸟家园,"116.296873,39.964477",北京第二实验小学(涭水河分校),"116.37648,39.900266",15.72
北京市,方庄南路18号院,"116.441406,39.850598",北京市东方德才学校(金台里校区),"116.47705,39.919726",10.86
北京市,政法大学家属楼,"116.35213,39.96415",西单商场西单北大街店北区,"116.374318,39.913116",9.001
北京市,保利璟山和煦,"116.142585,39.928452",解放军总医院京西医疗区,"116.197705,39.948366",8.898
北京市,住总青年ONE,"116.680417,40.129569",李遂中学,"116.762128,40.098603",8.706
北京市,朝阳壹号,"116.477686,39.917269",红庙万惠商场,"116.542162,39.857686",12.776
北京市,黄寺大街28号院,"116.389504,39.962336",北京市东方德才学校(金台里校区),"116.47705,39.919726",12.403
广州市,星汇文华,"113.405141,23.041843",增晖商场(宦溪南边街店),"113.408864,23.113482",12.489
广州市,保利珠江天悦,"113.265215,23.057863",泰安公园,"113.311056,22.984453",14.671
广州市,晓风云著,"113.615487,23.119597",新塘镇沙埔卫生院,"113.66391,23.161277",9.39
广州市,俊怡悦景台,"113.233759,23.488068",富森购物商场,"113.264353,23.419211",19.664
广州市,天河新天地,"113.343694,23.171766",广州兰花文化园,"113.37918,23.218177",11.289
广州市,印象东山,"113.279464,23.120643",沙河小学,"113.311762,23.152783",8.718
