城市名,起点名称,起点经纬度,终点名称,终点经纬度,开车,公共交通
北京市,和樾玉鸣,"116.288191,39.958852",国美电器(金源店),"116.293739,40.037944",21,49
北京市,京能云璟壹号,"116.851199,40.364996",北京青水潭中医医院,"116.921577,40.377579",15,41
北京市,观承别墅（温榆8号）,"116.494653,40.125657",北京市朝阳区芳草地国际学校(德贤分校),"116.497316,40.061339",18,92
北京市,中冶·德贤御府,"116.48447,40.00154",清华大学附属中学望京学校,"116.579331,39.977172",25,71
北京市,璀璨公元,"116.676471,39.867081",通州医院,"116.696819,39.933594",23,59
北京市,中关村公馆,"116.311794,39.977431",自忠小学分校,"116.381343,39.9219",35,49
北京市,曙光花园望河园,"116.292323,39.94267",北京市中关村中学(清华园校区),"116.327772,39.994167",23,58
北京市,北环路小区,"116.229674,40.229067",百善学校,"116.319782,40.172499",21,53
北京市,香山樾,"116.139932,39.937129",北京市石景山区电厂路小学,"116.21076,39.955816",22,58
北京市,强佑清河新城,"116.345897,40.028479",霍营中心小学,"116.359746,40.074943",17,29
北京市,枣营西里二条,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.47007,39.94212",39,47
北京市,豪景大厦,"116.321702,39.975805",北京市和平里医院第一门诊,"116.417477,39.963876",20,36
北京市,越秀·天玥,"116.182016,39.933503",北京育英学校,"116.286236,39.911471",27,51
北京市,万科七橡墅,"115.959195,39.684148",房山区中医医院东岭分院,"115.971823,39.763711",28,78
北京市,新悦家园,"116.228796,40.210427",北京昌平博华京康医院,"116.292876,40.149967",23,42
北京市,沙河水工机械场宿舍,"116.267371,40.132378",百善学校,"116.319782,40.172499",19,51
北京市,元玺,"116.10073,39.947628",雨润发购物广场,"116.165802,39.91264",18,52
北京市,珠江天樾书院,"116.389557,40.123244",北京天苑医院,"116.436968,40.07121",20,67
北京市,东厂胡同,"116.40933,39.921926",北京第一师范学校附属小学东校区,"116.416066,39.866297",35,43
北京市,惠康嘉园六区,"116.119669,39.913241",北京十一晋元中学,"116.230716,39.920445",20,42
北京市,大羊宜宾胡同35号院,"116.401276,39.864505",北京市东城区第一人民医院,"116.427916,39.913177",30,42
北京市,壹品兴创•颐和公馆,"116.325089,39.711518",国美电器(悦秀城店),"116.385894,39.6719",19,59
北京市,雅居乐富春山居,"116.087396,39.898871",北京市门头沟区医院,"116.101748,39.94553",19,69
北京市,花园闸北里小区,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.547855,39.912189",20,38
北京市,华龙苑中里,"116.327772,39.994167",北京市中关村中学(清华园校区),"116.369524,40.078142",39,55
北京市,建投国贸·瑨上,"116.669968,39.908124",通州区民族小学,"116.71774,39.974161",21,67
