城市名,起点名称,起点经纬度,终点名称,终点经纬度,时间
北京市,住总青年ONE,"116.680417,40.129569",顺义区平安医院,"116.665293,40.128758",9
北京市,晓月和风,"116.31748,39.73808",北京仁和医院,"116.338131,39.741918",14
北京市,报国寺1号院,"116.360522,39.890263",北京滨河公园,"116.349135,39.887261",10
北京市,北京城建府前龙樾,"116.644111,40.320034",北京市怀柔区第三小学,"116.62709,40.332999",15
北京市,壹品兴创•颐和公馆,"116.325089,39.711518",国营兴糖商场,"116.335506,39.722295",8
北京市,双榆树东里,"116.326702,39.968999",北京市中关村中学(清华园校区),"116.327772,39.994167",22
北京市,韩建观山源墅,"116.164495,39.737878",科豪商厦,"116.141661,39.735126",12
北京市,住总·清樾府,"116.291897,40.170486",百善学校,"116.319782,40.172499",15
北京市,栖海澐颂,"116.254145,40.092872",壹号商业广场,"116.248103,40.075649",14
北京市,北京城建樂知筑,"117.091867,40.154976",北京市平谷区第一小学,"117.109663,40.1371",24
北京市,北科建翡翠华府,"116.667375,40.349051",北京市怀柔区雁栖医院,"116.659639,40.357591",10
北京市,青云上府,"116.570907,40.020392",金盏东村中心公园,"116.582449,40.002784",12
北京市,都丽华府,"117.101278,40.13293",首都医科大学附属北京友谊医院平谷医院,"117.1055,40.146169",11
北京市,建邦·顺颐府,"116.531856,40.106616",北京市第四中学(顺义分校),"116.544116,40.115413",14
北京市,天恒旭辉七号院,"116.302809,39.63431",世纪华联超市,"116.30725,39.619078",14
北京市,绿谷雅园,"116.217968,39.927684",北京市石景山医院,"116.213305,39.906086",29
北京市,第三区,"116.329973,39.885281",北京滨河公园,"116.349135,39.887261",14
广州市,正荣新城·云溪润宸,"113.411735,23.383847",龙岗学校-龙岗小学,"113.386635,23.389885",14
广州市,合景花蔓苑,"113.424623,23.627393",鳌头中学,"113.412837,23.624824",14
广州市,建发明珠湾玺,"113.515885,22.751672",广州市南沙区明珠湾小学,"113.504704,22.773038",33
广州市,珠委大院,"113.331276,23.145624",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",20
广州市,星誉星晴雅筑,"113.359622,22.962222",乐家购物商场,"113.375251,22.949203",13
广州市,城市家园一期,"113.614647,23.124663",白江小学,"113.5976,23.114461",14
广州市,花都银燕大厦,"113.216915,23.394353",光之彩天幕城,"113.238884,23.403823",18
广州市,翔韵雅居,"113.309983,23.100451",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",24
广州市,金地天河峯睿,"113.392322,23.135652",增晖商场(宦溪南边街店),"113.408864,23.113482",25
广州市,合景花蔓苑,"113.424623,23.627393",水西小学,"113.406529,23.615808",18
广州市,中铁·阅江来,"113.503377,22.79114",黄阁镇凤凰社区法治公园,"113.521115,22.792559",17
广州市,阳光城翡丽山,"113.638428,23.127231",增城开发区豪进体育公园,"113.629678,23.152866",30
广州市,福今路3号大院,"113.302289,23.126665",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",14
广州市,合锦嘉泓·天宇广场,"113.551825,22.798387",广州外国语学校附属学校,"113.538346,22.777731",22
广州市,中国铁建花语上城,"113.516045,22.792387",华润万家金茂湾分店(金象中路店),"113.520099,22.781431",16
广州市,粤兴苑,"113.198762,23.382787",九潭村卫生服务站,"113.179696,23.386763",16
广州市,洺悦玉府,"113.327201,22.935766",大平村邓婉华社区卫生服务站,"113.337728,22.946895",9
广州市,豪景花园,"113.315712,23.154469",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",20
广州市,海洋地质大厦,"113.306433,23.134935",东山街社区卫生服务中心(明月二路),"113.3125,23.115992",19
广州市,叠翠峰,"113.520579,22.79646",华润万家金茂湾分店(金象中路店),"113.520099,22.781431",14
广州市,合生中央城一期,"113.500497,23.153009",永辉超市,"113.49839,23.173689",19
广州市,煤气公司宿舍(天河区),"113.340395,23.139304",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",32
广州市,员村新村,"113.361774,23.119544",骏景小学,"113.382361,23.121679",18
广州市,合景臻溋名铸,"113.405334,23.106838",骏景小学,"113.382361,23.121679",22
广州市,时代·印象,"113.494837,23.454586",从化区太平第二中学,"113.480221,23.435165",22
广州市,莲园新村,"113.832219,23.288671",增城区实验小学,"113.806059,23.294731",20
广州市,保利珑玥公馆,"113.401065,23.368114",广东第二师范学院实验教育集团,"113.406429,23.385606",16
广州市,星图花园,"113.64002,23.134351",久裕商贸城,"113.654113,23.122966",12
广州市,远洋天骄,"113.336286,23.173776",广州市第七十五中学高中部(燕塘东校区),"113.33062,23.164618",11
广州市,名城·御景绿洲,"113.60233,23.531299",欣荣广场,"113.58926,23.533024",15
广州市,莱茵水岸,"113.597348,23.526291",荔香湖,"113.612343,23.52525",11
广州市,仟信广场,"113.606645,23.560898",从化区街口街社区卫生服务中心,"113.58676,23.551398",17
广州市,林苑楼,"113.202797,23.395426",九潭村卫生服务站,"113.179696,23.386763",25
深圳市,和成金竹家园,"114.08044,22.629371",长坑社康服务中心,"114.064442,22.632342",15
深圳市,鹏宸云筑,"114.053922,22.611637",盒马邻里(深圳龙岗万科第五园店),"114.071031,22.612881",12
深圳市,悦章凤凰里,"113.817795,22.691236",彩虹缤纷城,"113.825021,22.67424",21
深圳市,学城绿园,"113.965633,22.592159",华润万家(西丽店),"113.959561,22.570558",16
深圳市,文锦大厦,"114.131874,22.543175",春风公园,"114.115637,22.535471",16
深圳市,百晟上府,"113.900335,22.785727",盒马邻里(深圳光明益田假日府邸店),"113.904123,22.767213",19
深圳市,天曜府,"114.019265,22.625417",大浪赤岭头商贸城,"114.010314,22.648793",23
深圳市,中洲湾滨海华府三期,"114.03175,22.523118",星河COCO Park(福田店),"114.054007,22.533569",21
