城市名,起点名称,起点经纬度,终点名称,终点经纬度,开车,公共交通
北京市,中骏云景台,"116.066778,39.651043",北京市房山区窦店中学,"116.14503,39.681641",21,69
北京市,大六部口,"116.381254,39.905821",北京中医药大学东方医院,"116.432243,39.864065",23,39
北京市,丽水湾畔,"116.37648,39.900266",北京第二实验小学(涭水河分校),"116.442033,39.895051",23,26
北京市,住总•芳华里,"116.544116,40.115413",北京市第四中学(顺义分校),"116.636357,40.119402",22,44
北京市,地质调查研究院,"116.244888,40.20097",北京龙山中医医院,"116.258868,40.121512",28,49
北京市,花园路18号院,"116.365937,39.971083",西单商场西单北大街店北区,"116.374318,39.913116",34,35
北京市,青春路六院,"116.628239,40.320466",怀柔区北房中学,"116.71428,40.326691",17,52
北京市,新城乐居,"116.690386,39.864887",靛庄小学,"116.760802,39.803562",19,81
北京市,荣华国际,"116.462892,39.842248",北京市第八十中学(睿实分校),"116.515213,39.787591",25,37
北京市,住总山澜赋,"115.966445,40.444732",北京市八达岭中学,"115.970355,40.366448",15,65
北京市,北京城建宽院国誉府,"116.625555,39.650549",北京市大兴区凤河营中学,"116.694885,39.612385",19,52
北京市,中海丰和叁號院,"116.3039,39.818497",大中电器洋桥店(南门),"116.387185,39.85588",25,36
北京市,金隅·花溪云锦,"116.694482,39.874388",北京市通州区宋庄中学,"116.727169,39.939324",30,82
北京市,蓝湾天恒花园,"116.560244,40.069026",北京市金盏学校,"116.567227,40.004533",30,73
北京市,中铁·诺德阅墅,"116.434845,40.037448",花家地实验小学朝来校区,"116.49869,40.088459",30,78
北京市,长安华曦府,"116.118039,39.908744",北京市京源学校(莲石湖分校),"116.176461,39.892841",19,53
北京市,胜古家园,"116.412387,39.970104",首都医科大学附属北京妇产医院产科门诊,"116.470751,39.93087",28,39
北京市,御翠园,"116.521442,39.948245",北京朝阳凯文学校,"116.584502,39.983595",16,35
北京市,中铁国际花园2号院,"116.149412,39.719017",北京瑞慈医院,"116.192093,39.772903",25,43
北京市,强佑清河新城,"116.345897,40.028479",花家地实验小学朝来校区,"116.434845,40.037448",30,53
北京市,北京城建·龙樾天元,"116.230716,39.920445",北京十一晋元中学,"116.266272,39.875302",27,50
北京市,长城天麓,"116.324648,40.40873",北京市怀柔区九渡河中学,"116.381991,40.363697",16,44
北京市,栖海澐颂,"116.254145,40.092872",霍营中心小学,"116.359746,40.074943",38,52
北京市,金沟河路15号院,"116.264262,39.918229",枫蓝国际购物中心,"116.356605,39.952958",32,49
北京市,领秀慧谷B区,"116.292876,40.149967",北京昌平博华京康医院,"116.302198,40.097054",30,36
北京市,交大东路48号院,"116.351028,39.951038",解放军总医院第七医学中心东楼,"116.430518,39.929935",36,48
北京市,中海丽泽叁號院,"116.286236,39.911471",北京育英学校,"116.339771,39.850982",24,56
北京市,北京城建宽院国誉府,"116.517566,39.6797",青云店中学,"116.625555,39.650549",20,57
北京市,北京城建颐知筑,"116.111652,39.815188",人大附中丰台学校,"116.158527,39.73882",35,76
北京市,住总如院,"116.629948,39.648713",北京市大兴区凤河营中学,"116.694885,39.612385",17,45
北京市,燕化星城北里,"116.061339,39.715545",北京瑞慈医院,"116.149412,39.719017",22,31
北京市,中建璞园PARK,"116.558259,40.099603",北京方舟医院,"116.560467,40.025943",37,84
北京市,通州万达广场写字楼,"116.638997,39.905285",北京华联武夷购物中心,"116.700163,39.918693",22,38
北京市,加气厂宿舍,"116.325352,40.034294",枫蓝国际购物中心,"116.356605,39.952958",38,40
北京市,万科东庐,"116.631338,39.930347",北京华联武夷购物中心,"116.700163,39.918693",24,79
北京市,环保局宿舍楼,"116.227209,40.227307",路劲世界广场,"116.291906,40.206866",22,28
北京市,缦云ONE,"116.581349,39.913497",北岸商业广场,"116.653131,39.916267",19,52
北京市,中建·长安麓院,"116.10073,39.947628",雨润发购物广场,"116.103638,39.898417",20,42
北京市,和光悦府,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.515333,40.004708",34,48
北京市,吴店东里,"116.153319,39.751729",京盛时代购物中心,"116.172863,39.819576",27,66
北京市,北京城建·龙樾天元,"116.20355,39.832079",北京市丰台区长辛店第一中学,"116.266272,39.875302",26,74
北京市,若丘,"116.04804,39.879295",北京长安天街,"116.12345,39.905343",17,43
北京市,温家街2号院,"116.367332,39.900801",北京中医药大学东方医院,"116.432243,39.864065",21,43
北京市,亚胜铂第公馆,"116.424343,39.916126",史家小学遂安伯校区,"116.439314,39.858252",18,46
北京市,昊文温泉家园,"116.14688,39.732525",首都师范大学附属中学实验学校,"116.191135,39.77423",20,46
北京市,北科建水岸雁栖,"116.630652,40.313131",北京中医药大学怀柔中医医院,"116.673922,40.375713",29,72
北京市,远洋源山春秋,"116.179802,39.942833",北京育英学校,"116.286236,39.911471",48,56
北京市,福海棠·华府,"116.385739,39.833014",亦庄医院,"116.482462,39.798845",24,37
北京市,金茂北京国际社区,"116.66362,40.134829",京汉生活广场,"116.720566,40.211311",24,56
北京市,龙湖·御湖境二期,"116.544116,40.115413",北京市第四中学(顺义分校),"116.652208,40.134007",23,38
北京市,君礼著,"116.305131,39.845657",天桥百货商场,"116.397929,39.880592",30,45
北京市,金茂北京国际社区,"116.720566,40.211311",北京市顺义区木林中学,"116.787045,40.244132",15,38
北京市,金隅畅和园9号院,"116.172863,39.819576",京盛时代购物中心,"116.186256,39.73862",32,85
北京市,京熙润府,"116.165653,39.727278",西营完全小学,"116.223536,39.757663",18,40
北京市,盛和家园,"116.356605,39.952958",枫蓝国际购物中心,"116.421406,39.99294",19,40
北京市,奥森春晓,"116.345593,40.092682",北京天苑医院,"116.436968,40.07121",32,74
北京市,天恒京西悦府,"116.036126,39.776308",坨里中心小学,"116.08425,39.715549",21,54
北京市,北京机械学院家属楼,"116.348484,40.037402",花家地实验小学朝来校区,"116.434845,40.037448",31,57
北京市,合景天汇,"116.663654,40.21145",顺义区平安医院,"116.665293,40.128758",25,59
北京市,紫金书院,"116.374615,40.076995",北京天苑医院,"116.436968,40.07121",22,60
北京市,绿城晓风印月,"116.417477,39.963876",北京市和平里医院第一门诊,"116.515633,40.002894",25,46
北京市,珠光逸景,"116.177078,39.835252",西营完全小学,"116.223536,39.757663",27,51
北京市,银河湾,"116.47705,39.919726",北京市东方德才学校(金台里校区),"116.485865,39.980212",26,38
北京市,璀璨公元,"116.599053,39.913048",北京同春堂中医院,"116.676471,39.867081",31,33
北京市,新源里西,"116.416066,39.866297",北京第一师范学校附属小学东校区,"116.44984,39.949266",47,46
北京市,永顺西里,"116.584502,39.983595",北京朝阳凯文学校,"116.646293,39.917065",24,74
北京市,前门东大街1号,"116.410937,39.90129",北京市和平里医院第一门诊,"116.417477,39.963876",34,35
北京市,北京·东湾,"116.581349,39.913497",北岸商业广场,"116.645725,39.911426",20,46
北京市,国祥誉,"116.861688,40.365047",北京市密云区巨各庄中学,"116.943022,40.376594",16,50
北京市,龙湖·观萃,"116.208851,40.038713",北京中法实验学校,"116.276468,40.111216",39,103
北京市,滨河路3号,"116.118275,39.922006",北京市石景山医院,"116.213305,39.906086",33,69
北京市,住总•芳华里,"116.636357,40.119402",顺义区石园小学,"116.700269,40.102902",19,67
北京市,懋源璟玺,"116.436968,40.07121",北京天苑医院,"116.518527,40.046813",27,81
北京市,富锦嘉园五区,"116.223536,39.757663",西营完全小学,"116.284712,39.815306",36,45
北京市,利泽西园,"116.379451,40.02142",清华大学附属中学(奥森校区),"116.465552,40.011854",26,50
北京市,青年路22号院,"116.424343,39.916126",史家小学遂安伯校区,"116.518693,39.928364",25,48
北京市,兴隆家园,"116.424343,39.916126",史家小学遂安伯校区,"116.524183,39.915088",20,54
北京市,国祥府,"116.866872,40.392509",北京市密云区巨各庄中学,"116.943022,40.376594",16,59
北京市,车道沟东路4号院,"116.302114,39.858539",亿潼隆丰益购物中心,"116.304919,39.947492",43,43
北京市,西山观复,"116.200695,40.051846",海淀上庄苏宁易购(直营店),"116.213235,40.125837",23,66
北京市,绿城百合北区,"116.073237,39.713535",科豪商厦,"116.141661,39.735126",20,50
北京市,永旭嘉园,"116.436202,39.756426",北京市第八十中学(睿实分校),"116.462892,39.842248",28,71
北京市,紫金书院,"116.374615,40.076995",北京陈经纶中学嘉铭分校(欧陆校区),"116.421541,39.998376",43,56
北京市,林调社区,"116.426112,39.957139",北京市东方德才学校(金台里校区),"116.47705,39.919726",28,45
北京市,上庄馨瑞嘉园,"116.122552,40.13031",昌平区阳坊学校后白虎涧小学,"116.214948,40.125072",21,66
北京市,国美第一城3号院,"116.424343,39.916126",史家小学遂安伯校区,"116.515409,39.933707",27,55
北京市,和光煦境,"116.572652,39.925143",北京泗河中医医院,"116.643791,39.901804",19,38
北京市,加州水郡一期,"116.064627,39.736652",房山区四〇一学校,"116.172306,39.766693",29,77
北京市,奈伦熙府,"116.12345,39.905343",北京长安天街,"116.194375,39.928529",33,28
北京市,保利建工·嘉华天珺,"116.230648,40.087039",巩华中心第二小学,"116.278721,40.12879",36,94
北京市,北科建翡翠华府,"116.667375,40.349051",十里堡镇水杨红小学,"116.767387,40.366261",24,97
北京市,北京·东湾,"116.645725,39.911426",手机电脑城,"116.730343,39.943572",21,59
北京市,中海和瑞叁號院,"116.302114,39.858539",亿潼隆丰益购物中心,"116.396493,39.836991",23,33
北京市,壹品兴创•颐和公馆,"116.325089,39.711518",乐家购物中心B区,"116.333007,39.800108",29,36
北京市,熙湖悦著,"116.064627,39.736652",房山区四〇一学校,"116.084263,39.783927",18,97
北京市,璟秀欣苑,"116.557953,39.763449",马驹桥文明市民学校中心校,"116.582911,39.816089",27,64
北京市,金隅景和园,"116.550209,39.952005",西马庄小学,"116.631551,39.912761",35,69
北京市,华业玫瑰郡,"116.501663,39.930143",北岸商业广场,"116.581349,39.913497",25,36
北京市,田村29号院,"116.213305,39.906086",北京市石景山医院,"116.264135,39.929794",24,59
北京市,懋源璟橒,"116.568698,40.056705",北京朝阳凯文学校,"116.584502,39.983595",25,107
北京市,机场南路西里,"116.55914,40.118312",美的慧生活全屋智能体验中心,"116.592964,40.050163",29,49
北京市,碧桂园和世界,"116.548011,39.914469",传媒附中,"116.636921,39.86112",30,55
北京市,御翠园,"116.430518,39.929935",解放军总医院第七医学中心东楼,"116.521442,39.948245",29,42
北京市,京投发展檀香府,"116.055822,39.879195",北京市石景山区电厂路小学,"116.139932,39.937129",22,74
北京市,建发金茂·观宸,"116.367327,39.809089",北京市东城区第一人民医院,"116.401276,39.864505",25,31
北京市,中海长安誉,"116.180676,39.910143",中国人民解放军总医院,"116.276578,39.904572",44,31
北京市,煤炭家属楼,"116.644211,40.129488",北京中医医院(顺义医院),"116.65443,40.209128",25,53
北京市,住总万科橙,"116.32338,39.688328",北京市大兴区兴华中学,"116.333765,39.755198",25,27
北京市,住总山澜赋,"115.966445,40.444732",北京宏音传信科技发展有限公司,"116.026315,40.47871",18,65
北京市,金隅望京云尚,"116.417477,39.963876",北京市和平里医院第一门诊,"116.464442,40.045204",28,46
北京市,住欣家园西区,"116.500639,39.894702",垂杨柳中心小学金都分校低部,"116.609729,39.923262",34,56
北京市,懋源璟橒,"116.514838,39.978118",爱哲安民未来学校,"116.568698,40.056705",27,73
北京市,高原街4号院,"116.427951,39.986806",解放军总医院第七医学中心东楼,"116.430518,39.929935",31,51
北京市,毓秀园东园,"116.696926,40.111012",李遂中学,"116.762128,40.098603",20,59
北京市,嘉铭桐城E区,"116.327772,39.994167",北京市中关村中学(清华园校区),"116.427346,40.001394",25,48
北京市,北京城建·国誉燕园,"116.181045,40.158883",北京振华学校,"116.220861,40.213349",18,81
北京市,五道口嘉园,"116.339654,39.990152",特别特购物广场,"116.339698,39.937685",23,36
北京市,建发金茂·观宸,"116.367327,39.809089",亦庄医院,"116.482462,39.798845",32,49
北京市,北京国贤府（昌平）,"116.441678,40.121891",北京市第四中学(顺义分校),"116.544116,40.115413",23,99
北京市,雅居乐富春山居,"116.087396,39.898871",雨润发购物广场,"116.10073,39.947628",21,71
北京市,北京岭秀,"117.111043,40.140745",国泰百货南区,"117.198085,40.116791",24,60
北京市,长河花园,"116.319782,40.172499",百善学校,"116.409388,40.148065",17,61
北京市,天鸿美域,"116.234732,39.956125",海淀区教师进修学校附属实验小学,"116.249395,39.874426",29,80
北京市,中环悦府,"116.302114,39.858539",亿潼隆丰益购物中心,"116.391887,39.837144",25,35
北京市,天恒京西悦府,"116.08425,39.715549",北京瑞慈医院,"116.149412,39.719017",16,31
北京市,中晟馨苑1号院,"116.55914,40.118312",美的慧生活全屋智能体验中心,"116.646422,40.164126",21,44
